sample_id,sample_num,sample_mass_mg,N_reten_time_min,N_response,N_weight_mg,N_weight_per,NC_response_ratio,C_reten_time_min,C_response,C_weight_mg,C_weight_per,fire_scar,plot_id,horizon,date_processed,prehomog_wet_mass,x2_5_coarsewet_mass,above5_coarsewet_mass,rock_mass_g,rock_volume_ml,tin_number,tin_mass,tin_wet_mass_110,archive_wet_mass,airdry_wet_mass,x2_5_drybag_mass,above5_coarsedry_mass,tin_dry_110,archive_dry_60,radiocarbon_sample,extra_rock_mass,extra_rock_volume,notes.y,soil_depth_cm,corer_diam_cm
2,CCE2,8.006,2.04,675.86,0.103,1.29,0.026,3.16,26073.455,1.755,21.93,Dry Creek,DrCr1A,M1,11/7/24,219.04,0,0,0,0,55,1,20.88,60.11,52.64,0,0,8.02,22.11,1,0,0,,5,6.98
3,CCE3,8.051,1.98,506.885,0.078,0.96,0.02,3.14,24754.044,1.653,20.53,Dry Creek,DrCr1A,M2,11/15/24,236.86,0,0,0,0,1,1.03,20.17,60.47,55.1,0,0,9.444,32.817,1,0,0,,5,6.98
5,CCE5,7.978,2,540.295,0.083,1.04,0.024,3.16,22063.676,1.457,18.26,Dry Creek,DrCr1B,M1,11/14/24,196.02,0,0,0,0,59,0.97,15.8,60.74,43.73,0,0,7.439,30.097,1,0,0,,5,6.98
6,CCE6,15.039,2.02,279.492,0.043,0.29,0.019,3.26,14412.524,0.926,6.16,Dry Creek,DrCr1B,M2,9/27/24,358.703,0,0,0,0,13,1.01,23.171,65.785,269.325,0,0,16.14,47.38,0,0,0,tore w/bag for airdry,5,6.98
8,CCE8,7.976,2,566.435,0.084,1.05,0.024,3.16,23254.29,1.465,18.37,Dry Creek,DrCr1C,M1,10/2/24,236.63,0,0,0,0,6,1.01,21.59,60.22,55.6,0,0,10.442,31.341,1,0,0,,5,6.98
9,CCE9,45.028,1.94,156.833,0.025,0.06,0.025,3.3,6367.161,0.388,0.86,Dry Creek,DrCr1C,M2,10/16/24,336.923,0,0,0,0,11,1.023,20.332,60.701,159.639,0,0,16.996,53.14,1,0,0,,5,6.98
11,CCE11,14.847,2,238.397,0.037,0.25,0.022,3.3,10714.104,0.677,4.56,Dry Creek,DrCr2A,M1,10/3/24,254.797,0,0,0.101,0.1,13,1.035,20.729,61.797,71.27,0,0,16.385,45.339,1,0,0,very little rock,5,6.98
12,CCE12,60,2.06,149.671,0.023,0.04,0.024,3.42,6147.791,0.358,0.6,Dry Creek,DrCr2A,M2,10/16/24,325.139,0,0,0,0,21,1.045,20.456,59.253,150.203,0,0,17.322,52.72,1,0,0,,5,6.98
14,CCE14,8.091,1.98,465.622,0.071,0.88,0.025,3.18,18957.326,1.228,15.18,Dry Creek,DrCr2B,M1,10/2/24,250.1,0,0,0,0,7,1.04,20.26,60.5,69.6,0,0,10.28,30.141,1,0,0,,5,6.98
15,CCE15,20.381,1.96,179.218,0.028,0.14,0.022,3.28,8305.076,0.513,2.52,Dry Creek,DrCr2B,M2,10/3/24,315.621,0,0,0,0,15,1.003,20.059,62.222,123.679,0,0,15.341,49.284,1,0,0,no rocks,5,6.98
