,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Bypass_1_27_2025 1_13_24 PM_001,INT7 - 1,Bypass,Bypass,0,2.04,16.03,0.003,100,Ordnr,Nitrogen,???,,,,,,,
Calib\Std 1_1_27_2025 1_25_24 PM_003,INT7 - 1,Peach Standard 1,Std 1,0.817,1.96,155.95,0.024,2.99,Ordnr,Nitrogen,0.025,3.3,6196.56,0.38,46.56,Ordnr,Carbon,1
Calib\Std 2_1_27_2025 1_31_24 PM_004,INT7 - 1,Peach Standard 2,Std 2,1.48,1.96,278.884,0.043,2.89,Ordnr,Nitrogen,0.026,3.26,10869.442,0.684,46.19,Ordnr,Carbon,1
Calib\Std 3_1_27_2025 1_37_25 PM_005,INT7 - 1,Peach Standard 3,Std 3,2.229,1.98,428.122,0.065,2.93,Ordnr,Nitrogen,0.027,3.2,16148.537,1.036,46.47,Ordnr,Carbon,1
Calib\Std 4_1_27_2025 1_43_25 PM_006,INT7 - 1,Peach Standard 4,Std 4,2.985,1.98,576.61,0.087,2.93,Ordnr,Nitrogen,0.027,3.14,21231.39,1.386,46.42,Ordnr,Carbon,1
Calib\Std 5_1_27_2025 1_49_25 PM_007,INT7 - 1,Peach Standard 5,Std 5,4.052,1.98,786.139,0.119,2.93,Ordnr,Nitrogen,0.028,3.1,28145.606,1.88,46.39,Ordnr,Carbon,1
BRS1_1_27_2025 2_38_19 PM_008,INT7 - 1,BRS1,BRS1,8.998,1.96,113.121,0.018,0.2,Ordnr,Nitrogen,0.023,3.34,4864.022,0.295,3.28,Ordnr,Carbon,1
280_1_27_2025 2_44_20 PM_009,INT7 - 1,280,280,8.178,1.96,113.515,0.018,0.22,Ordnr,Nitrogen,0.024,3.34,4772.932,0.29,3.54,Ordnr,Carbon,1
281_1_27_2025 2_50_20 PM_010,INT7 - 1,281,281,7.835,1.98,67.45,0.011,0.14,Ordnr,Nitrogen,0.027,3.36,2457.809,0.143,1.83,Ordnr,Carbon,1
153_1_27_2025 2_56_20 PM_011,INT7 - 1,153,153,20.059,1.98,82.755,0.013,0.07,Ordnr,Nitrogen,0.024,3.36,3462.921,0.207,1.03,Ordnr,Carbon,1
