,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Calib\Std 1_1_28_2025 9_44_29 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.806,1.98,150.268,0.023,2.88,Ordnr,Nitrogen,0.025,3.34,6042.623,0.372,46.16,Ordnr,Carbon,1
Calib\Std 2_1_28_2025 9_50_30 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.523,1.98,293.673,0.045,2.96,Ordnr,Nitrogen,0.026,3.26,11242.976,0.71,46.64,Ordnr,Carbon,1
Calib\Std 3_1_28_2025 9_56_32 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.154,1.98,412.708,0.063,2.94,Ordnr,Nitrogen,0.027,3.2,15544.347,1,46.41,Ordnr,Carbon,1
Calib\Std 4_1_28_2025 10_02_32 AM_006,INT7 - 1,Peach Standard 4,Std 4,3.16,2,603.7,0.092,2.92,Ordnr,Nitrogen,0.027,3.16,22142.386,1.462,46.28,Ordnr,Carbon,1
Calib\Std 5_1_28_2025 10_08_34 AM_007,INT7 - 1,Peach Standard 5,Std 5,3.991,1.98,765.549,0.117,2.93,Ordnr,Nitrogen,0.028,3.1,27449.837,1.854,46.45,Ordnr,Carbon,1
BRS1_1_28_2025 10_15_37 AM_008,INT7 - 1,BRS1,BRS1,8.936,1.96,111.91,0.017,0.19,Ordnr,Nitrogen,0.023,3.34,4844.114,0.296,3.31,Ordnr,Carbon,1
261_1_28_2025 10_21_38 AM_009,INT7 - 1,261,261,20.027,1.98,187.905,0.029,0.14,Ordnr,Nitrogen,0.019,3.28,9765.912,0.613,3.06,Ordnr,Carbon,1
251_1_28_2025 10_27_39 AM_010,INT7 - 1,251,251,19.853,1.98,237.634,0.037,0.18,Ordnr,Nitrogen,0.016,3.22,14756.714,0.946,4.76,Ordnr,Carbon,1
278_1_28_2025 10_33_39 AM_011,INT7 - 1,278,278,20.018,2,135.218,0.021,0.1,Ordnr,Nitrogen,0.028,3.36,4762.917,0.291,1.45,Ordnr,Carbon,1
211_1_28_2025 10_39_41 AM_012,INT7 - 1,211,211,7.924,2,807.404,0.123,1.56,Ordnr,Nitrogen,0.021,3.04,37992.941,2.693,33.98,Ordnr,Carbon,1
257_1_28_2025 10_45_41 AM_013,INT7 - 1,257,257,8.095,1.98,400.604,0.061,0.76,Ordnr,Nitrogen,0.028,3.24,14261.43,0.912,11.27,Ordnr,Carbon,1
268_1_28_2025 10_51_42 AM_014,INT7 - 1,268,268,8.089,1.96,244.612,0.038,0.47,Ordnr,Nitrogen,0.019,3.24,13088.305,0.833,10.3,Ordnr,Carbon,1
202_1_28_2025 10_57_44 AM_015,INT7 - 1,202,202,19.941,1.98,196.845,0.03,0.15,Ordnr,Nitrogen,0.019,3.28,10280.888,0.647,3.24,Ordnr,Carbon,1
208_1_28_2025 11_03_45 AM_016,INT7 - 1,208,208,19.813,1.96,452.282,0.069,0.35,Ordnr,Nitrogen,0.023,3.16,19838.607,1.298,6.55,Ordnr,Carbon,1
