,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Peach 0_1_29_2025 9_09_10 AM_002,INT7 - 1,Peach Bypass,Peach 0,0.406,1.98,75.973,0.012,2.92,Ordnr,Nitrogen,0.024,3.36,3190.135,0.188,46.18,Ordnr,Carbon,1
Calib\Std 1_1_29_2025 9_15_11 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.855,1.98,161.415,0.025,2.92,Ordnr,Nitrogen,0.025,3.32,6452.776,0.394,46.1,Ordnr,Carbon,1
Calib\Std 2_1_29_2025 9_21_11 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.493,1.98,284.302,0.044,2.93,Ordnr,Nitrogen,0.026,3.28,11104.965,0.696,46.64,Ordnr,Carbon,1
Calib\Std 3_1_29_2025 9_27_11 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.216,1.98,426.439,0.065,2.95,Ordnr,Nitrogen,0.026,3.2,16102.642,1.032,46.55,Ordnr,Carbon,1
Calib\Std 4_1_29_2025 9_33_11 AM_006,INT7 - 1,Peach Standard 4,Std 4,2.997,1.98,570.227,0.087,2.92,Ordnr,Nitrogen,0.027,3.16,21168.725,1.384,46.18,Ordnr,Carbon,1
Calib\Std 5_1_29_2025 9_39_12 AM_007,INT7 - 1,Peach Standard 5,Std 5,4.002,1.98,766.004,0.117,2.93,Ordnr,Nitrogen,0.028,3.12,27703.124,1.859,46.46,Ordnr,Carbon,1
BRS1_1_29_2025 9_50_47 AM_008,INT7 - 1,BRS1,BRS1,9.073,1.98,113.994,0.018,0.19,Ordnr,Nitrogen,0.023,3.36,4867.464,0.293,3.23,Ordnr,Carbon,1
51,INT7 - 1,,51,20.026,1.98,298.929,0.046,0.23,Ordnr,Nitrogen,0.02,3.24,14766.942,0.941,4.7,Ordnr,Carbon,1
161_1_29_2025 10_02_47 AM_010,INT7 - 1,,161,20.074,1.98,888.211,0.136,0.68,Ordnr,Nitrogen,0.022,3.02,40900.936,2.909,14.49,Ordnr,Carbon,1
179_1_29_2025 10_08_48 AM_011,INT7 - 1,,179,19.93,2,922.451,0.141,0.71,Ordnr,Nitrogen,0.024,3.04,38691.253,2.724,13.67,Ordnr,Carbon,1
233_1_29_2025 10_14_48 AM_012,INT7 - 1,,233,19.983,1.98,324.974,0.05,0.25,Ordnr,Nitrogen,0.02,3.22,15944.218,1.021,5.11,Ordnr,Carbon,1
314_1_29_2025 10_20_48 AM_013,INT7 - 1,,314,19.919,1.98,461.055,0.071,0.36,Ordnr,Nitrogen,0.019,3.14,24599.969,1.63,8.19,Ordnr,Carbon,1
58_1_29_2025 10_26_48 AM_014,INT7 - 1,,58,20.039,2,278.573,0.043,0.21,Ordnr,Nitrogen,0.02,3.24,13987.267,0.888,4.43,Ordnr,Carbon,1
173_1_29_2025 10_32_49 AM_015,INT7 - 1,,173,19.993,2,594.265,0.091,0.46,Ordnr,Nitrogen,0.024,3.14,24773.001,1.643,8.22,Ordnr,Carbon,1
