,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Notes,Reroll
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,,
Calib\Std 1_6_3_2025 9_34_32 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.85,1.92,157.024,0.025,2.97,Ordnr,Nitrogen,0.024,3.26,6462.115,0.394,46.33,Ordnr,Carbon,1,,
Calib\Std 2_6_3_2025 9_40_34 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.506,1.92,277.677,0.044,2.9,Ordnr,Nitrogen,0.025,3.2,11159.149,0.7,46.5,Ordnr,Carbon,1,,
Calib\Std 3_6_3_2025 9_46_34 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.202,1.94,414.616,0.065,2.94,Ordnr,Nitrogen,0.026,3.16,15921.929,1.021,46.36,Ordnr,Carbon,1,,
Calib\Std 4_6_3_2025 9_52_34 AM_006,INT7 - 1,Peach Standard 4,Std 4,3.005,1.94,565.943,0.088,2.92,Ordnr,Nitrogen,0.027,3.1,21273.444,1.394,46.39,Ordnr,Carbon,1,,
Calib\Std 5_6_3_2025 9_58_34 AM_007,INT7 - 1,Peach Standard 5,Std 5,4.008,1.96,760.354,0.118,2.93,Ordnr,Nitrogen,0.027,3.06,27656.235,1.86,46.4,Ordnr,Carbon,1,,
BRS_6_3_2025 11_51_33 AM_024,INT7 - 1,BRS,BRS,12.007,1.94,148.826,0.024,0.2,Ordnr,Nitrogen,0.023,3.28,6460.924,0.394,3.28,Ordnr,Carbon,1,,
BRS1_6_3_2025 10_15_20 AM_008,INT7 - 1,BRS1,BRS1,8.992,1.92,115.42,0.019,0.21,Ordnr,Nitrogen,0.022,3.3,5150.182,0.31,3.45,Ordnr,Carbon,1,,
Calib\Std 5_6_3_2025 9_58_34 AM_007,INT7 - 1,Peach Standard 5,Std 5,4.008,1.96,760.354,0.118,2.93,Ordnr,Nitrogen,0.027,3.06,27656.235,1.86,46.4,Ordnr,Carbon,1,,
Calib\Std 4_6_3_2025 9_52_34 AM_006,INT7 - 1,Peach Standard 4,Std 4,3.005,1.94,565.943,0.088,2.92,Ordnr,Nitrogen,0.027,3.1,21273.444,1.394,46.39,Ordnr,Carbon,1,,
Calib\Std 3_6_3_2025 9_46_34 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.202,1.94,414.616,0.065,2.94,Ordnr,Nitrogen,0.026,3.16,15921.929,1.021,46.36,Ordnr,Carbon,1,,
Calib\Std 2_6_3_2025 9_40_34 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.506,1.92,277.677,0.044,2.9,Ordnr,Nitrogen,0.025,3.2,11159.149,0.7,46.5,Ordnr,Carbon,1,,
Calib\Std 1_6_3_2025 9_34_32 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.85,1.92,157.024,0.025,2.97,Ordnr,Nitrogen,0.024,3.26,6462.115,0.394,46.33,Ordnr,Carbon,1,,
BRS_6_3_2025 4_10_17 PM_036,INT7 - 1,BRS,BRS,31.983,1.96,417.211,0.065,0.2,Ordnr,Nitrogen,0.025,3.18,16476.504,1.059,3.31,Ordnr,Carbon,1,,
CCE 9_6_3_2025 5_04_25 PM_045,INT7 - 1,CCE 9,CCE 9,45.028,1.94,156.833,0.025,0.06,Ordnr,Nitrogen,0.025,3.3,6367.161,0.388,0.86,Ordnr,Carbon,1,,
CCE 335_6_3_2025 5_10_25 PM_046,INT7 - 1,CCE 335,CCE 335,80.027,1.96,174.08,0.028,0.03,Ordnr,Nitrogen,0.025,3.3,7050.303,0.432,0.54,Ordnr,Carbon,1,,
BRS_6_3_2025 5_22_27 PM_048,INT7 - 1,BRS,BRS,9.962,1.92,124.014,0.02,0.2,Ordnr,Nitrogen,0.022,3.28,5567.519,0.336,3.38,Ordnr,Carbon,1,,
BRS_6_3_2025 6_16_34 PM_057,INT7 - 1,BRS,BRS,17.014,1.94,212.953,0.034,0.2,Ordnr,Nitrogen,0.023,3.26,9106.501,0.565,3.32,Ordnr,Carbon,1,,
BRS_6_3_2025 6_22_34 PM_058,INT7 - 1,BRS,BRS,34.986,1.96,437.361,0.068,0.19,Ordnr,Nitrogen,0.024,3.18,17898.059,1.157,3.31,Ordnr,Carbon,1,,
BRS_6_3_2025 6_28_35 PM_059,INT7 - 1,BRS,BRS,19.923,1.96,253.732,0.04,0.2,Ordnr,Nitrogen,0.024,3.24,10660.236,0.667,3.35,Ordnr,Carbon,1,,
BRS_6_3_2025 6_34_36 PM_060,INT7 - 1,BRS,BRS,16.927,1.94,213.847,0.034,0.2,Ordnr,Nitrogen,0.023,3.26,9145.446,0.568,3.35,Ordnr,Carbon,1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
