,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Peach 0_6_4_2025 9_57_11 AM_002,INT7 - 1,Peach Bypass,Peach 0,0,2.18,8.991,0.004,100,Ordnr,Nitrogen,???,,,,,,,
Calib\Std 1_6_4_2025 10_03_11 AM_003,INT7 - 1,Peach Standard 1,Std 1,0.825,1.92,144.862,0.024,2.93,Ordnr,Nitrogen,0.023,3.26,6293.274,0.382,46.33,Ordnr,Carbon,1
Calib\Std 2_6_4_2025 10_09_11 AM_004,INT7 - 1,Peach Standard 2,Std 2,1.63,1.92,300.78,0.047,2.9,Ordnr,Nitrogen,0.025,3.18,12080.958,0.758,46.49,Ordnr,Carbon,1
Calib\Std 3_6_4_2025 10_15_12 AM_005,INT7 - 1,Peach Standard 3,Std 3,2.185,1.92,418.887,0.065,2.96,Ordnr,Nitrogen,0.026,3.14,15900.273,1.013,46.38,Ordnr,Carbon,1
Calib\Std 4_6_4_2025 10_21_12 AM_006,INT7 - 1,Peach Standard 4,Std 4,3.114,1.94,595.704,0.091,2.92,Ordnr,Nitrogen,0.027,3.08,22117.857,1.444,46.38,Ordnr,Carbon,1
Calib\Std 5_6_4_2025 10_27_12 AM_007,INT7 - 1,Peach Standard 5,Std 5,4.057,1.94,783.906,0.119,2.93,Ordnr,Nitrogen,0.028,3.04,28164.562,1.883,46.41,Ordnr,Carbon,1
BRS1_6_4_2025 10_49_55 AM_008,INT7 - 1,BRS1,BRS1,8.961,1.92,107.892,0.019,0.21,Ordnr,Nitrogen,0.023,3.3,4793.706,0.287,3.2,Ordnr,Carbon,1
BRS_6_4_2025 1_23_34 PM_024,INT7 - 1,BRS,BRS,12.096,1.92,147.935,0.025,0.2,Ordnr,Nitrogen,0.023,3.28,6475.84,0.394,3.26,Ordnr,Carbon,1
BRS_6_4_2025 2_35_42 PM_036,INT7 - 1,BRS,BRS,32.003,1.96,401.89,0.062,0.19,Ordnr,Nitrogen,0.025,3.18,16034.905,1.022,3.19,Ordnr,Carbon,1
CCE 45_6_4_2025 3_35_48 PM_046,INT7 - 1,CCE 45,CCE 45,44.809,1.94,167.868,0.028,0.06,Ordnr,Nitrogen,0.024,3.28,7035.573,0.43,0.96,Ordnr,Carbon,1
CCE 234_6_4_2025 3_41_49 PM_047,INT7 - 1,CCE 234,CCE 234,149.752,1.98,220.484,0.035,0.02,Ordnr,Nitrogen,0.023,3.26,9605.588,0.595,0.4,Ordnr,Carbon,1
BRS_6_4_2025 3_47_50 PM_048,INT7 - 1,BRS,BRS,10.006,1.94,119.29,0.02,0.2,Ordnr,Nitrogen,0.023,3.32,5291.265,0.319,3.18,Ordnr,Carbon,1
CCE 295_6_4_2025 3_53_51 PM_049,INT7 - 1,CCE 295,CCE 295,40.573,1.94,140.54,0.024,0.06,Ordnr,Nitrogen,0.025,3.3,5730.44,0.346,0.85,Ordnr,Carbon,1
CCE 329_6_4_2025 3_59_52 PM_050,INT7 - 1,CCE 329,CCE 329,40.654,1.94,167.993,0.028,0.07,Ordnr,Nitrogen,0.021,3.26,7816.48,0.48,1.18,Ordnr,Carbon,1
CCE 341_6_4_2025 4_05_53 PM_051,INT7 - 1,CCE 341,CCE 341,64.962,1.96,155.95,0.026,0.04,Ordnr,Nitrogen,0.024,3.3,6633.94,0.404,0.62,Ordnr,Carbon,1
BRS_6_4_2025 4_11_53 PM_052,INT7 - 1,BRS,BRS,16.997,1.94,206.791,0.033,0.2,Ordnr,Nitrogen,0.024,3.26,8769.655,0.541,3.18,Ordnr,Carbon,1
BRS_6_4_2025 4_17_53 PM_053,INT7 - 1,BRS,BRS,34.944,1.96,423.653,0.065,0.19,Ordnr,Nitrogen,0.025,3.18,17206.823,1.102,3.15,Ordnr,Carbon,1
