,,Sample,Sample ID,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
,,,,,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio,Reten. Time [min],Response,Weight [mg],Weight [%],Peak Type,Element Name,Carbon Response Ratio
Calib\Std 1_12_3_2024 12_00_25 PM_003,INT7 - 1,Peach Standard 1,Std 1,0.87,2,157.211,0.025,2.86,Ordnr,Nitrogen,0.024,3.34,6551.113,0.403,46.37,Ordnr,Carbon,1
Calib\Std 2_12_3_2024 12_06_26 PM_004,INT7 - 1,Peach Standard 2,Std 2,1.57,2,298.008,0.046,2.94,Ordnr,Nitrogen,0.026,3.3,11486.196,0.728,46.39,Ordnr,Carbon,1
Calib\Std 3_12_3_2024 12_12_26 PM_005,INT7 - 1,Peach Standard 3,Std 3,2.35,2.02,454.95,0.07,2.97,Ordnr,Nitrogen,0.027,3.24,16845.633,1.093,46.52,Ordnr,Carbon,1
Calib\Std 4_12_3_2024 12_18_27 PM_006,INT7 - 1,Peach Standard 4,Std 4,2.9,2.02,557.528,0.085,2.94,Ordnr,Nitrogen,0.027,3.2,20394.209,1.342,46.29,Ordnr,Carbon,1
Calib\Std 5_12_3_2024 12_24_27 PM_007,INT7 - 1,Peach Standard 5,Std 5,3.94,2.04,755.56,0.115,2.92,Ordnr,Nitrogen,0.028,3.16,27059.385,1.829,46.42,Ordnr,Carbon,1
BRS 1_12_3_2024 12_43_59 PM_008,INT7 - 1,BRS 1,BRS 1,9.066,2.02,113.145,0.018,0.2,Ordnr,Nitrogen,0.023,3.38,4971.23,0.301,3.33,Ordnr,Carbon,1
8_12_3_2024 12_49_59 PM_009,INT7 - 1,8,8,14.87,2.02,1048.236,0.159,1.07,Ordnr,Nitrogen,0.027,3.06,38875.362,2.762,18.57,Ordnr,Carbon,1
20_12_3_2024 12_56_00 PM_010,INT7 - 1,20,20,14.949,2.02,547.933,0.084,0.56,Ordnr,Nitrogen,0.025,3.18,21588.372,1.428,9.55,Ordnr,Carbon,1
91_12_3_2024 1_02_00 PM_011,INT7 - 1,91,91,15.026,2.02,205.466,0.032,0.21,Ordnr,Nitrogen,0.02,3.32,10265.759,0.647,4.31,Ordnr,Carbon,1
106_12_3_2024 1_08_01 PM_012,INT7 - 1,106,106,14.909,2.02,129.036,0.021,0.14,Ordnr,Nitrogen,0.02,3.38,6296.697,0.387,2.6,Ordnr,Carbon,1
192_12_3_2024 1_14_01 PM_013,INT7 - 1,192,192,15.017,2.02,246.268,0.038,0.26,Ordnr,Nitrogen,0.018,3.28,13806.53,0.885,5.89,Ordnr,Carbon,1
2_1_12_3_2024 1_20_02 PM_014,INT7 - 1,2_1,2_1,8.006,2.04,675.86,0.103,1.29,Ordnr,Nitrogen,0.026,3.16,26073.455,1.755,21.93,Ordnr,Carbon,1
2_2_12_3_2024 1_26_02 PM_015,INT7 - 1,2_2,2_2,15.03,2.04,1231.594,0.186,1.24,Ordnr,Nitrogen,0.028,3.04,43739.873,3.178,21.14,Ordnr,Carbon,1
24_12_3_2024 1_32_03 PM_016,INT7 - 1,24,24,14.936,2.02,88.716,0.015,0.1,Ordnr,Nitrogen,0.018,3.38,4825.074,0.292,1.96,Ordnr,Carbon,1
9_12_3_2024 1_38_04 PM_017,INT7 - 1,9,9,15.07,2.02,53.727,0.009,0.06,Ordnr,Nitrogen,0.022,3.42,2400.279,0.138,0.91,Ordnr,Carbon,1
303_12_3_2024 1_44_04 PM_018,INT7 - 1,303,303,14.853,2.02,363.456,0.056,0.38,Ordnr,Nitrogen,0.025,3.26,14301.995,0.918,6.18,Ordnr,Carbon,1
11_12_3_2024 1_50_05 PM_019,INT7 - 1,11,11,14.847,2,238.397,0.037,0.25,Ordnr,Nitrogen,0.022,3.3,10714.104,0.677,4.56,Ordnr,Carbon,1
178_12_3_2024 1_56_06 PM_020,INT7 - 1,178,178,15.044,2.02,708.147,0.108,0.72,Ordnr,Nitrogen,0.023,3.12,30243.661,2.071,13.76,Ordnr,Carbon,1
35_12_3_2024 2_02_06 PM_021,INT7 - 1,35,35,15.04,2.02,143.289,0.023,0.15,Ordnr,Nitrogen,0.016,3.34,8916.176,0.558,3.71,Ordnr,Carbon,1
38_12_3_2024 2_08_07 PM_022,INT7 - 1,38,38,15.013,2.02,137.511,0.022,0.15,Ordnr,Nitrogen,0.017,3.34,7979.87,0.496,3.31,Ordnr,Carbon,1
194_12_3_2024 2_14_08 PM_023,INT7 - 1,194,194,14.881,2.04,174.987,0.028,0.19,Ordnr,Nitrogen,0.017,3.32,10452.495,0.659,4.43,Ordnr,Carbon,1
BRS 2_12_3_2024 2_20_09 PM_024,INT7 - 1,BRS 2,BRS 2,12.036,2.02,143.254,0.023,0.19,Ordnr,Nitrogen,0.022,3.38,6406.317,0.394,3.27,Ordnr,Carbon,1
108_12_3_2024 2_26_10 PM_025,INT7 - 1,108,108,14.983,2.04,275.268,0.043,0.28,Ordnr,Nitrogen,0.017,3.26,16177.414,1.047,6.99,Ordnr,Carbon,1
141_12_3_2024 2_32_10 PM_026,INT7 - 1,141,141,14.87,2.04,91.404,0.015,0.1,Ordnr,Nitrogen,0.018,3.4,5161.554,0.314,2.11,Ordnr,Carbon,1
39_12_3_2024 2_38_11 PM_027,INT7 - 1,39,39,14.997,2.02,67.745,0.011,0.08,Ordnr,Nitrogen,0.02,3.4,3435.68,0.203,1.36,Ordnr,Carbon,1
97_12_3_2024 2_44_12 PM_028,INT7 - 1,97,97,14.91,2.04,143.652,0.023,0.15,Ordnr,Nitrogen,0.022,3.38,6392.318,0.393,2.64,Ordnr,Carbon,1
136_12_3_2024 2_50_14 PM_029,INT7 - 1,136,136,14.95,2.02,127.561,0.02,0.14,Ordnr,Nitrogen,0.018,3.36,6925.657,0.428,2.86,Ordnr,Carbon,1
23_1_12_3_2024 2_56_15 PM_030,INT7 - 1,23_1,23_1,7.967,2.02,285.045,0.044,0.55,Ordnr,Nitrogen,0.021,3.28,13690.205,0.877,11.01,Ordnr,Carbon,1
23_2_12_3_2024 3_02_15 PM_031,INT7 - 1,23_2,23_2,15.095,2.04,531.927,0.081,0.54,Ordnr,Nitrogen,0.022,3.18,24312.978,1.625,10.77,Ordnr,Carbon,1
12_12_3_2024 3_08_16 PM_032,INT7 - 1,12,12,15,1.98,28.666,0.006,0.04,Ordnr,Nitrogen,0.019,3.42,1529.621,0.083,0.55,Ordnr,Carbon,1
30_12_3_2024 3_14_16 PM_033,INT7 - 1,30,30,14.992,2.06,39.514,0.007,0.05,Ordnr,Nitrogen,0.02,3.44,1949.873,0.109,0.73,Ordnr,Carbon,1
33_12_3_2024 3_20_17 PM_034,INT7 - 1,33,33,14.983,2.04,31.152,0.006,0.04,Ordnr,Nitrogen,0.027,3.44,1148.581,0.059,0.39,Ordnr,Carbon,1
42_12_3_2024 3_26_19 PM_035,INT7 - 1,42,42,14.985,2.04,46.6,0.008,0.06,Ordnr,Nitrogen,0.022,3.42,2104.719,0.119,0.79,Ordnr,Carbon,1
BRS 3_12_3_2024 4_04_28 PM_036,INT7 - 1,BRS 3,BRS 3,31.96,2.04,402.951,0.062,0.19,Ordnr,Nitrogen,0.025,3.26,16304.521,1.056,3.3,Ordnr,Carbon,1
48_12_3_2024 4_10_28 PM_037,INT7 - 1,48,48,15.003,2.04,179.921,0.028,0.19,Ordnr,Nitrogen,0.019,3.34,9329.6,0.585,3.9,Ordnr,Carbon,1
105_12_3_2024 4_16_28 PM_038,INT7 - 1,105,105,14.918,2.04,316.216,0.049,0.33,Ordnr,Nitrogen,0.02,3.28,16123.125,1.043,6.99,Ordnr,Carbon,1
6_12_3_2024 4_22_30 PM_039,INT7 - 1,6,6,15.039,2.02,279.492,0.043,0.29,Ordnr,Nitrogen,0.019,3.26,14412.524,0.926,6.16,Ordnr,Carbon,1
62_12_3_2024 4_28_30 PM_040,INT7 - 1,62,62,14.976,2.04,90.794,0.015,0.1,Ordnr,Nitrogen,0.031,3.42,2925.455,0.171,1.14,Ordnr,Carbon,1
65_12_3_2024 4_34_32 PM_041,INT7 - 1,65,65,14.937,2.04,94.476,0.015,0.1,Ordnr,Nitrogen,0.024,3.4,3979.37,0.238,1.59,Ordnr,Carbon,1
93_12_3_2024 4_40_32 PM_042,INT7 - 1,93,93,14.984,2.04,231.788,0.036,0.24,Ordnr,Nitrogen,0.016,3.3,14477.256,0.93,6.21,Ordnr,Carbon,1
188_12_3_2024 4_46_34 PM_043,INT7 - 1,188,188,15.03,2.04,76.415,0.013,0.08,Ordnr,Nitrogen,0.013,3.38,6007.829,0.368,2.45,Ordnr,Carbon,1
