fire_scar,ID,sample_id,horizon,date_processed,prehomog_wet_mass,2-5_coarsewet_mass,above5_coarsewet_mass,rock_mass,rock_vol,tin_number,tin_mass,tin_wet_mass_110,archive_wet_mass,airdry_wet_mass,2-5_ drybag_mass,above5_coarsedry_mass,tin_dry_110,archive_dry_60,radiocarbon_sample,extra_rock_mass,extra_rock_volume,notes
Dry Creek,2,DrCr1A,M1,11/7/2024,219.04,0,0,0,0,55,1.00,20.88,60.11,52.64,0,0,8.02,22.11,1,0,0,
Dry Creek,3,DrCr1A,M2,11/15/2024,236.86,0,0,0,0,1,1.03,20.17,60.47,55.10,0,0,9.444,32.817,1,0,0,
Dry Creek,5,DrCr1B,M1,11/14/2024,196.02,0,0,0,0,59,0.97,15.80,60.74,43.73,0,0,7.439,30.097,1,0,0,
Dry Creek,6,DrCr1B,M2,9/27/2024,358.703,0,0,0,0,13,1.01,23.171,65.785,269.325,0,0,16.14,47.38,0,0,0,tore w/bag for airdry
Dry Creek,8,DrCr1C,M1,10/2/2024,236.63,0,0,0,0,6,1.01,21.59,60.22,55.60,0,0,10.442,31.341,1,0,0,
Dry Creek,9,DrCr1C,M2,10/16/2024,336.923,0,0,0,0,11,1.023,20.332,60.701,159.639,0,0,16.996,53.14,1,0,0,
Dry Creek,11,DrCr2A,M1,10/3/2024,254.797,0,0,0.101,0.10,13,1.035,20.729,61.797,71.27,0,0,16.385,45.339,1,0,0,very little rock
Dry Creek,12,DrCr2A,M2,10/16/2024,325.139,0,0,0,0,21,1.045,20.456,59.253,150.203,0,0,17.322,52.72,1,0,0,
Dry Creek,14,DrCr2B,M1,10/2/2024,250.1,0,0,0,0,7,1.04,20.26,60.5,69.6,0,0,10.28,30.141,1,0,0,
Dry Creek,15,DrCr2B,M2,10/3/2024,315.621,0,0,0,0,15,1.003,20.059,62.222,123.679,0,0,15.341,49.284,1,0,0,no rocks
Dry Creek,17,DrCr2C,M1,NA,263.336,0.187,0,0.115,0.10,59,0.975,20.497,60.146,80.93,2.82,0,14.81,45.94,1,0,0,
Dry Creek,18,DrCr2C,M2,NA,281.79,0,0,0,0,2,0.993,20.364,65.32,197.831,0,0,15.974,53.737,0,0,0,
Dry Creek,20,DrCr3A,M1,10/3/2024,259.86,0,0,0,0,10,1.02,20.07,70.78,72.21,0,0,10.986,39.897,1,0,0,
Dry Creek,21,DrCr3A,M2,9/27/2024,301.54,0,0,0,0,28,1.02,20.00,58.65,226.16,0,0,15.76,48.67,0,0,0,
Dry Creek,23,DrCr3B,M1,9/27/2024,277.822,0.583,0,0,0,18,0.99,20.073,62.834,200.516,2.98,0,12.07,37.93,0,0,0,
Dry Creek,24,DrCr3B,M2,10/2/2024,335.858,0,0,0,0,8,1.006,21.085,61.199,157.371,0,0,16.638,50.131,1,0,0,
Dry Creek,26,DrCr3C,M1,10/3/2024,225.11,0,0,0,0,12,1.02,22.56,60.83,43.96,0,0,14.56,41.151,1,0,0,
Dry Creek,27,DrCr3C,M2,9/27/2024,284.66,0,0,0,0,4,1.022,20.003,68.282,195.161,0,0,13.99,49.91,0,0,0,airdry tore w/bag
Dry Creek,29,DrCr4A,M1,9/27/2024,222.394,0.83,0,0,0,11,1.021,19.588,59.02,142.882,3.10,0,15.32,48.77,0,0,0,
Dry Creek,30,DrCr4A,M2,9/27/2024,294.50,0,0,0,0,12,1.023,22.725,62.035,219.489,0,0,17.86,48.93,0,0,0,
Dry Creek,32,DrCr4B,M1,9/27/2024,210.125,1.339,0,NA,NA,14,1.033,19.508,57.067,131.928,3.36,0,14.91,45.72,0,0,0,airdry tore w/bag
Dry Creek,33,DrCr4B,M2,9/27/2024,299.78,0.60,0,0,0,25,1.03,21.07,61.02,221.79,3.04,0,18.55,55.77,0,0,0,
Dry Creek,35,DrCr4C,M1,9/27/2024,158.21,0.99,0,0,0,24,1.04,19.69,64.00,79.03,3.46,0,13.78,47.49,0,0,0,
Dry Creek,36,DrCr4C,M2,9/27/2024,256.875,1.862,0.783,0,0,10,1.019,21.815,62.023,169.51,3.89,3.33,16.56,49.58,0,0,0,
Dry Creek,38,DrCr5A,M1,9/27/2024,163.66,0.82,0,0,0,6,1.01,20.22,63.67,85.99,3.35,0,15.72,52.19,0,0,0,
Dry Creek,39,DrCr5A,M2,9/27/2024,229.02,0.22,0,0,0,23,0.99,22.27,61.47,152.68,2.87,0,19.36,55.59,0,0,0,
Dry Creek,41,DrCr5B,M1,9/27/2024,229.33,1.49,0,0,0,26,1.04,23.27,61.55,149.06,3.39,0,17.22,48.62,0,0,0,
Dry Creek,42,DrCr5B,M2,9/27/2024,265.517,0,0,0,0,9,0.998,21.63,63.657,179.33,0,0,17.05,52.53,0,0,0,airdry tore w/bag
Dry Creek,44,DrCr5C,M1,9/27/2024,205.606,0.76,0,0,0,8,0.996,19.517,60.675,124.21,3.20,0,15.94,51.52,0,0,0,
Dry Creek,45,DrCr5C,M2,9/27/2024,255.168,0,0,0,0,7,1.092,19.63,64.303,168.945,0,0,16.23,57.82,0,0,0,
Dry Creek,47,DrCr6A,M1,9/27/2024,306.809,0,0,NA,NA,19,1.006,21.78,60.067,230.234,0,0,13.24,38.77,0,0,0,
Dry Creek,48,DrCr6A,M2,9/27/2024,241.473,0.321,0,0,0,17,1.021,22.058,62.262,162.456,2.86,0,15.42,45.49,0,0,0,
Dry Creek,50,DrCr6B,M1,11/5/2024,225.163,0,0,0,0,80,0.968,20.878,60.049,58.328,0,0,8.60,23.83,1,2.70,1.00,rocks in archive
Dry Creek,51,DrCr6B,M2,9/27/2024,283.352,0,0,0,0,16,0.991,22.485,58.482,208.992,0,0,15.02,41.30,0,0,0,
Dry Creek,53,DrCr6C,M1,9/27/2024,280.295,0,0,0,0,15,1.00,19.021,59.48,202.384,0,0,15.51,37.36,0,0,0,
Dry Creek,54,DrCr6C,M2,9/27/2024,338.17,0,0,0,0,27,1.01,23.80,64.30,255.52,0,0,18.72,53.26,0,0,0,
Haystack,56,Hays1A,M1,10/3/2024,144.46,0.15,1.10,15.35,6.00,16,0.98,13.005,23.368,34.402,2.788,3.192,7.453,15.59,1,0,0,small sample; bags ratioed down: 60g in RC
Haystack,58,Hays1B,M1,10/2/2024,195.406,0.044,0,9.064,2.95,4,1.024,19.083,19.492,41.43,3.112,0,14.425,17.486,1,0,0,small sample leftover; lots of rocks
Haystack,59,Hays1B,M2,11/14/2024,258.16,0,0,34.6,18.00,75,1.03,20.91,59.81,33.64,0,0,16.253,48.969,1,0,0,
Haystack,61,Hays1C,M1,9/30/2024,224.743,0.494,0,58.367,24.8,32,2.127,17.16,37.551,NA,3.106,0,11.406,28.735,1,0,0,Small sample
Haystack,62,Hays1C,M2,11/4/2024,360.81,0,0,36.89,18.00,75,1.03,20.67,63.04,130.39,0,0,16.00,51.40,1,0.44,0.02,
Haystack,64,Hays2A,M1,10/4/2024,255.259,0.28,0,14.54,3.00,5,1.02,20.28,62.26,51.18,2.95,0,14.895,48.015,1,0,0,
Haystack,65,Hays2A,M2,10/1/2024,293.795,0,0,5.192,2.50,3,1.00,20.547,61.756,107.54,0,0,15.732,49.971,1,0,0,
Haystack,67,Hays2B,M1,9/30/2024,265.39,0.17,0,23.49,10.00,30,1.02,20.77,60.15,55.38,2.806,0,15.043,46.119,1,0,0,many rocks
Haystack,68,Hays2B,M2,10/15/2024,364.74,0,0,12.85,6.00,15,0.99,20.35,60.60,170.13,0,0,15.758,49.55,1,0,0,
Haystack,70,Hays2C,M1,10/2/2024,309.298,0.924,0,22.786,8.50,9,1.00,20.105,62.13,94.527,3.343,0,14.461,47.445,1,0,0,
Haystack,71,Hays2C,M2,11/18/2024,414.20,0.875,0,52.28,20.00,14,1.028,21.689,62.92,148.48,3.333,0,17.917,57.27,1,0,0,"archive_dry_60 originally not recorded, but sample had not been ground yet, so HK weighed sample on 11/25/2024"
Haystack,73,Hays3A,M1,9/30/2024,232.67,0,1.61,NA,11.40,1,1.01,16.55,58.23,40.29,0,3.802,12.166,44.958,1,0,0,no rock_mass recorded.
Haystack,74,Hays3A,M2,NA,354.65,0,0,18.19,10.00,31,2.13,20.60,60.24,146.92,0,0,16.654,50.245,1,0,0,
Haystack,76,Hays3B,M1,9/30/2024,149.657,0.147,0,5.545,1.90,29,1.035,20.116,61.223,59.928,2.836,0,13.655,43.60,0,0,0,small rocks <2mm; last sample w/o RC subsample
Haystack,77,Hays3B,M2,10/3/2024,213.55,0,0,13.60,5.00,14,1.02,21.01,39.96,40.85,0,0,15.925,32.491,1,0,0,small sample; archive & airdry reduced
Haystack,79,Hays3C,M1,10/1/2024,191.795,0,0,9.889,2.00,2,0.995,20.47,58.765,17.115,0,0,13.084,40.83,1,0,0,small sample; archive & airdry reduced
Haystack,80,Hays3C,M2,10/3/2024,364.717,0,0,86.456,24.00,11,1.02,20.331,60.053,89.192,0,0,15.509,49.338,1,0,0,large rock in sample
Haystack,82,Hays4A,M1,10/24/2024,208.763,0.444,0,0,0,27,1.01,20.513,60.587,31.934,2.975,0,13.387,41.903,1,0,0,
Haystack,84,Hays4B,M1,10/24/2024,228.002,0.158,0.528,22.552,9.00,55,0.99,20.356,41.332,38.464,2.879,3.063,15.835,34.844,1,0,0,sample sizes for archive and airdry reduced
Haystack,85,Hays4B,M2,10/22/2024,346.419,0,0,36.66,17.00,66,0.956,20.312,60.02,139.14,0,0,16.63,50.761,1,0,0,"mixed up with 97; not 100% on archive samples, other samples 100% resolved (lighter archive bag went to lighter dry archive bag)"
Haystack,87,Hays4C,M1,10/23/2024,390.246,0,0,113.125,90.00,62,0.977,21.823,60.035,68.581,0,0,18.675,60.288,1,0,0,
Haystack,89,Hays5A,M1,11/1/2024,90.38,0,0,9.31,1.00,59,0.98,15.40,22.72,21.86,0,0,10.21,12.849,1,0,0,
Haystack,91,Hays5B,M1,10/22/2024,162.74,0,0,8.42,0.04,60,0.97,20.77,60.43,41.21,0,0,14.15,39.07,1,0,0,
Haystack,93,Hays5C,M1,10/1/2024,169.52,0.399,0.424,4.71,2.00,20,1.74,20.19,42.39,40.60,3.09,3.07,14.355,32.371,1,0,0,pulled from RC bag to make 40g of sample for airdry; 2 twigs taken from airdry bag after dried
Haystack,94,Hays5C,M2,10/22/2024,371.18,0,0,23.86,10.00,77,1.04,20.76,63.14,159.51,0,0,17.07,54.62,1,0,0,
Haystack,97,Hays6B,M1,10/22/2024,288.42,0,0,30.15,12.00,76,0.97,20.20,60.24,82.19,0,0,15.941,50.53,1,0,0,"mixed up with 85; not 100% on archive samples, other samples 100% resolved (lighter archive bag went to lighter dry archive bag)"
Haystack,98,Hays6B,M2,10/24/2024,375.68,0,0,56.70,30.00,30,1.01,20.30,60.56,130.94,0,0,16.562,52.061,1,0,0,
Haystack,100,Hays6C,M1,10/22/2024,165.524,0.661,0,19.676,8.00,64,0.965,15.462,23.801,34.306,2.92,0,11.27,19.92,1,0,0,small sample & big rock in RC; all sample bags reduced
Lost Horse,102,LoHo1A,M1,10/4/2024,247.46,0.44,0.6,12.92,5.40,18,0.98,20.77,55.46,44.83,3.102,3.538,15.666,44.759,1,0,0,small sample
Lost Horse,103,LoHo1A,M2,10/14/2024,351.90,0,0,21.49,9.00,4,1.02,20.93,60.98,147.19,0,0,15.727,48.2,1,0,0,
Lost Horse,105,LoHo1B,M1,10/15/2024,203.362,0.106,0,9.06,4.00,23,1.001,20.123,41.003,33.00,2.86,0,12.327,27.06,1,0,0,small sample
Lost Horse,106,LoHo1B,M2,10/15/2024,312.38,0,0,40.332,15.00,7,1.041,21.51,61.883,78.247,0,0,16.134,52.86,1,0,0,
Lost Horse,108,LoHo1C,M1,10/15/2024,257.96,0.39,0.09,9.33,1.00,6,1.01,20.75,60.84,70.67,2.84,2.82,13.24,40.13,1,0,0,
Lost Horse,109,LoHo1C,M2,10/9/2024,289.602,0,0,35.938,15.00,7,1.041,20.181,61.936,64.286,0,0,13.971,48.185,1,0,0,
Lost Horse,111,LoHo2A,M1,10/14/2024,208.946,0,0,14.928,7.00,25,1.018,20.906,44.771,30.819,0,0,15.163,34.70,1,0,0,small sample
Lost Horse,112,LoHo2A,M2,10/10/2024,379.32,0,0,22.68,11.00,8,1.00,21.24,60.06,159.14,0,0,16.287,48.201,1,0,0,
Lost Horse,114,LoHo2B,M1,10/11/2024,276.29,0.74,0,25.52,13.00,4,1.02,21.00,62.53,64.66,2.853,0,13.317,41.761,1,0,0,
Lost Horse,115,LoHo2B,M2,10/4/2024,161.469,0,0,37.94,14.00,22,1.02,15.228,19.201,26.34,0,0,10.813,17.672,1,0,0,small sample
Lost Horse,117,LoHo2C,M1,10/11/2024,230.32,0,0,22.45,8.75,31,2.14,20.39,46.94,35.10,0,0,16.417,40.587,1,0,0,small sample
Lost Horse,118,LoHo2C,M2,10/7/2024,393.58,0,0,90.11,33.00,23,1.00,20.47,60.77,123.88,0,0,17.00,51.10,1,3.00,1.20,large rocks
Lost Horse,120,LoHo3A,M1,10/8/2024,294.24,0,0,71.96,30.00,4,1.02,20.73,60.74,43.75,0,0,14.40,47.80,1,0,0,many rocks
Lost Horse,121,LoHo3A,M2,10/9/2024,377.563,0,0,61.24,26.00,13,1.017,19.852,57.858,121.328,0,0,16.402,52.152,1,0.60,0.40,rocks in archive
Lost Horse,123,LoHo3B,M1,10/14/2024,250.93,0.68,0,11.05,5.00,19,1.01,20.64,61.34,64.36,3.06,0,15.953,47.43,1,0,0,
Lost Horse,124,LoHo3B,M2,10/11/2024,310.88,0,0,25.374,11.00,5,1.021,19.55,60.29,94.65,0,0,15.622,50.534,1,0,0,
Lost Horse,126,LoHo3C,M1,11/18/2024,234.186,1.001,0,75.956,30.00,1,1.028,20.789,30.522,24.79,3.40,0,16.58,29.45,1,0,0,"~75 in RC; small sample, big rock"
Lost Horse,127,LoHo3C,M2,10/7/2024,370.26,0,0,48.83,70.90,14,1.03,20.76,61.94,131.26,0,0,16.50,53.60,1,1.33,0.65,did not clean sieve in between sample
Lost Horse,129,LoHo4A,M1,10/10/2024,216.14,0.27,0,30.56,12.00,14,1.02,20.40,35.06,22.56,2.859,0,15.643,30.206,1,2.90,2.80,small sample
Lost Horse,130,LoHo4A,M2,10/7/2024,309.24,0.32,0,16.62,8.00,24,1.03,20.27,60.05,114.46,2.90,0,15.20,46.40,1,2.18,0.82,
Lost Horse,132,LoHo4B,M1,10/4/2024,158.44,0,0,40.47,14.50,21,1.036,15.351,17.553,24.78,0,0,12.963,17.776,1,0,0,small sample
Lost Horse,133,LoHo4B,M2,10/7/2024,308.06,0,0,10.00,5.00,25,1.01,20.91,60.68,120.77,0,0,15.60,47.70,1,0,0,
Lost Horse,135,LoHo4C,M1,10/7/2024,214.015,0,0,28.358,6.50,5,1.019,20.516,36.165,24.955,0,0,15.20,30.20,1,0,0,"took tin sample after RC, small rocks"
Lost Horse,136,LoHo4C,M2,10/14/2024,312.32,0,0,24.08,10.00,2,0.99,20.26,61.89,109.56,0,0,15.407,49.64,1,0,0,
Lost Horse,138,LoHo5A,M1,10/10/2024,315.901,0,0,33.504,14.00,24,1.033,21.031,62.385,90.933,0,0,16.70,50.794,1,0,0,
Lost Horse,139,LoHo5A,M2,10/14/2024,291.081,0,0,15.427,7.00,5,1.02,19.926,59.96,82.355,0,0,15.817,51.90,1,0,0,
Lost Horse,141,LoHo5B,M1,10/10/2024,262.122,0.676,0,17.596,7.00,18,0.984,20.339,61.477,55.334,2.84,0,16.301,51.969,1,0,0,
Lost Horse,142,LoHo5B,M2,10/11/2024,322.828,0,0,13.437,9.50,2,0.99,20.103,61.247,113.062,0,0,16.582,54.006,1,0,0,
Lost Horse,144,LoHo5C,M1,10/4/2024,265.463,0.316,0,41.543,19.80,19,1.008,14.642,52.12,41.72,2.992,0,13.261,49.557,1,0,0,"many rocks, sample dried during processing"
Lost Horse,145,LoHo5C,M2,12/2/2024,358.88,0,0,43.114,22.00,14,1.02,21.14,62.58,106.97,0,0,18.405,59.667,1,0,0,not originally on data sheet; found in freezer
Lost Horse,146,LoHo6A,M1,10/9/2024,258.697,0,0,51.01,22.50,12,1.025,19.89,39.965,42.785,0,0,16.089,36.745,1,0,0,small sample+no tag
Lost Horse,147,LoHo6A,M2,10/8/2024,348.229,0.103,0,29.64,12.00,2,0.992,21.873,63.369,122.332,2.70,0,18.90,55.40,1,0,0,no paper slip
Lost Horse,149,LoHo6B,M1,10/4/2024,322.196,0.644,0,25.194,10.50,17,1.026,20.29,59.797,95.109,3.132,0,15.404,50.731,1,0,0,no paper slip
Lost Horse,150,LoHo6B,M2,10/7/2024,300.88,0,0,10.65,6.00,15,1.00,20.7,61.58,108.69,0,0,16.20,51.00,1,0,0,no paper slip
Lost Horse,152,LoHo6C,M1,10/7/2024,237.83,0,0,27.83,11.50,19,1.01,16.22,43.98,42.496,0,0,13,40.2,1,0,0,small sample+no tag
Lost Horse,153,LoHo6C,M2,10/9/2024,336.51,0,0,45.80,70.60,16,0.99,21.25,62.83,98.75,0,0,17.709,58.136,1,6.10,0.25,
McCoy Creek,155,McCr1A,M1,11/19/2024,445.21,0,0,0,0,18,0.99,20.12,60.06,262.63,0,0,13.23,36.74,1,,,no paper slip
McCoy Creek,157,McCr1B,M1,11/20/2024,229.47,0.75,2.90,0,0,3,1.00,21.20,60.93,44.02,3.064,3.827,8.394,25.88,1,,,"no paper slip, made one"
McCoy Creek,158,McCr1B,M2,NA,221.233,0,0,NA,NA,2,0.992,16.993,55.108,61.46,0,0,8.38,31.29,1,,,
McCoy Creek,160,McCr1C,M1,11/19/2024,193.61,0,0,0,0,80,0.97,20.54,60.64,23.53,0,0,6.51,19.67,1,,,no paper slip
