date,fire_scar,site,plot,cwd_species,diameter,decay_class,combustion
7/18/2021,Aggie,89,A,NA,NA,NA,NA
7/18/2021,Aggie,89,B,NA,NA,NA,NA
7/18/2021,Aggie,89,C,NA,NA,NA,NA
7/17/2021,Aggie,93,A,NA,NA,NA,NA
7/17/2021,Aggie,93,B,NA,NA,NA,NA
7/17/2021,Aggie,93,C,NA,NA,NA,NA
7/17/2021,Aggie,94,A,NA,NA,NA,NA
7/17/2021,Aggie,94,B,NA,NA,NA,NA
7/17/2021,Aggie,94,C,NA,NA,NA,NA
7/18/2021,Aggie,99,A,NA,NA,NA,NA
7/18/2021,Aggie,99,B,black spruce,7.6,hard,75
7/18/2021,Aggie,99,C,NA,NA,NA,NA
7/18/2021,Aggie,103,A,NA,NA,NA,NA
7/18/2021,Aggie,103,B,NA,NA,NA,NA
7/18/2021,Aggie,103,C,NA,NA,NA,NA
7/18/2021,Aggie,109,A,NA,NA,NA,NA
7/18/2021,Aggie,109,B,NA,NA,NA,NA
7/18/2021,Aggie,109,C,NA,NA,NA,NA
7/18/2021,Aggie,110,A,black spruce,5.3,crumbly,75
7/18/2021,Aggie,110,B,NA,NA,NA,NA
7/18/2021,Aggie,110,C,NA,NA,NA,NA
7/17/2021,Aggie,111,A,NA,NA,NA,NA
7/17/2021,Aggie,111,B,unknown,6.4,hard,75
7/17/2021,Aggie,111,C,unknown,6.3,crumbly,75
7/19/2022,BearFish,6846,A,NA,NA,NA,NA
7/19/2022,BearFish,6846,B,NA,NA,NA,NA
7/19/2022,BearFish,6846,C,NA,NA,NA,NA
7/19/2022,BearFish,6887,A,NA,NA,NA,NA
7/19/2022,BearFish,6887,B,NA,NA,NA,NA
7/19/2022,BearFish,6887,C,NA,NA,NA,NA
7/19/2022,BearFish,68274,A,NA,NA,NA,NA
7/19/2022,BearFish,68274,B,unknown conifer,7.2,hard,75
7/19/2022,BearFish,68274,C,NA,NA,NA,NA
7/19/2022,BearFish,68303,A,NA,NA,NA,NA
7/19/2022,BearFish,68303,B,NA,NA,NA,NA
7/19/2022,BearFish,68303,C,NA,NA,NA,NA
7/19/2022,BearFish,68469,A,NA,NA,NA,NA
7/19/2022,BearFish,68469,B,NA,NA,NA,NA
7/19/2022,BearFish,68469,C,NA,NA,NA,NA
7/20/2022,BigTractor,39,A,unknown conifer,7.5,hard,75
7/20/2022,BigTractor,39,A,unknown conifer,10.8,hard,75
7/20/2022,BigTractor,39,B,unknown conifer,9.8,hard,75
7/20/2022,BigTractor,39,C,unknown conifer,7.4,hard,25
7/20/2022,BigTractor,39,C,unknown conifer,5.4,hard,75
7/20/2022,BigTractor,101,A,white spruce,10.6,hard,75
7/20/2022,BigTractor,101,A,white spruce,14.5,hard,75
7/20/2022,BigTractor,101,A,white spruce,9.4,hard,75
7/20/2022,BigTractor,101,A,white spruce,11.2,hard,75
7/20/2022,BigTractor,101,A,white spruce,10.6,crumbly,75
7/20/2022,BigTractor,101,A,white spruce,8.9,crumbly,75
7/20/2022,BigTractor,101,A,white spruce,6,hard,75
7/20/2022,BigTractor,101,B,white spruce,6.2,crumbly,75
7/20/2022,BigTractor,101,B,white spruce,11.8,hard,50
7/20/2022,BigTractor,101,B,white spruce,9.8,hard,75
7/20/2022,BigTractor,101,B,white spruce,6.4,hard,75
7/20/2022,BigTractor,101,B,white spruce,5.5,hard,75
7/20/2022,BigTractor,101,B,white spruce,6.1,hard,75
7/20/2022,BigTractor,101,C,white spruce,7.5,crumbly,75
7/20/2022,BigTractor,101,C,white spruce,6.4,hard,75
7/20/2022,BigTractor,101,C,white spruce,10.6,crumbly,75
7/20/2022,BigTractor,101,C,white spruce,18.6,hard,50
7/20/2022,BigTractor,101,C,white spruce,8.2,hard,75
7/20/2022,BigTractor,101,C,white spruce,10.2,hard,75
7/20/2022,BigTractor,145,A,white spruce,10.9,crumbly,50
7/20/2022,BigTractor,145,B,NA,NA,NA,NA
7/20/2022,BigTractor,145,C,white spruce,8.1,hard,75
7/20/2022,BigTractor,145,C,white spruce,5.1,hard,75
7/20/2022,BigTractor,158,A,white spruce,10.9,hard,50
7/20/2022,BigTractor,158,A,white spruce,8.8,soft,75
7/20/2022,BigTractor,158,B,white spruce,12.2,crumbly,75
7/20/2022,BigTractor,158,B,white spruce,8.3,hard,75
7/20/2022,BigTractor,158,C,white spruce,7.5,crumbly,75
7/20/2022,BigTractor,158,C,white spruce,5.2,hard,75
7/20/2022,BigTractor,262,A,white spruce,9.9,crumbly,75
7/20/2022,BigTractor,262,A,white spruce,17.8,crumbly,75
7/20/2022,BigTractor,262,B,white spruce,5,hard,75
7/20/2022,BigTractor,262,B,white spruce,6.2,hard,75
7/20/2022,BigTractor,262,B,white spruce,10.9,crumbly,75
7/20/2022,BigTractor,262,B,white spruce,6.6,hard,75
7/20/2022,BigTractor,262,C,white spruce,21.5,hard,50
7/20/2022,BigTractor,262,C,white spruce,15.9,soft,75
7/14/2023,BitzshitiniCosnaLittle,44,A,NA,NA,NA,NA
7/14/2023,BitzshitiniCosnaLittle,44,B,NA,NA,NA,NA
7/14/2023,BitzshitiniCosnaLittle,44,C,unknown,1,crumbly,75
7/14/2023,BitzshitiniCosnaLittle,45,A,black spruce,3.8,hard,50
7/14/2023,BitzshitiniCosnaLittle,45,B,NA,NA,NA,NA
7/14/2023,BitzshitiniCosnaLittle,45,C,NA,NA,NA,NA
7/14/2023,BitzshitiniCosnaLittle,46,A,NA,NA,NA,NA
7/14/2023,BitzshitiniCosnaLittle,46,B,black spruce,3.5,hard,25
7/14/2023,BitzshitiniCosnaLittle,46,B,unknown,1.6,hard,50
7/14/2023,BitzshitiniCosnaLittle,46,C,unknown,1,hard,0
7/14/2023,BitzshitiniCosnaLittle,46,C,black spruce,1.9,hard,25
7/14/2023,BitzshitiniCosnaLittle,46,C,black spruce,1.4,hard,25
7/15/2023,BitzshitiniCosnaLittle,47,A,NA,NA,NA,NA
7/15/2023,BitzshitiniCosnaLittle,47,B,black spruce,1,hard,25
7/15/2023,BitzshitiniCosnaLittle,47,B,black spruce,3.3,crumbly,25
7/15/2023,BitzshitiniCosnaLittle,47,B,black spruce,1.4,hard,25
7/15/2023,BitzshitiniCosnaLittle,47,C,black spruce,2.3,hard,50
7/15/2023,BitzshitiniCosnaLittle,47,C,black spruce,2.1,hard,75
7/15/2023,BitzshitiniCosnaLittle,47,C,NA,NA,NA,NA
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,2.2,hard,25
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,4.5,hard,25
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,2.2,hard,25
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,2.7,hard,25
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,1.5,crumbly,25
7/15/2023,BitzshitiniCosnaLittle,48,B,black spruce,2.7,crumbly,50
