fire,site,plot,unique_site_id,date,official_fire_scar,latitude,longitude,lat_NAD83,lon_NAD83,elevation,slope,aspect,moisture_class,moisture_numeric,recent_burn,second_burn,triple_burn,reburn_age_original_estimate,triple_age,std_age_max,std_age_min,std_age_avg,StdAge,reburn_class_original,Stdage_final,reburn_class_final,pre_fire_vegetation,site_notes,dens.trees,basal.area.trees,dens.shrubs,basal.area.shrubs,ForestType,prefire.trees.biomass,prefire.trees.carbon,combustion.trees.biomass,combustion.trees.carbon,postfire.trees.biomass,postfire.trees.carbon,prefire.shrubs.biomass,prefire.shrubs.carbon,combustion.shrubs.biomass,combustion.shrubs.carbon,postfire.shrubs.biomass,postfire.shrubs.carbon,prefire.snags.biomass,prefire.snags.carbon,combustion.snags.biomass,combustion.snags.carbon,postfire.snags.biomass,postfire.snags.carbon,post.cwd.carbon,pre.cwd.carbon,combustion.cwd.carbon,prefire.above,postfire.above,combustion.above,thaw_d,residualSOL_depth,burn_depth,prefireSOL_depth,residualSOL.C,SOL.C.Combusted,prefireSOL.C,totalC.combusted,prefire.carbon.total,postfire.carbon.total
Aggie,103,A,43,7/18/2021,Aggie Creek,65.24142,-148.14252,1710039.281,273601.108,313,7,249,mesic-subxeric,3,2015,NA,NA,100,NA,96,89,92.7,92.7,LONG,92.7,LONG,Black spruce,Hit rock;  residual pockets of deep sohagnum burned out,0.85,4.063650097,NA,NA,PIMA,1197.844,598.922,354.7644235,177.3822118,843.0795765,421.5397882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.922,421.5397882,177.3822118,35.66666667,18.25,19.97777778,38.22777778,8929.839416,4125.395609,13055.23503,4302.77782,13654.15703,9351.379205
Aggie,103,B,43,7/18/2021,Aggie Creek,65.24142,-148.14252,1710039.281,273601.108,313,7,249,mesic-subxeric,3,2015,NA,NA,100,NA,96,89,92.7,92.7,LONG,92.7,LONG,Black spruce,Hit rock;  residual pockets of deep sohagnum burned out,1.6,9.360375311,NA,NA,PIMA,2407.49665,1203.748325,954.8643974,477.4321987,1452.632253,726.3161263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203.748325,726.3161263,477.4321987,46.66666667,12.83333333,19.64444444,32.47777778,5926.697564,4026.036767,9952.734331,4503.468966,11156.48266,6653.01369
Aggie,111,C,40,7/17/2021,Aggie Creek,65.23943,-148.13654,1709843.016,273899.2616,344,9,23,mesic-subxeric,3,2015,NA,NA,100,NA,104,90,97.7,97.7,LONG,97.7,LONG,Black spruce; unburned birch and spruce nearby,Most trees down;  severe burn; a little grassy; lots of birch and spruce regeneration ,1.6,13.72208401,NA,NA,PIMA,3548.50545,1774.252725,1033.83984,516.9199202,2514.66561,1257.332805,0,0,0,0,0,0,0,0,0,0,0,0,28,112,84,1886.252725,1285.332805,600.9199202,43,7.916666667,19.53333333,27.45,3244.467272,4021.04647,7265.513742,4621.966391,9151.766467,4529.800077
Aggie,89,A,41,7/18/2021,Aggie Creek,65.2315,-148.13765,1708958.101,273925.4582,376,2,259,subhygric,6,2015,NA,NA,100,NA,90,89,89.7,89.7,LONG,89.7,LONG,Black spruce and tussocks,Soils collected intertussock; low severity,0.85,9.440878623,1.3,0.324369441,PIMA,2403.097,1201.5485,406.4702084,203.2351042,1996.626792,998.3133958,8.099668939,4.04983447,6.633114466,3.316557233,1.466554473,0.733277237,0,0,0,0,0,0,0,0,0,1205.598334,999.046673,206.5516614,65.5,16.16666667,14.64444445,30.81111111,6906.41305,2828.405834,9734.818884,3034.957495,10940.41722,7905.459723
Aggie,89,B,41,7/18/2021,Aggie Creek,65.2315,-148.13765,1708958.101,273925.4582,376,2,259,subhygric,6,2015,NA,NA,100,NA,90,89,89.7,89.7,LONG,89.7,LONG,Black spruce and tussocks,Soils collected intertussock; low severity,0.8,1.061858317,2.1,0.487732259,PIMA,227.2391,113.61955,65.31267796,32.65633898,161.926422,80.96321102,12.05689126,6.028445628,11.64643031,5.823215153,0.410460949,0.205230474,0,0,0,0,0,0,0,0,0,119.6479956,81.16844149,38.47955413,65,14.83333333,8.45,23.28333333,6247.88979,1470.112485,7718.002276,1508.592039,7837.650271,6329.058232
Aggie,89,C,41,7/18/2021,Aggie Creek,65.2315,-148.13765,1708958.101,273925.4582,376,2,259,subhygric,6,2015,NA,NA,100,NA,90,89,89.7,89.7,LONG,89.7,LONG,Black spruce and tussocks,Soils collected intertussock; low severity,1.8,6.889905388,0.2,0.045749443,PIMA,1976.57085,988.285425,282.7653355,141.3826677,1693.805515,846.9027573,1.154084372,0.577042186,1.154084372,0.577042186,0,0,0,0,0,0,0,0,0,0,0,988.8624672,846.9027573,141.9597099,44,23.25,7.922222222,31.17222222,10542.98467,1351.324427,11894.3091,1493.284137,12883.17156,11389.88743
Aggie,103,C,43,7/18/2021,Aggie Creek,65.24142,-148.14252,1710039.281,273601.108,313,7,249,mesic-subxeric,3,2015,NA,NA,100,NA,96,89,92.7,92.7,LONG,92.7,LONG,Black spruce,Hit rock;  residual pockets of deep sohagnum burned out,1.6,6.254125575,NA,NA,PIMA,1588.3246,794.1623,581.044943,290.5224715,1007.279657,503.6398285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.1623,503.6398285,290.5224715,43,11.16666667,25.7,36.86666667,5040.545616,5614.78358,10655.3292,5905.306052,11449.4915,5544.185445
Aggie,109,A,44,7/18/2021,Aggie Creek,65.23398,-148.13544,1709242.533,274004.0791,352,3,223,mesic,4,2015,NA,NA,100,NA,97,94,95,95,LONG,95,LONG,Black spruce,High severity. Humid later. Spruce and birch regen. Most trees fallen. Deep burning. ,1,11.48291385,NA,NA,PIMA,2969.0089,1484.50445,763.8123272,381.9061636,2205.196573,1102.598286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484.50445,1102.598286,381.9061636,69,12.33333333,24.64444445,36.97777778,5672.387824,5302.607433,10974.99526,5684.513597,12459.49971,6774.98611
Aggie,109,B,44,7/18/2021,Aggie Creek,65.23398,-148.13544,1709242.533,274004.0791,352,3,223,mesic,4,2015,NA,NA,100,NA,97,94,95,95,LONG,95,LONG,Black spruce,High severity. Humid later. Spruce and birch regen. Most trees fallen. Deep burning. ,0.95,8.419075613,NA,NA,PIMA,2171.22855,1085.614275,678.3789987,339.1894994,1492.849551,746.4247756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.614275,746.4247756,339.1894994,68.5,12.25,24.31111111,36.56111111,5627.793025,5202.236924,10830.02995,5541.426423,11915.64422,6374.217801
Aggie,109,C,44,7/18/2021,Aggie Creek,65.23398,-148.13544,1709242.533,274004.0791,352,3,223,mesic,4,2015,NA,NA,100,NA,97,94,95,95,LONG,95,LONG,Black spruce,High severity. Humid later. Spruce and birch regen. Most trees fallen. Deep burning. ,1.85,9.954529022,NA,NA,PIMA,2397.99235,1198.996175,887.3993141,443.699657,1510.593036,755.296518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.996175,755.296518,443.699657,73,11.08333333,12.7,23.78333333,5008.827508,2386.920405,7395.747913,2830.620062,8594.744088,5764.124026
