date,fire_scar,site,plot,location,species,seedling_count,bd1,bd2,bd3
7/18/2021,Aggie,89,A,3m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,A,3m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,A,3m,black_spruce,9,0.3,0.4,0.4
7/18/2021,Aggie,89,A,6m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,A,6m,birch,8,0.4,0.7,1
7/18/2021,Aggie,89,A,6m,black_spruce,34,0.3,1.5,1.6
7/18/2021,Aggie,89,A,9m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,A,9m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,A,9m,black_spruce,8,1.1,0.3,0.6
7/18/2021,Aggie,89,B,3m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,B,3m,birch,1,0.8,NA,NA
7/18/2021,Aggie,89,B,3m,black_spruce,7,0.5,1.4,1.1
7/18/2021,Aggie,89,B,6m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,B,6m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,B,6m,black_spruce,5,0.3,0.5,0.2
7/18/2021,Aggie,89,B,9m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,B,9m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,B,9m,black_spruce,16,0.3,0.5,4
7/18/2021,Aggie,89,C,3m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,C,3m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,C,3m,black_spruce,3,1,1.6,0.3
7/18/2021,Aggie,89,C,6m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,C,6m,birch,1,0.6,NA,NA
7/18/2021,Aggie,89,C,6m,black_spruce,8,0.8,0.6,2.5
7/18/2021,Aggie,89,C,9m,aspen,0,NA,NA,NA
7/18/2021,Aggie,89,C,9m,birch,0,NA,NA,NA
7/18/2021,Aggie,89,C,9m,black_spruce,0,NA,NA,NA
7/17/2021,Aggie,93,A,3m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,A,3m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,A,3m,black_spruce,4,0.9,0.8,0.4
7/17/2021,Aggie,93,A,6m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,A,6m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,A,6m,black_spruce,0,NA,NA,NA
7/17/2021,Aggie,93,A,9m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,A,9m,birch,3,0.2,0.7,1.2
7/17/2021,Aggie,93,A,9m,black_spruce,23,0.5,0.7,0.4
7/17/2021,Aggie,93,B,3m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,B,3m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,B,3m,black_spruce,5,0.9,1.3,0.7
7/17/2021,Aggie,93,B,6m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,B,6m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,B,6m,black_spruce,0,NA,NA,NA
7/17/2021,Aggie,93,B,9m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,B,9m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,B,9m,black_spruce,0,NA,NA,NA
7/17/2021,Aggie,93,C,3m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,C,3m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,C,3m,black_spruce,3,0.1,0.5,0.7
7/17/2021,Aggie,93,C,6m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,C,6m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,C,6m,black_spruce,0,NA,NA,NA
7/17/2021,Aggie,93,C,9m,aspen,0,NA,NA,NA
7/17/2021,Aggie,93,C,9m,birch,0,NA,NA,NA
7/17/2021,Aggie,93,C,9m,black_spruce,1,NA,NA,NA
7/17/2021,Aggie,94,A,3m,aspen,0,NA,NA,NA
7/17/2021,Aggie,94,A,3m,birch,0,NA,NA,NA
7/17/2021,Aggie,94,A,3m,black_spruce,12,0.4,0.7,0.4
7/17/2021,Aggie,94,A,6m,aspen,0,NA,NA,NA
