date,fire_scar,site,plot,shrubs_present,shrub_species,dbh,dbh_count,basal_diameter,basal_count,foliage_combustion,branch_combustion,stem_combustion,shrub_notes
7/24/2021,TananaRoad,735,A,yes,Alder,NA,NA,2.9,7,25,25,25,NA
7/24/2021,TananaRoad,747,A,yes,Salix,NA,NA,0.9,1,100,100,100,NA
7/24/2021,TananaRoad,747,A,yes,Salix,NA,NA,1.55,2,100,100,75,NA
7/24/2021,TananaRoad,747,A,yes,Salix,NA,NA,0.7,3,100,100,100,NA
7/24/2021,TananaRoad,747,A,yes,Unknown,NA,NA,2,2,100,100,100,NA
7/20/2021,Shovel,47,C,yes,Betula,NA,NA,1.4,5,100,50,25,NA
7/20/2021,Shovel,47,C,yes,Betula,NA,NA,1.9,1,50,25,0,NA
7/20/2021,Shovel,47,C,yes,Betula,NA,NA,0.8,1,100,100,100,NA
7/20/2021,Shovel,47,C,yes,Betula,NA,NA,0.6,1,100,100,50,NA
7/9/2021,MtPrindle1,570,B,yes,Salix,1.4,5,NA,NA,25,25,0,NA
7/17/2021,Aggie,94,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2021,Aggie,110,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2021,MtPrindle2,627,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/24/2021,TananaRoad,747,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/2021,Aggie,111,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2021,TananaRoad,876,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2021,MtPrindle1,554,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,0.6,7,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1,4,50,25,25,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,0.5,17,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Betula,NA,NA,1.4,2,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1.4,2,50,25,0,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1.3,3,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1,10,100,75,50,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,0.5,9,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1,6,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1.5,2,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Betula,NA,NA,0.8,3,100,100,100,NA
7/11/2021,Livengood,134,B,yes,Salix,NA,NA,1.1,4,100,100,100,NA
7/24/2021,TananaRoad,929,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2021,MtPrindle2,607,C,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2021,Livengood,126,C,yes,Betula,NA,NA,1,12,100,100,100,NA
7/11/2021,Livengood,126,C,yes,Betula,NA,NA,1.5,1,25,0,0,NA
7/25/2021,TananaRoad,777,A,yes,Salix,NA,NA,0.3,2,25,0,0,NA
7/10/2021,Livengood,179,C,yes,Alder,0.8,9,NA,NA,100,100,50,NA
7/9/2021,MtPrindle1,554,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2021,Livengood,134,C,yes,Salix,NA,NA,0.7,2,100,100,75,NA
7/11/2021,Livengood,134,C,yes,Salix,NA,NA,0.7,3,100,100,100,NA
7/11/2021,Livengood,134,C,yes,Salix,NA,NA,1,7,100,100,100,NA
7/11/2021,Livengood,134,C,yes,Salix,NA,NA,0.4,2,100,100,50,NA
7/15/2021,Manley,360,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2021,Aggie,99,A,yes,Betula,NA,NA,0.3,47,100,100,100,NA
7/14/2021,Manley,358,C,yes,Salix,NA,NA,0.6,1,100,100,100,NA
7/25/2021,TananaRoad,757,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/2021,Livengood,173,B,yes,Salix,0.4,1,NA,NA,25,25,25,NA
7/10/2021,Livengood,173,B,yes,Betula,NA,NA,1.2,10,100,100,100,NA
7/10/2021,Livengood,173,B,yes,Betula,NA,NA,1,4,100,100,100,NA
7/10/2021,Livengood,173,B,yes,Betula,NA,NA,1.1,3,100,100,100,NA
7/10/2021,Livengood,173,B,yes,Salix,NA,NA,1.6,3,100,100,100,NA
7/10/2021,Livengood,148,C,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2021,MtPrindle2,627,C,yes,Betula,NA,NA,1.4,18,0,0,0,NA
7/8/2021,MtPrindle2,627,C,yes,Betula,NA,NA,1.4,3,0,0,0,NA
7/8/2021,MtPrindle2,627,C,yes,Betula,NA,NA,1.3,3,100,100,75,NA
7/8/2021,MtPrindle2,627,C,yes,Betula,NA,NA,1.3,3,0,0,0,NA
7/15/2021,Manley,360,C,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/2021,Aggie,103,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2021,Manley,358,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2021,Livengood,126,A,yes,Salix,NA,NA,1,1,100,100,100,NA
7/11/2021,Livengood,126,A,yes,Betula,NA,NA,1.2,10,100,100,100,NA
7/11/2021,Livengood,126,A,yes,Salix,NA,NA,0.6,2,25,0,0,NA
7/11/2021,Livengood,126,A,yes,Betula,NA,NA,0.4,4,100,100,100,NA
7/17/2021,Aggie,93,C,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2021,MtPrindle1,552,B,yes,Salix,NA,NA,1,1,100,25,0,NA
7/9/2021,MtPrindle1,552,B,yes,Salix,NA,NA,0.3,3,100,0,0,NA
7/15/2021,Manley,359,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/2021,Manley,342,B,yes,Salix,NA,NA,1.1,4,100,100,100,NA
7/15/2021,Manley,342,B,yes,Salix,NA,NA,2.5,4,100,100,100,NA
7/15/2021,Manley,342,B,yes,Salix,NA,NA,1.8,2,100,100,100,NA
7/15/2021,Manley,342,B,yes,Salix,1.6,9,NA,NA,50,25,0,NA
7/15/2021,Manley,342,B,yes,Salix,NA,NA,1.3,3,100,100,100,NA
7/9/2021,MtPrindle1,570,A,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/2021,Manley,358,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/2021,TananaRoad,740,B,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/2021,Shovel,47,B,yes,Betula,NA,NA,1.2,1,0,0,0,NA
7/20/2021,Shovel,47,B,yes,Betula,NA,NA,1.1,1,50,25,0,NA
7/20/2021,Shovel,47,B,yes,Salix,NA,NA,3.4,1,0,0,0,NA
7/20/2021,Shovel,47,B,yes,Betula,NA,NA,1.4,7,50,25,0,NA
7/20/2021,Shovel,47,B,yes,Salix,NA,NA,0.9,1,0,0,0,NA
7/20/2021,Shovel,47,B,yes,Betula,NA,NA,3,1,0,0,0,NA
7/20/2021,Shovel,47,B,yes,Salix,NA,NA,1.4,1,0,0,0,NA
7/17/2021,Aggie,94,C,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,1.9,1,0,0,0,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,0.9,3,0,0,0,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,0.9,10,0,0,0,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,1.2,2,100,50,25,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,1.4,6,0,0,0,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,1.2,2,0,0,0,NA
7/8/2021,MtPrindle2,587,C,yes,Betula,NA,NA,1.7,8,25,25,0,NA
