date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/8/2021,MtPrindle2,624,B,black spruce,yes,yes,no,6.3,NA,NA,NA,NA,75,0,Hard
7/8/2021,MtPrindle2,624,C,black spruce,yes,yes,no,13.7,NA,NA,NA,NA,75,0,Hard
7/8/2021,MtPrindle2,627,B,black spruce,yes,yes,no,9.5,NA,0,NA,75,50,0,Hard
7/8/2021,MtPrindle2,627,C,black spruce,yes,yes,no,3.5,NA,NA,NA,100,75,0,Hard
7/19/2022,BearFish,6846,B,birch,yes,yes,no,6.2,NA,NA,100,100,100,0,
7/19/2022,BearFish,6887,C,aspen,yes,yes,no,12.8,NA,NA,100,75,75,0,110
7/21/2022,Tractor,1232,A,white spruce,no,yes,no,10.5,NA,NA,100,100,100,0,
7/21/2022,Tractor,1232,C,white spruce,yes,yes,no,12.5,NA,NA,100,100,100,0,
7/21/2022,Tractor,1232,C,unknown conifer,yes,yes,no,3.8,NA,NA,100,100,100,0,
7/21/2022,Tractor,2132,B,black spruce,yes,yes,no,1.6,NA,NA,100,100,100,0,
7/21/2022,Tractor,2132,C,black spruce,yes,yes,no,3.8,NA,NA,100,100,100,0,
7/21/2022,Tractor,2132,C,black spruce,yes,yes,no,3.8,NA,NA,100,100,100,0,
7/21/2022,Tractor,2132,C,black spruce,yes,yes,no,4.2,NA,NA,100,100,100,0,
7/21/2022,Tractor,2132,A,black spruce,yes,yes,no,7.5,NA,NA,100,100,100,0,
7/21/2022,Tractor,2513,B,white spruce,yes,yes,no,2.9,NA,NA,100,100,100,0,
7/21/2022,Tractor,2513,A,white spruce,yes,yes,no,11.7,NA,100,100,100,100,0,
7/21/2022,Tractor,2759,B,unknown conifer,yes,yes,no,2.9,NA,NA,100,100,100,0,
7/21/2022,Tractor,2759,A,black spruce,yes,yes,no,11.6,NA,NA,100,100,100,0,
7/21/2022,Tractor,4156,A,white spruce,yes,yes,no,13,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,8.4,NA,NA,100,100,100,50,Stem 50% combusted
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,16.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,6.6,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,7.5,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,7.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,B,black spruce,no,yes,no,6.6,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,A,black spruce,no,yes,no,10.4,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,A,black spruce,no,yes,no,10.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,4.4,NA,NA,100,100,75,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,10.3,NA,NA,100,100,75,0,
7/22/2022,LittleYunBear,342,A,black spruce,no,yes,no,10.8,NA,NA,100,100,75,0,
7/22/2022,LittleYunBear,342,C,black spruce,no,yes,no,10.9,NA,NA,75,75,50,0,
7/22/2022,LittleYunBear,410,A,black spruce,yes,yes,no,9.5,NA,NA,100,100,100,75,Stem 75%
7/22/2022,LittleYunBear,410,B,black spruce,no,yes,no,10.5,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,410,B,black spruce,no,yes,no,8.5,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,410,C,black spruce,no,yes,no,7.1,NA,NA,100,75,75,0,
7/22/2022,LittleYunBear,410,C,black spruce,no,yes,no,5.9,NA,NA,100,100,50,0,
7/22/2022,LittleYunBear,501,C,black spruce,yes,yes,no,2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,664,A,black spruce,no,yes,no,2.5,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,664,A,black spruce,no,yes,no,4.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,664,A,black spruce,no,yes,no,3.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,664,A,black spruce,no,yes,no,3.9,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,B,black spruce,yes,yes,no,4.5,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,B,black spruce,no,yes,no,NA,3.5,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,B,black spruce,no,yes,no,1.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,3.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,2.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,NA,2.9,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,2.9,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,1.6,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,2.8,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,1.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,3.1,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,1.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,2.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,A,black spruce,no,yes,no,2.9,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,C,black spruce,no,yes,no,1.2,NA,NA,100,100,100,0,
7/22/2022,LittleYunBear,2101,C,black spruce,no,yes,no,2.1,NA,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,unknown,yes,yes,no,3.5,NA,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,black spruce,yes,yes,no,NA,5.1,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,black spruce,yes,yes,no,NA,3.5,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,aspen,yes,yes,no,NA,6.1,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,aspen,yes,yes,no,NA,4.5,NA,100,100,100,0,
7/23/2022,FrozenFish,374,A,black spruce,yes,yes,no,1.8,NA,NA,100,100,100,0,
