sample_id,field_id,fire,site,plot,soil_depth_top_cm,soil_depth_bottom_cm,initial_mass_g,pre_homo_subsample_mass_g,cn_d1,cn_d2,cn_w1,cn_w2,cn_l1,cn_l2,homogenized_soil_mass_g,subsample_fine_wet_mass_g,coarse_wet_mass_g,rock_weight_g,rock_volume_ml,subsample_fine_dry_mass_g,coarse_dry_mass_g,N_weight_per,C_weight_per
LC_1000,Manley 326C,Manley,326,C,0,5,46.23,46.23,4.25,4.5,9.5,10.5,6.75,6.5,35.07,23.71,7.4,NA,NA,15.95,NA,1.56,38.97
LC_1001,Manley 328A,Manley,328,A,0,5,80.86,80.86,5,5.25,11.5,11,5,5,77.66,25.74,3.59,NA,NA,16.81,NA,0.62,15.08
LC_1002,Manley 328A,Manley,328,A,5,10,76.01,76.01,2,2.5,10.5,10.5,5,5,73.15,24.64,1.62,NA,NA,16.71,NA,0.23,4.46
LC_1003,Manley 331A,Manley,331,A,0,5,66.23,66.23,2,1,12,10.5,5,5,62.56,26.68,1.82,NA,NA,17.01,NA,0.66,8.31
LC_1004,Manley 342B,Manley,342,B,0,5,28.8,28.8,5,5,11.5,12,4.5,4.5,25.94,22.61,1.57,NA,NA,13.54,NA,1.48,41.81
LC_1005,Manley 342B,Manley,342,B,5,10,84.24,84.24,4,3.5,12,11.5,5.5,5,79.28,24.49,2.48,NA,NA,14.4,NA,0.56,15.11
LC_1006,Manley 345A,Manley,345,A,0,5,26.25,26.25,3.5,4.5,10,10,4.5,5,24.66,24.48,0.64,NA,NA,15.02,NA,1.03,43.09
LC_1007,Manley 355A,Manley,355,A,0,5,18.84,18.84,4.2,4.8,10.3,10,4,4.5,14.25,13.85,2.83,NA,NA,9.21,NA,1.11,48.06
LC_1008,Manley 355A,Manley,355,A,5,10,98.46,98.46,6.5,5.5,11,11,3.5,4.4,91.8,25.55,3.42,NA,NA,13.89,NA,0.68,16.65
LC_1009,Manley 358B,Manley,358,B,0,5,194.11,194.11,3.5,2.5,13,14.5,6.5,6.5,181.19,28.46,7.9,NA,NA,22.38,NA,0.32,6.11
LC_1010,Manley 359B,Manley,359,B,0,5,71.04,71.04,4.5,4.5,12.5,13,4.5,4.5,62.61,27.07,4.95,NA,NA,7.48,NA,1.87,39.35
LC_1011,Manley 359B,Manley,359,B,5,10,238.76,238.76,6,5,13,13,4,4,229.6,24.94,4.98,NA,NA,13.44,NA,0.59,10.65
LC_1012,Manley 360A,Manley,360,A,0,5,178.54,178.54,5,4.8,12.5,12,5,5,173.48,28.84,2,NA,NA,18.7,NA,0.62,11.8
LC_1013,MtPrindle1 536B,MtPrindle1,536,B,0,5,232.1,232.1,4.5,3.5,14.5,14,5.5,5,219.33,28.98,6.52,NA,NA,16.7,NA,0.89,13.46
LC_1014,MtPrindle1 542C,MtPrindle1,542,C,0,5,56.57,56.57,2.5,2,10,10,4.5,5,54.27,26.68,1.04,NA,NA,21.18,NA,0.77,11.45
LC_1015,MtPrindle1 552C,MtPrindle1,552,C,0,5,87.02,87.02,2,2,5.5,6,11,11,81.48,28.74,1.58,NA,NA,19.44,NA,0.7,11.92
LC_1016,MtPrindle1 554B,MtPrindle1,554,B,0,5,98.31,98.31,2,2,12,12.5,4.5,5,79.28,28.77,8.31,NA,NA,24.18,NA,0.41,7.21
LC_1017,MtPrindle1 570C,MtPrindle1,570,C,0,5,92.75,92.75,3,2.5,12,12.5,5,6,81.48,24.84,0.12,NA,NA,17.88,NA,0.69,12.91
LC_1018,MtPrindle1 576B,MtPrindle1,576,B,0,5,71.42,71.42,2,2,10.5,10.5,5,5.5,79.28,26.9,0.78,NA,NA,19.1,NA,0.67,11.57
LC_1019,MtPrindle2 587C,MtPrindle2,587,C,0,5,46.72,46.72,4.5,4.5,5,5,13,13,81.52,21.82,3.07,NA,NA,7.97,NA,1.41,46.85
