fire,site,plot,date,location,org_depth,org_hit,ar_sol_depth,ar_sol_hit,ar_height,thaw_d,thaw_hit
Aggie,103,A,7/18/2021,3 m,21,Mineral,5.5,Mineral,11,45,Rock
Aggie,103,A,7/18/2021,6 m,18,Mineral,21,Mineral,20.33333333,26,Rock
Aggie,103,A,7/18/2021,9 m,22,Mineral,22,Mineral,19,36,Rock
Aggie,103,B,7/18/2021,6 m,8,Mineral,18.5,Mineral,19,42,Rock
Aggie,103,B,7/18/2021,3 m,25.5,Mineral,4,Mineral,14,53,Rock
Aggie,103,B,7/18/2021,9 m,17,Mineral,4,Mineral,16.33333333,45,Rock
Aggie,103,C,7/18/2021,3 m,10,Mineral,12,Mineral,18.66666667,42,Rock
Aggie,103,C,7/18/2021,6 m,10.25,Mineral,10.25,Mineral,15.66666667,37,Rock
Aggie,103,C,7/18/2021,9 m,11.5,Mineral,13,Mineral,33.16666667,50,Rock
Aggie,109,A,7/18/2021,3 m,16.5,Mineral,13.5,Mineral,25.66666667,72,Mineral
Aggie,109,A,7/18/2021,9 m,16,Mineral,12.5,Mineral,23,NA,
Aggie,109,A,7/18/2021,6 m,8,Mineral,7.5,Mineral,15.66666667,66,Mineral
Aggie,109,B,7/18/2021,6 m,9.75,Mineral,20,Mineral,18.66666667,66,Mineral
Aggie,109,B,7/18/2021,3 m,13.25,Mineral,10,Mineral,20.66666667,71,Mineral
Aggie,109,B,7/18/2021,9 m,9.5,Mineral,11,,24,NA,
Aggie,109,C,7/18/2021,3 m,8.75,Mineral,11,Mineral,11.66666667,73,Mineral
Aggie,109,C,7/18/2021,6 m,9,Mineral,12.75,Mineral,10.33333333,NA,
Aggie,109,C,7/18/2021,9 m,12.5,Mineral,12.5,Mineral,6.5,NA,
Aggie,110,A,7/18/2021,6 m,12.5,Mineral,16.5,Mineral,16,NA,
Aggie,110,A,7/18/2021,9 m,14,Mineral,14,Mineral,17,NA,
Aggie,110,A,7/18/2021,3 m,11.5,Mineral,13.5,Mineral,12.66666667,NA,
Aggie,110,B,7/18/2021,3 m,8.5,Mineral,22,Mineral,10.33333333,NA,
Aggie,110,B,7/18/2021,6 m,12,Mineral,12,Mineral,8.166666667,NA,
Aggie,110,B,7/18/2021,9 m,8,Mineral,8,Mineral,13,NA,
Aggie,110,C,7/18/2021,6 m,10,Mineral,8,Mineral,10,73,Mineral
Aggie,110,C,7/18/2021,9 m,9,Mineral,16,Mineral,14.66666667,66,Mineral
Aggie,110,C,7/18/2021,3 m,10,Mineral,9.5,Mineral,16,72,Mineral
Aggie,111,A,7/17/2021,6 m,7,Mineral,4,Mineral,29,40,Rock
Aggie,111,A,7/17/2021,9 m,23,Mineral,4.25,Mineral,23.66666667,52,Rock
Aggie,111,A,7/17/2021,3 m,8,Mineral,12.5,Mineral,12.66666667,38,Rock
Aggie,111,B,7/17/2021,3 m,14.5,Mineral,9,Mineral,19,35,Rock
Aggie,111,B,7/17/2021,6 m,12.5,Mineral,12.5,Mineral,14,32,Rock
Aggie,111,B,7/17/2021,9 m,18,Mineral,7.5,Mineral,19.33333333,36,Rock
Aggie,111,C,7/17/2021,6 m,9.25,Mineral,16,Mineral,11,42,Rock
Aggie,111,C,7/17/2021,9 m,5.5,Mineral,6,Mineral,15.66666667,47,Rock
Aggie,111,C,7/17/2021,3 m,10.75,Mineral,0,Mineral,22.33333333,40,Rock
Aggie,89,A,7/18/2021,9 m,27,Mineral,12.25,Mineral,14,NA,
Aggie,89,A,7/18/2021,6 m,13,Mineral,13,Mineral,9.666666667,51,Frozen Ground
Aggie,89,A,7/18/2021,3 m,22,Mineral,9.75,Mineral,10.66666667,80,Frozen Ground
Aggie,89,B,7/18/2021,9 m,11,Mineral,11,Mineral,6.75,NA,
Aggie,89,B,7/18/2021,3 m,14.5,"Mineral,Rock",21.5,Mineral,2,75,Frozen Ground
Aggie,89,B,7/18/2021,6 m,8.5,Mineral,22.5,Mineral,7,55,Frozen Ground
Aggie,89,C,7/18/2021,3 m,27,Mineral,11,Mineral,5.333333333,56,Frozen Ground
Aggie,89,C,7/18/2021,6 m,23.5,Mineral,35.5,Mineral,5.833333333,36,Frozen Ground
Aggie,89,C,7/18/2021,9 m,22.5,Mineral,20,Rock,3,40,Frozen Ground
Aggie,93,A,7/17/2021,6 m,10,Mineral,12.75,Rock,20.83333333,56,Rock
Aggie,93,A,7/17/2021,3 m,30.5,Rock,14.5,Rock,6.833333333,31,Rock
Aggie,93,A,7/17/2021,9 m,9.25,Mineral,27,Mineral,8.333333333,57,Rock
Aggie,93,B,7/17/2021,6 m,6.5,"Mineral,Rock",15.5,Mineral,6.5,17,Rock
