date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/3/2021,Shovel,21,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/3/2021,Shovel,41,A,white spruce,no,NA,no,23.3,NA,0,25,25,0,NA,
7/3/2021,Shovel,41,A,black spruce,no,NA,no,13.2,NA,0,75,75,25,NA,
7/3/2021,Shovel,41,A,black spruce,no,NA,no,10,NA,0,25,25,0,NA,
7/3/2021,Shovel,41,A,black spruce,no,NA,no,4.2,NA,NA,100,50,25,NA,
7/3/2021,Shovel,41,A,black spruce,yes,NA,no,NA,2,0,0,0,0,NA,
7/3/2021,Shovel,41,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No trees in transect
7/3/2021,Shovel,41,C,black spruce,no,NA,no,13,NA,0,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,12.6,NA,25,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,12,NA,25,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,11.3,NA,NA,50,50,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,10.7,NA,0,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,9.6,NA,50,75,75,25,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,8.2,NA,0,0,0,0,NA,Top half of tree snapped off before fire
7/3/2021,Shovel,41,C,black spruce,no,NA,no,4.9,NA,0,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,4.9,NA,25,25,25,0,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,4.2,NA,NA,75,75,25,NA,
7/3/2021,Shovel,41,C,black spruce,no,NA,no,3.1,NA,NA,75,75,25,NA,
7/4/2021,Shovel,21,B,black spruce,yes,NA,no,4.21,NA,25,0,50,50,NA,
7/4/2021,Shovel,21,B,black spruce,yes,NA,no,2.64,NA,0,0,25,25,NA,
7/4/2021,Shovel,21,B,black spruce,yes,NA,no,1.98,NA,25,0,25,25,NA,
