fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,ground_cover_type,ground_cover_type_other,ground_percent_cover,total_ground_cover,ground_cover_notes
515e4f96-ad01-46aa-b9e8-080a2ba49c5b,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499137977414,-147.63121302958393,POINT (-147.63121302958393 65.17499137977414),2024-07-14 23:46:23 UTC,2024-07-14 23:46:34 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Ceratodon purpureus,,5,5,
e439161c-b15e-4a49-8e52-3823122b5afa,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499225887642,-147.63120579582036,POINT (-147.63120579582036 65.17499225887642),2024-07-14 23:46:35 UTC,2024-07-14 23:46:48 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Coarse Woody Debris,,2,7,
9a3c7f45-4dbe-43a8-bcab-f072c086b559,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499225887642,-147.63120579582036,POINT (-147.63120579582036 65.17499225887642),2024-07-14 23:46:48 UTC,2024-07-14 23:47:00 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Fine Woody Debris,,4,10,
07491800-6486-4070-b920-f0af93702e2d,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499129966093,-147.6312149727426,POINT (-147.6312149727426 65.17499129966093),2024-07-14 23:47:01 UTC,2024-07-14 23:47:13 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Fruticose Lichen,,1,12,
1735eab8-8907-437c-a06b-2db6648c24ea,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499722628193,-147.63120614870448,POINT (-147.63120614870448 65.17499722628193),2024-07-14 23:47:25 UTC,2024-07-14 23:47:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Grass Litter,,2,14,
49724c32-e60d-4e94-b323-17b9e027c809,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17500116319158,-147.63120146161955,POINT (-147.63120146161955 65.17500116319158),2024-07-14 23:47:33 UTC,2024-07-14 23:47:42 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Litter,,0.1,14.1,
d9e2f98b-1686-476a-8a76-4f30bba9fa03,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17500084107463,-147.63120279862147,POINT (-147.63120279862147 65.17500084107463),2024-07-14 23:47:49 UTC,2024-07-14 23:48:08 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Organic,,12,26.1,
64bc49d4-7bee-448c-93eb-7b6c3d29712f,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499942234254,-147.63120595686019,POINT (-147.63120595686019 65.17499942234254),2024-07-14 23:48:09 UTC,2024-07-14 23:48:42 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,,Unburned moss,73.9,100,
5de21fd3-ee64-4d97-a43a-9925d788a355,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17501905473723,-147.63118565150708,POINT (-147.63118565150708 65.17501905473723),2024-07-14 23:51:16 UTC,2024-07-14 23:51:26 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Polytrichum,,0.1,0.1,
83ff937f-88b3-4282-92b3-f0fc49612f99,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17502532344284,-147.6311823610446,POINT (-147.6311823610446 65.17502532344284),2024-07-14 23:51:27 UTC,2024-07-14 23:51:46 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Coarse Woody Debris,,3,3.1,
ec8668e3-9101-487b-b4a3-bb289a972667,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17502438433121,-147.63119109650597,POINT (-147.63119109650597 65.17502438433121),2024-07-14 23:51:49 UTC,2024-07-14 23:51:59 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Fine Woody Debris,,1,4.1,
