_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_changeset_id,_created_duration,_updated_duration,_edited_duration,species,diameter_cm,decay_class,combustion,cwd_notes,cwd_photo,cwd_photo_captions,cwd_photo_urls
920eefe8-87e2-48d1-a087-b90906615076,04ee79ed-9855-44cf-af02-e693e99a41e3,04ee79ed-9855-44cf-af02-e693e99a41e3,"black spruce, 6.1, hard",1,2025-07-23 21:04:46 UTC,2025-07-23 21:05:26 UTC,,,Xanthe Walker,Xanthe Walker,0,b2b8f7f7-0dd4-4ba9-99ee-6eff156e2e33,39,39,39,black spruce,6.1,hard,25,,,,
347dc158-f356-4963-bc17-0d4abfad89d9,04ee79ed-9855-44cf-af02-e693e99a41e3,04ee79ed-9855-44cf-af02-e693e99a41e3,"black spruce, 6.2, hard",1,2025-07-23 21:05:27 UTC,2025-07-23 21:05:39 UTC,,,Xanthe Walker,Xanthe Walker,1,b2b8f7f7-0dd4-4ba9-99ee-6eff156e2e33,11,11,11,black spruce,6.2,hard,25,,,,
a2ba48f5-96eb-4362-b2e5-c69949d46beb,04ee79ed-9855-44cf-af02-e693e99a41e3,04ee79ed-9855-44cf-af02-e693e99a41e3,"black spruce, 6, hard",1,2025-07-23 21:05:40 UTC,2025-07-23 21:06:18 UTC,,,Xanthe Walker,Xanthe Walker,2,b2b8f7f7-0dd4-4ba9-99ee-6eff156e2e33,9,2,14,black spruce,6,hard,25,,,,
4d06f493-27b0-4b3d-97dd-4862bb3beee3,04ee79ed-9855-44cf-af02-e693e99a41e3,04ee79ed-9855-44cf-af02-e693e99a41e3,"black spruce, 6.1, hard",1,2025-07-23 21:06:19 UTC,2025-07-23 21:06:29 UTC,,,Xanthe Walker,Xanthe Walker,3,b2b8f7f7-0dd4-4ba9-99ee-6eff156e2e33,10,10,10,black spruce,6.1,hard,25,,,,
008cc82f-c4f9-4adf-a77e-207a0553c1bb,30a33218-4a9e-48dc-a61e-09b1c5744b90,30a33218-4a9e-48dc-a61e-09b1c5744b90,"black spruce, 5.2, hard",1,2025-07-23 21:04:18 UTC,2025-07-23 21:04:27 UTC,,,Xanthe Walker,Xanthe Walker,0,b2b8f7f7-0dd4-4ba9-99ee-6eff156e2e33,9,9,9,black spruce,5.2,hard,25,,,,
46b675f6-4cca-4085-9b8e-651115288ace,48e61a7b-851a-4ad8-ba2e-0fc16f0eb744,48e61a7b-851a-4ad8-ba2e-0fc16f0eb744,"black spruce, 10.4, crumbly",2,2025-07-23 21:01:57 UTC,2025-07-23 21:02:29 UTC,,,Xanthe Walker,Xanthe Walker,0,479d45fd-6a93-4aca-a505-f08bac700522,32,32,32,black spruce,10.4,crumbly,75,,,,
4fee83ed-2fb4-4b7f-8a68-5f1d128ac79c,592a3b07-6d70-4808-896d-ab8e821598b3,592a3b07-6d70-4808-896d-ab8e821598b3,"black spruce, 5.7, hard",1,2025-08-09 00:52:37 UTC,2025-08-09 00:54:57 UTC,,,Xanthe Walker,Xanthe Walker,0,518c7cc7-f9c0-4868-8c75-cd475c7e4abe,139,139,139,black spruce,5.7,hard,50,,,,
ce0af1c2-95c9-4e0e-a721-7d29bfd093ed,06968bdc-b8d5-4016-aa6c-38eb9ba8bf49,06968bdc-b8d5-4016-aa6c-38eb9ba8bf49,"black spruce, 5, hard",1,2025-08-08 19:09:05 UTC,2025-08-08 19:09:14 UTC,,,Xanthe Walker,Xanthe Walker,0,518c7cc7-f9c0-4868-8c75-cd475c7e4abe,8,8,8,black spruce,5,hard,25,,,,
03e17a6f-6562-409a-aca8-9959f12c9477,1daf538f-40b5-4cbc-b2a8-a2ee53b111d7,1daf538f-40b5-4cbc-b2a8-a2ee53b111d7,"black spruce, 6.9, hard",1,2025-08-08 19:16:46 UTC,2025-08-08 19:16:58 UTC,,,Xanthe Walker,Xanthe Walker,0,518c7cc7-f9c0-4868-8c75-cd475c7e4abe,12,12,12,black spruce,6.9,hard,25,,,,
d000b74c-79df-4a66-ae7e-8448cb7fbec4,bb975d32-d5cf-454b-9afc-ddd63dcc8093,bb975d32-d5cf-454b-9afc-ddd63dcc8093,"black spruce, 17.7, hard",1,2025-08-08 19:10:31 UTC,2025-08-08 19:10:54 UTC,,,Xanthe Walker,Xanthe Walker,0,518c7cc7-f9c0-4868-8c75-cd475c7e4abe,22,22,22,black spruce,17.7,hard,25,,,,
