_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_changeset_id,_created_duration,_updated_duration,_edited_duration,species_,seedling_count,seedling_notes,bd1,bd2,bd3
1cf50b02-5eca-473a-b3d8-6289fd767041,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,"birch, 16",1,2025-07-22 01:28:54 UTC,2025-07-22 01:29:13 UTC,,,Xanthe Walker,Xanthe Walker,0,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,18,18,18,birch,16,,0.54,0.33,0.32
84b82937-6496-451e-81f8-ea334dd26825,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,"black spruce, 5",1,2025-07-22 01:29:15 UTC,2025-07-22 01:29:39 UTC,,,Xanthe Walker,Xanthe Walker,1,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,23,23,23,black spruce,5,,1.49,0.76,0.16
3cc2db27-2574-48f8-9f82-765b7fbcb306,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,"birch, 20",1,2025-07-22 02:02:26 UTC,2025-07-22 02:02:50 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,23,23,23,birch,20,,0.06,0.05,0.05
fbeb4d65-ee8b-4404-a534-c4366d31958c,33e6da70-58ab-45e0-af1f-a5e88b161c5b,33e6da70-58ab-45e0-af1f-a5e88b161c5b,"birch, 4",1,2025-07-22 02:01:04 UTC,2025-07-22 02:01:24 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,20,20,birch,4,,0.03,0.2,0.63
997322aa-2df6-49c8-92de-4477726bb469,33e6da70-58ab-45e0-af1f-a5e88b161c5b,33e6da70-58ab-45e0-af1f-a5e88b161c5b,"black spruce, 1",1,2025-07-22 02:01:28 UTC,2025-07-22 02:01:46 UTC,,,Xanthe Walker,Xanthe Walker,1,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,18,18,18,black spruce,1,,0.27,,
f8966e0c-af99-4f80-8b3e-6296d87ab5d1,33e6da70-58ab-45e0-af1f-a5e88b161c5b,33e6da70-58ab-45e0-af1f-a5e88b161c5b,"birch, 1",1,2025-07-22 02:01:47 UTC,2025-07-22 02:02:20 UTC,,,Xanthe Walker,Xanthe Walker,2,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,32,32,32,birch,1,DBH = 0.62,1.96,,
e1482b14-2a0f-48fa-b766-7b9dde44c449,b203e4fd-69d2-4026-8642-12d0a1ba9672,b203e4fd-69d2-4026-8642-12d0a1ba9672,"black spruce, 1",1,2025-07-22 01:58:16 UTC,2025-07-22 01:59:30 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,5,26,black spruce,1,,0.33,,
b16e8e0f-e87c-4bec-ae86-0ae2d1bfafa9,b203e4fd-69d2-4026-8642-12d0a1ba9672,b203e4fd-69d2-4026-8642-12d0a1ba9672,"birch, 2",1,2025-07-22 01:58:37 UTC,2025-07-22 01:59:56 UTC,,,Xanthe Walker,Xanthe Walker,1,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,24,44,birch,2,,0.73,0.14,
0fdd3265-6607-47f2-9799-e836dc17946a,faad3411-2a46-4c82-9834-5f5f1c2c6efc,faad3411-2a46-4c82-9834-5f5f1c2c6efc,"black spruce, 1",1,2025-07-22 01:56:01 UTC,2025-07-22 02:00:37 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,74,12,86,black spruce,1,,1.21,,
ab7890a1-2324-4597-b024-b387c9e8a5c2,faad3411-2a46-4c82-9834-5f5f1c2c6efc,faad3411-2a46-4c82-9834-5f5f1c2c6efc,"birch, 1",1,2025-07-22 01:57:17 UTC,2025-07-22 02:00:54 UTC,,,Xanthe Walker,Xanthe Walker,1,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,9,13,22,birch,1,,1.16,,
3fd613a2-f794-4049-8374-b84fbac848ed,32d32694-9bcb-4f60-94bd-15194affe0d9,32d32694-9bcb-4f60-94bd-15194affe0d9,"birch, 3",1,2025-07-22 01:54:48 UTC,2025-07-22 01:55:08 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,19,19,19,birch,3,,0.78,0.09,0.34
3e693925-d6f8-4d2b-b723-8a25f0b729fb,d152e396-1a89-4e63-854a-926b4c6d6ab9,d152e396-1a89-4e63-854a-926b4c6d6ab9,"black spruce, 7",1,2025-07-22 01:41:13 UTC,2025-07-22 01:41:38 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,24,24,24,black spruce,7,,0.21,0.15,0.12
b8ccfac1-2ac4-4e97-a488-e3ba897db8da,d152e396-1a89-4e63-854a-926b4c6d6ab9,d152e396-1a89-4e63-854a-926b4c6d6ab9,"birch, 11",1,2025-07-22 01:41:39 UTC,2025-07-22 01:42:11 UTC,,,Xanthe Walker,Xanthe Walker,1,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,31,31,31,birch,11,,0.71,0.09,0.07
7bbfbc14-28ef-41ac-9bf3-c6fa459853e0,a764b375-ff58-45ec-9deb-7f94bdca4573,a764b375-ff58-45ec-9deb-7f94bdca4573,"black spruce, 10",1,2025-07-22 01:38:55 UTC,2025-07-22 01:39:26 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,31,31,31,black spruce,10,,0.97,0.35,0.09
9da5e5ee-82d4-4307-a30b-2c388fcfff94,a764b375-ff58-45ec-9deb-7f94bdca4573,a764b375-ff58-45ec-9deb-7f94bdca4573,"birch, 25",1,2025-07-22 01:39:32 UTC,2025-07-22 01:39:52 UTC,,,Xanthe Walker,Xanthe Walker,1,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,20,20,birch,25,,0.4,0.49,0.08
07b28b3b-ec73-4d6f-8f9c-b92ec8a0cbbd,a764b375-ff58-45ec-9deb-7f94bdca4573,a764b375-ff58-45ec-9deb-7f94bdca4573,"birch, 1",1,2025-07-22 01:39:54 UTC,2025-07-22 01:40:36 UTC,,,Xanthe Walker,Xanthe Walker,2,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,42,42,42,birch,1,Above DBH; DBH = .55,2.01,,
8fa69a9a-b875-4c04-aea1-9d3e30d1b567,6aac0f02-b9bf-4d49-9f3b-7a21624bd68a,6aac0f02-b9bf-4d49-9f3b-7a21624bd68a,"black spruce, 5",1,2025-07-22 01:37:21 UTC,2025-07-22 01:37:44 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,23,23,23,black spruce,5,,0.07,0.09,0.19
3bc7429b-973a-4ef8-92f9-673132dd0cba,68bbfdf2-fb6c-4c6e-b061-e1b881dbabdd,68bbfdf2-fb6c-4c6e-b061-e1b881dbabdd,"black spruce, 5",1,2025-07-22 01:27:56 UTC,2025-07-22 01:28:19 UTC,,,Xanthe Walker,Xanthe Walker,0,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,19,1,20,black spruce,5,,0.06,0.06,0.07
816b0e2d-df14-45e9-bc1e-72335347f1db,097cba30-7cf8-451f-8fc1-0cfb5a97460e,097cba30-7cf8-451f-8fc1-0cfb5a97460e,"black spruce, 2",1,2025-07-22 01:36:51 UTC,2025-07-22 01:37:06 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,15,15,15,black spruce,2,,1.62,0.21,
39cdcd69-8e2c-4b67-bf15-b3cb1fdff7e1,99357f95-0957-44b2-bcb7-72e224adcf74,99357f95-0957-44b2-bcb7-72e224adcf74,"black spruce, 6",1,2025-07-22 01:27:05 UTC,2025-07-22 01:27:33 UTC,,,Xanthe Walker,Xanthe Walker,0,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,28,28,28,black spruce,6,,0.41,0.06,0.15
ccc799e0-f540-4d3f-9bff-6cd5966e792a,972dcd16-591e-4f72-84f2-6acc42adb501,972dcd16-591e-4f72-84f2-6acc42adb501,"black spruce, 9",1,2025-07-22 01:36:18 UTC,2025-07-22 01:36:38 UTC,,,Xanthe Walker,Xanthe Walker,0,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,20,20,black spruce,9,,0.11,0.06,0.06
