_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_geometry,_latitude,_longitude,_changeset_id,_created_duration,_updated_duration,_edited_duration,ground_cover_type,ground_percent_cover,total_ground_cover,ground_cover_notes
818eb55f-fc00-4196-9e1c-6fa57bf7b6b3,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Grass Litter,1,2025-07-21 18:47:17 UTC,2025-07-21 18:47:49 UTC,,,Xanthe Walker,Xanthe Walker,0,,,,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,32,32,32,Grass Litter,3,,
0e50d925-03b2-4ba6-b966-4d6170f0788e,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Litter,1,2025-07-21 18:47:52 UTC,2025-07-21 18:52:54 UTC,,,Xanthe Walker,Xanthe Walker,1,,,,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,11,42,53,Litter,5.9,98.1,
34486e78-f406-4caa-b5c3-02cf2b4a41d5,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Coarse Woody Debris,1,2025-07-21 18:48:06 UTC,2025-07-21 18:48:32 UTC,,,Xanthe Walker,Xanthe Walker,2,SRID=4326;POINT(-148.1365310402104 65.23940289399143),65.23940289399143,-148.1365310402104,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,25,25,25,Coarse Woody Debris,5,7,
85fd00a5-afd1-4a62-a276-561ce2a93f4e,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Fine Woody Debris,1,2025-07-21 18:48:34 UTC,2025-07-21 18:48:46 UTC,,,Xanthe Walker,Xanthe Walker,3,,,,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,12,12,12,Fine Woody Debris,1,12,
a018cbb3-2ea1-4314-a8aa-dde90e93cd67,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Cones,1,2025-07-21 18:48:52 UTC,2025-07-21 18:49:04 UTC,,,Xanthe Walker,Xanthe Walker,4,,,,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,12,12,12,Cones,0.1,13,
fba4a7cb-034b-4a6f-be0a-16a571a2e8e5,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Peltigera,1,2025-07-21 18:49:10 UTC,2025-07-21 18:50:21 UTC,,,Xanthe Walker,Xanthe Walker,5,SRID=4326;POINT(-148.13653355478135 65.2394086355951),65.2394086355951,-148.13653355478135,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,71,71,71,Peltigera,1,13.1,
70c372c5-4ee3-4f83-9bee-855681b8064f,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Polytrichum,1,2025-07-21 18:50:24 UTC,2025-07-21 18:51:33 UTC,,,Xanthe Walker,Xanthe Walker,6,SRID=4326;POINT(-148.13653321950522 65.23941395810361),65.23941395810361,-148.13653321950522,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,69,69,69,Polytrichum,80,14.1,
68c69031-5aa8-4bbb-a451-19920678237b,f02a1acf-4a69-494a-acf9-ef0842dd11c1,f02a1acf-4a69-494a-acf9-ef0842dd11c1,Ceratodon purpureus,1,2025-07-21 18:51:35 UTC,2025-07-21 18:52:10 UTC,,,Xanthe Walker,Xanthe Walker,7,SRID=4326;POINT(-148.13654260723678 65.23941437719877),65.23941437719877,-148.13654260723678,5b3f1fc4-63a8-4c20-a852-a375b2e2fc6b,34,34,34,Ceratodon purpureus,4,94.1,
73deeff3-731e-41d3-9a19-866867ed6e83,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Coarse Woody Debris,1,2025-07-21 19:06:49 UTC,2025-07-21 19:08:29 UTC,,,Xanthe Walker,Xanthe Walker,0,SRID=4326;POINT(-148.1364585001762 65.23939921602174),65.23939921602174,-148.1364585001762,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,45,20,65,Coarse Woody Debris,20,40,
ccb8f330-cb51-4e0b-bdf2-40daff0453c3,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Fine Woody Debris,1,2025-07-21 19:07:42 UTC,2025-07-21 19:08:07 UTC,,,Xanthe Walker,Xanthe Walker,1,SRID=4326;POINT(-148.13646825126003 65.2393963471057),65.2393963471057,-148.13646825126003,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,24,24,24,Fine Woody Debris,20,20,
e5a5521f-c9cb-4a49-8621-5b643e1eb884,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Grass Litter,1,2025-07-21 19:08:31 UTC,2025-07-21 19:08:52 UTC,,,Xanthe Walker,Xanthe Walker,2,SRID=4326;POINT(-148.13643859853877 65.23939039851665),65.23939039851665,-148.13643859853877,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,20,20,20,Grass Litter,15,40,
80e437ef-ad18-4065-a138-c21a5da4af8d,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Litter,1,2025-07-21 19:08:54 UTC,2025-07-21 19:09:41 UTC,,,Xanthe Walker,Xanthe Walker,3,SRID=4326;POINT(-148.13646887550078 65.23938778671638),65.23938778671638,-148.13646887550078,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,46,46,46,Litter,3,55,
72b548c8-f17d-4a43-ad92-baa858c2aa2e,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Ceratodon purpureus,1,2025-07-21 19:09:42 UTC,2025-07-21 19:10:01 UTC,,,Xanthe Walker,Xanthe Walker,4,SRID=4326;POINT(-148.13645686344162 65.23939136604987),65.23939136604987,-148.13645686344162,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,19,19,19,Ceratodon purpureus,5,58,
c6c6c037-7aa2-497d-ae56-47bd5dbcbf3c,5b164aef-2401-4757-b8a7-ad2be738f4d1,5b164aef-2401-4757-b8a7-ad2be738f4d1,Polytrichum,1,2025-07-21 19:10:03 UTC,2025-07-21 19:10:18 UTC,,,Xanthe Walker,Xanthe Walker,5,SRID=4326;POINT(-148.13645578943323 65.23938365424252),65.23938365424252,-148.13645578943323,934181c5-36a5-4cfc-ab5d-cbf10e2bbcdb,15,15,15,Polytrichum,37,63,
