_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_changeset_id,_created_duration,_updated_duration,_edited_duration,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos,photos_captions,photos_urls
7e5271ac-b0e3-4045-bdcc-bf02b3cff3fd,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 1.8",1,2025-07-31 21:00:10 UTC,2025-07-31 21:00:54 UTC,,,Xanthe Walker,Xanthe Walker,0,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,44,44,44,black spruce,yes,no,1.8,,0,25,0,0,0,,,,,,
eedbcdb2-81fe-4ad0-8adb-1c74c824e13b,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 1.1",1,2025-07-31 21:00:55 UTC,2025-07-31 21:01:18 UTC,,,Xanthe Walker,Xanthe Walker,1,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,13,6,19,black spruce,yes,no,1.1,,0,25,0,0,0,,,,,,
0f666223-aa2e-42ac-bca4-a84b1a71524b,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 4",1,2025-07-31 21:01:19 UTC,2025-07-31 21:01:54 UTC,,,Xanthe Walker,Xanthe Walker,2,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,35,35,35,black spruce,yes,no,4,,0,25,0,0,0,,,,,,
29817d3d-a615-4c5b-ae83-7787a0827791,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 5",1,2025-07-31 21:01:55 UTC,2025-07-31 21:02:21 UTC,,,Xanthe Walker,Xanthe Walker,3,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,25,25,25,black spruce,yes,no,5,,0,25,0,0,0,,,,,,
1f2dcb7e-6831-4636-a5a3-fc8ef3ab8bce,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 5.6",1,2025-07-31 21:02:22 UTC,2025-07-31 21:02:50 UTC,,,Xanthe Walker,Xanthe Walker,4,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,28,28,28,black spruce,yes,no,5.6,,0,25,0,0,0,,,,,,
1d1d0262-879f-45c2-bded-31a977bbf244,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 4.8",1,2025-07-31 21:02:51 UTC,2025-07-31 21:03:04 UTC,,,Xanthe Walker,Xanthe Walker,5,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,12,12,12,black spruce,yes,no,4.8,,0,25,0,0,0,,,,,,
9383db7f-06d3-4b44-b2c0-2b86402b7067,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,"black spruce, 2.6",1,2025-07-31 21:03:05 UTC,2025-07-31 21:03:21 UTC,,,Xanthe Walker,Xanthe Walker,6,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,15,15,15,black spruce,yes,no,2.6,,0,25,0,0,0,,,,,,
6305ee8d-99f1-4b70-8a75-3dbbe545c22a,df217b3c-54f0-4515-9180-cc26c3c6a40e,df217b3c-54f0-4515-9180-cc26c3c6a40e,black spruce,1,2025-07-31 21:03:21 UTC,2025-07-31 21:03:33 UTC,,,Xanthe Walker,Xanthe Walker,7,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,11,11,11,black spruce,yes,no,,1.9,NA,25,0,0,0,,,,,,
d93be021-4bf4-4e3e-b03c-35830055b6d6,b2f4d5d0-6562-4567-bf19-5db53bde0c5f,b2f4d5d0-6562-4567-bf19-5db53bde0c5f,"black spruce, 4",1,2025-07-31 21:03:45 UTC,2025-07-31 21:04:06 UTC,,,Xanthe Walker,Xanthe Walker,0,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,21,21,21,black spruce,yes,no,4,,0,25,0,0,0,,,,,,
6e01eb87-93e5-417e-8b24-ad34aa1a377e,b2f4d5d0-6562-4567-bf19-5db53bde0c5f,b2f4d5d0-6562-4567-bf19-5db53bde0c5f,"black spruce, 3.6",1,2025-07-31 21:04:07 UTC,2025-07-31 21:04:28 UTC,,,Xanthe Walker,Xanthe Walker,1,bf4cad2c-50f0-40f7-9483-eb54fd63fcad,21,21,21,black spruce,yes,no,3.6,,0,25,0,0,0,,,,,,
