_child_record_id,_record_id,_parent_id,_title,_version,_created_at,_updated_at,_record_project,_record_assigned_to,_created_by,_updated_by,_index,_changeset_id,_created_duration,_updated_duration,_edited_duration,location,green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,sample_photo,sample_photo_captions,sample_photo_urls,general_notes
2d9b29b0-6156-4923-8c6a-e3b252b4b0ef,32a36ab4-c5f9-4d32-b810-c06dac91eaa9,32a36ab4-c5f9-4d32-b810-c06dac91eaa9,3 m,2,2025-07-21 19:03:31 UTC,2025-07-21 19:05:52 UTC,,,Xanthe Walker,Xanthe Walker,0,218ed59e-2862-4ffc-bdc6-aefad40e4009,140,140,140,3 m,3.5,3,Mineral,29,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
638bb1c2-c81c-42b0-85aa-ae097e991d7a,53b4a57a-d3a5-46dd-8dac-9255b81a6a23,53b4a57a-d3a5-46dd-8dac-9255b81a6a23,6 m,2,2025-07-21 18:38:41 UTC,2025-07-21 18:44:08 UTC,,,Xanthe Walker,Xanthe Walker,0,9b9a3942-3f99-4567-8bac-a9f9eb4e4506,326,326,326,6 m,8,2,Mineral,60,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,Hole depth = organic layer depth for all 
4022bbe5-e09e-445f-97ca-916c9612dcaf,53b4a57a-d3a5-46dd-8dac-9255b81a6a23,53b4a57a-d3a5-46dd-8dac-9255b81a6a23,9 m,2,2025-07-21 18:44:09 UTC,2025-07-21 18:46:40 UTC,,,Xanthe Walker,Xanthe Walker,1,9b9a3942-3f99-4567-8bac-a9f9eb4e4506,150,150,150,9 m,8.5,3,Mineral,45,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
5fffc306-1850-4e50-b5d6-268947330afe,1b79839d-9d02-49a6-8e08-2c4576cc8068,1b79839d-9d02-49a6-8e08-2c4576cc8068,3 m,2,2025-07-21 18:47:15 UTC,2025-07-21 18:49:40 UTC,,,Xanthe Walker,Xanthe Walker,0,dc18f9aa-371e-4d27-9430-644080235d3b,145,145,145,3 m,2,7,Mineral,54,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
68af6bef-ba57-4c24-b190-27b1a0d700d5,1b79839d-9d02-49a6-8e08-2c4576cc8068,1b79839d-9d02-49a6-8e08-2c4576cc8068,6 m,2,2025-07-21 18:49:41 UTC,2025-07-21 18:52:53 UTC,,,Xanthe Walker,Xanthe Walker,1,dc18f9aa-371e-4d27-9430-644080235d3b,191,191,191,6 m,9.5,3.5,Mineral,83,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
36dd5c4a-b50e-4e1c-b0c9-4ff94075034c,1b79839d-9d02-49a6-8e08-2c4576cc8068,1b79839d-9d02-49a6-8e08-2c4576cc8068,9 m,2,2025-07-21 18:52:54 UTC,2025-07-21 18:54:27 UTC,,,Xanthe Walker,Xanthe Walker,2,dc18f9aa-371e-4d27-9430-644080235d3b,92,92,92,9 m,5,3.5,Mineral,60,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
44f96649-fd3e-4740-9ab0-22b473631968,922c885f-1f5c-4eb7-8014-e53842cc03ab,922c885f-1f5c-4eb7-8014-e53842cc03ab,3 m,2,2025-07-21 18:55:42 UTC,2025-07-21 18:58:01 UTC,,,Xanthe Walker,Xanthe Walker,0,612bead8-a4d1-4992-8433-e63e7d01bbda,139,139,139,3 m,6,9,"Mineral,Rock",71,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
86bea4c1-10a0-4b53-9c07-4c6b67d5fcc8,cb81f91f-0b27-419a-ba80-b16f0cd56a87,cb81f91f-0b27-419a-ba80-b16f0cd56a87,6 m,2,2025-07-21 18:59:46 UTC,2025-07-21 19:00:57 UTC,,,Xanthe Walker,Xanthe Walker,0,81367416-6456-4182-a63b-7bacaef26457,71,71,71,6 m,10.5,4.5,Mineral,53,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
da69f489-d961-4c36-89aa-ae16d3fd3e9b,cb81f91f-0b27-419a-ba80-b16f0cd56a87,cb81f91f-0b27-419a-ba80-b16f0cd56a87,9 m,2,2025-07-21 19:01:21 UTC,2025-07-21 19:03:12 UTC,,,Xanthe Walker,Xanthe Walker,1,81367416-6456-4182-a63b-7bacaef26457,111,111,111,9 m,10,4,Rock,30,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
93a666e3-fe6f-478b-9cee-5e2ab0155808,ef7b218c-5d40-4ebd-baa8-d25248e22b32,ef7b218c-5d40-4ebd-baa8-d25248e22b32,3 m,2,2025-07-21 21:18:53 UTC,2025-07-21 21:19:40 UTC,,,Xanthe Walker,Xanthe Walker,0,30edc13c-2580-46c8-933e-0822e54344f0,46,46,46,3 m,1,10.5,Mineral,43,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
550735c8-a0bd-49ca-adda-c4ce127eeb3d,ef7b218c-5d40-4ebd-baa8-d25248e22b32,ef7b218c-5d40-4ebd-baa8-d25248e22b32,6 m,2,2025-07-21 21:19:43 UTC,2025-07-21 21:20:57 UTC,,,Xanthe Walker,Xanthe Walker,1,30edc13c-2580-46c8-933e-0822e54344f0,74,74,74,6 m,4.5,5.5,Mineral,17,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
64cd4367-99b6-42f3-b606-66d751cc6db5,ef7b218c-5d40-4ebd-baa8-d25248e22b32,ef7b218c-5d40-4ebd-baa8-d25248e22b32,9 m,2,2025-07-21 21:21:30 UTC,2025-07-21 21:22:51 UTC,,,Xanthe Walker,Xanthe Walker,2,30edc13c-2580-46c8-933e-0822e54344f0,81,81,81,9 m,0.5,14,Mineral,15,Rock,,,,,,no,,9,,,,,,,,,,,,,,,,,
eb5e1d5c-087e-432a-a5d5-0284d59e3538,e40f8409-9605-47ec-8edf-43b573866047,e40f8409-9605-47ec-8edf-43b573866047,3 m,2,2025-07-21 21:23:43 UTC,2025-07-21 21:25:57 UTC,,,Xanthe Walker,Xanthe Walker,0,4e8943d2-1800-4456-8312-51afa25c49fa,133,133,133,3 m,0.5,5,Mineral,20,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
e443b665-3ba1-48d3-b2ca-13650348ec31,e40f8409-9605-47ec-8edf-43b573866047,e40f8409-9605-47ec-8edf-43b573866047,6 m,2,2025-07-21 21:28:35 UTC,2025-07-21 21:29:10 UTC,,,Xanthe Walker,Xanthe Walker,1,4e8943d2-1800-4456-8312-51afa25c49fa,34,34,34,6 m,0,3.5,Mineral,54,Rock,,,,,,no,,,,,,,,,,,,,,,,,,,
