_record_id,_title,_server_updated_at,_updated_by,_geometry,date,fire_scar,site,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes
f51fab9e-a2ca-4f9f-ab9b-b4c250e0215c,"GLOB1, A",2025-08-01 03:51:31 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB1,A,GLOB1 A6,black spruce,11,1,
740e01ad-bda6-45ae-921f-8d4341e04ddb,"GLOB1, B",2025-08-01 03:51:31 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB1,B,GLOB1 B6,black spruce,9.9,1,
d0bf0168-7a11-41bc-9896-a79e11977c01,"GLOB1, C",2025-08-01 03:51:31 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB1,C,GLOB1 C6,black spruce,6.4,2,
65d2b0b0-2df6-4fb4-86ff-642ef3446301,"GLOB2, A",2025-08-01 05:28:59 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB2,A,GLOB2 A6,black spruce,6.5,0.5,
08d440fb-0611-4304-8fa6-7ad8c9815554,"GLOB2, B",2025-08-01 05:28:59 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB2,B,GLOB2 B6,black spruce,8.8,1,
1d2cae9c-837a-4150-8e85-e7b2b955757d,"GLOB2, C",2025-08-01 05:29:00 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB2,C,GLOB2 C6,black spruce,7,0.5,
0aca2ee3-741e-401f-96f1-5ce85375f7fc,"GLOB3, A",2025-08-01 05:29:00 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB3,A,GLOB2 A6,black spruce,9.8,0.1,
75510225-68c0-467c-93fe-13e4753ae949,"GLOB3, B",2025-08-01 05:29:00 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB3,B,GLOB3 B6,black spruce,17.5,3,
f4241176-68e9-46f7-93e4-8a31552ab191,"GLOB3, C",2025-08-01 05:29:01 UTC,Xanthe Walker,,2025-07-31,Globe,GLOB3,C,GLOB3 C6,black spruce,19.7,0.5,
db7ab88b-032b-4376-b0d5-79d817a869c9,"GLOB4, A",2025-07-24 17:57:07 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB4,A,GLOB4a,black spruce,8.7,4.5,
