"","fire_scar","site","site_remove","additional_species_list","additional_species_list_other","additional_species_notes"
"1","Haystack","Hays2",2,"","Carex spp",""
"2","Haystack","Hays1",1,"",NA,"Forgot to do this in site 1"
"3","Haystack","Hays3",3,"Empetrum nigrum,Linnaea borealis","",""
"4","Haystack","Hays3",3,"Linnaea borealis","",""
"5","Lost horse","Loho1",1,"Salix spp","",""
"6","LoHo","Loho2",2,"Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",""
"7","Lost horse","Loho1",1,"Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",""
"8","Lost horse","LoHo3",3,"Betula nana","",""
"9","Lost horse","LoHo3",3,"","","Merchantia"
"10","Lost horse","",3,"Epilobium angustifolium [Chamerion angustifolium]","",""
"11","Shovel","Shcr1",2,"Cornus canadensis,Alnus viridis","",""
"12","ShCr","",3,"Populus tremuloides,Salix spp,Betula nana,Spiraea beauverdiana (stevenii)","",""
"13","Shovel creek","",4,"Alnus viridis","",""
"14","Shovel creek","",4,"Empetrum nigrum","",""
"15","Haystack","Hays3",3,"","","0"
"16","Shovel Creek","ShCr5",3,"Spiraea beauverdiana (stevenii)","",""
"17","Shovel Creek","ShCr6",3,"Salix spp","",""
"18","Lost horse","LoHo4",3,"","Liverwort ",""
"19","Lost horse","LoHo5",3,"Calamagrostis canadensis","",""
"20","Lost horse","LoHo5",3,"Picea mariana,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],Salix spp,Empetrum nigrum,Epilobium angustifolium [Chamerion angustifolium],Luzula multiflora","",""
"21","Hess creek","HeCr6",1,"Polygonum alpinum,Rosa acicularis","",""
"22","Hess Creek","HeCr1",3,"Potentilla fruticose [Dasiphora fruticosa],Salix spp","",""
"23","Hess Creek","HeCr2",3,"","",""
"24","Hess Creek","HeCr3",3,"Potentilla fruticose [Dasiphora fruticosa]","","7/22/24"
"25","Hess Creek","HeCr4",3,"Empetrum nigrum","",""
"26","Hess Creek","HeCr5",3,"Populus tremuloides","",""
"27","Haystack4","HAYS4",3,"","Sphagnum ",""
"28","Haystack","HAYS5",3,"Spiraea beauverdiana (stevenii),Linnaea borealis","",""
"29","Haystack","HAYS6",3,"Lycopodium annotinum","Dicranum","Lycopodium spp unknown but could not type in another “other”"
"30","McCoy Creek","MCCR1",3,"Oxycoccus microcarpos [Vaccinium oxycoccos],Calamagrostis canadensis","Sphagnum ",""
"31","McCoy Creek","MCCR4",3,"Equisetum sylvaticum,Vaccinium vitis-idaea,Unknown 1,Rosa acicularis","Taraxacum officionale ","Unknown 1 is solidago spp"
"32","McCoy Creek","MCCR5",3,"Spiraea beauverdiana (stevenii)","",""
"33","McCoy Creek","MCCR6",3,"","",""
"34","McCoy Creek","McCr2",3,"Betula nana,Rosa acicularis,Salix spp","",""
"35","Nugget Creek","NuCr3",3,"Vaccinium vitis-idaea","",""
"36","Nugget creek","NuCr1",1,"Vaccinium uliginosum,Unburned Foliose Lichen","Pleurozium ",""
"37","Nugget creek","NuCr2",1,"Unknown forb 1","","Unkn aster"
"38","Nugget creek","NuCr4",1,"","",""
"39","Nugget creek","NuCr5",1,"Salix spp,Betula neoalaskana,Rosa acicularis","",""
"40","Nugget creek","NuCr6",1,"Unknown 1","","Unkn aster"
"41","Munson creek","MuCr1",1,"Cornus canadensis,Equisetum scirpoides,Alnus viridis,Solidago multiradiata","Pyrola spp",""
"42","Munson creek","MuCr2",1,"","",""
"43","Munson creek","MuCr3",1,"Alnus viridis,Epilobium angustifolium [Chamerion angustifolium]","",""
"44","Teklanika","Tekl4",1,"Marchantia polymorpha,Epilobium angustifolium [Chamerion angustifolium]","",""
"45","Teklanika","Tekl5",1,"","",""
"46","Teklanika","Tekl6",1,"","",""
"47","Teklanika","Tekl1",1,"Stellaria longipes,Betula neoalaskana,Populus tremuloides","Irisitosa spp",""
"48","Teklanika","Tekl2",1,"Betula nana","Capinoides semprevirens ",""
"49","Teklanika","Tekl3",1,"Petasites frigidus","",""
"50","Munson Creek ","MuCr4",1,"","Capinoides semprevirens",""
"51","Munson Creek ","MuCr5",1,"Epilobium angustifolium [Chamerion angustifolium]","",""
"52","Dry Creek","DrCr1",1,"Equisetum scirpoides","Sphagnum",""
"53","Dry Creek","DrCr2",1,"Equisetum arvense,Rubus chamaemorus,Arctostaphylos rubra [Arctous rubra]","",""
"54","Dry Creek","DrCr3",1,"","",""
"55","Dry Creek","DrCr4",1,"Salix spp,Carex spp","Capinoides semprevirens ",""
"56","Dry Creek","DrCr5",1,"Orthilia secunda,Rosa acicularis,Betula nana","",""
"57","Dry Creek","DrCr6",1,"","",""
"58","McCoy Creek","McCr3",1,"Polygonum alpinum,Cornus canadensis","",""
