"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","plant_species","plant_species_other","plant_species_cover","veg_cover_notes","photos"
"1","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",2,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"2","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Vaccinium uliginosum","",2,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"3","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Salix spp","",5,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"4","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","","Solidago spp",1,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"5","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Coarse woody debris","",0.1,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"6","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Fine Woody Debris","",1,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"7","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Calamagrostis canadensis","",0.1,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"8","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","Equisetum scirpoides","",0.1,"","775b3579-79e8-46b9-b145-1a95e73b434c"
"9","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","Equisetum arvense","",3,"","27105f09-329b-437b-9934-47c73246089e"
"10","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","Equisetum scirpoides","",1,"","27105f09-329b-437b-9934-47c73246089e"
"11","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","Vaccinium vitis-idaea","",4,"","27105f09-329b-437b-9934-47c73246089e"
"12","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","Calamagrostis canadensis","",3,"","27105f09-329b-437b-9934-47c73246089e"
"13","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","","Grass litter",7,"Cal can","27105f09-329b-437b-9934-47c73246089e"
"14","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","Coarse woody debris","",1,"","27105f09-329b-437b-9934-47c73246089e"
"15","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","Vaccinium uliginosum","",6,"","35aaa151-fc80-42c2-a72f-f4d818495c0a"
"16","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","Vaccinium vitis-idaea","",0.1,"","35aaa151-fc80-42c2-a72f-f4d818495c0a"
"17","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","Cornus canadensis","",3,"","35aaa151-fc80-42c2-a72f-f4d818495c0a"
"18","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","Calamagrostis canadensis","",2,"","35aaa151-fc80-42c2-a72f-f4d818495c0a"
"19","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","Coarse woody debris","",0.1,"","35aaa151-fc80-42c2-a72f-f4d818495c0a"
"20","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","Vaccinium vitis-idaea","",0.1,"","03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"21","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","Cornus canadensis","",0.1,"","03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"22","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","Vaccinium uliginosum","",0.1,"","03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"23","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","Fine Woody Debris","",2,"","03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"24","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","Coarse woody debris","",1,"","03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"25","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Rubus chamaemorus","",15,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"26","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Fine Woody Debris","",0.1,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"27","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Coarse woody debris","",4,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"28","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]","",11,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"29","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Vaccinium vitis-idaea","",6,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"30","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","Equisetum sylvaticum","",28,"","0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
