"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","resprouts_present","resprout_species","resprout_species_other","resprout_count","resprout_notes","r_bd1","r_bd2","r_bd3","photos"
"1","007fae43-63f3-4339-a8b6-3c79eee0277e","2024-08-02","Teklanika ","Tekl6","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"775b3579-79e8-46b9-b145-1a95e73b434c"
"2","00b9c509-b226-4933-978e-1fab41e14c04","2024-08-06","Dry Creek","DrCr4","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"27105f09-329b-437b-9934-47c73246089e"
"3","00d9cd18-1515-45b7-862e-4c63f85e3739","2024-07-14","Haystack","Hays1","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"35aaa151-fc80-42c2-a72f-f4d818495c0a"
"4","01efa7eb-4c1b-48d7-bc5c-4d753f94bbc4","2024-07-18","Lost Horse","LoHo6","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"03ee7bc5-7b72-4e19-8f45-4a9c536b9655"
"5","0218b68f-d03b-4985-9823-9b625d9cdac9","2024-07-31","Nugget Creek","NuCr4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0fd5a394-d4fe-4d2c-9b33-2989197c31aa"
"6","02af34d0-63b6-41cd-b186-fd2935f5feb8","2024-08-03","Teklanika ","Tekl3","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"a8ab38f2-b919-494f-9aa2-40fc6da11fe1"
"7","02f4c376-577e-45ac-8736-033362b663ab","2024-07-29","McCoy Creek","MCCR6","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"9cc70ea4-c108-4771-a2b7-e84d6ddcbfd3"
"8","03929814-0704-48d9-9749-227f89601f93","2024-07-28","McCoy Creek","MCCR1","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"daf77923-3568-4c6d-a860-a7ff4273a626"
"9","0431c890-27f2-472e-b859-7849389ffd26","2024-08-05","Dry Creek","DrCr2","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"b1685512-b4fe-4fe0-9b1e-44a3de77a90f"
"10","04691bea-eba4-4b96-b7b0-b3ddcc1936da","2024-07-31","Nugget Creek","NuCr6","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"e465872b-f747-4c88-8f8d-0a46bf1ef88f"
"11","0615be44-3049-496f-8f7c-cb8e3b23867b","2024-07-17","Shovel Creek","ShCr6","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"2eb52aab-1b7e-4f84-bbe4-203256cb2b06"
"12","072e69e8-f02c-46bc-a0db-f72e491f0c22","2024-08-03","Teklanika ","Tekl2","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"c5b46eb6-be77-4b14-8b81-456279ffcc1c"
"13","07c7248e-3d93-4ce8-93d2-64c862359dad","2024-07-16","Shovel creek","ShCr2","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5051f965-c04d-45a9-8f65-6cf38fa9945e"
"14","091d78a5-d2eb-4794-9b0d-5c3f9e500dbb","2024-07-25","Haystack","HAYS5","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0b2becf3-2fa6-4136-9af1-f3aa4b7b593e"
"15","09fc1387-555d-4107-89f2-d9352a5407cb","2024-07-22","Hess Creek","HeCr1","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"3d0a51d6-6f16-4c6a-bb3f-84fc33fc6ceb"
"16","0adeadea-e095-4a24-a035-a7eecba932dc","2024-08-02","Teklanika ","Tekl5","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"a0666e3a-5d89-41c2-a9d2-24647b08cde8"
"17","0af66da9-3731-48c6-a28a-12d96c86a79d","2024-08-03","Teklanika ","Tekl1","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"725b2ca7-7b9e-4ddb-b9fa-75dbabbab5dd"
"18","0b57b083-2613-421e-921b-9e1a2d8da809","2024-07-18","Lost Horse","LoHo5","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4c336411-f3d9-40ee-90c0-fe9feec6d771"
"19","0b9068b6-5046-4567-bda6-9d4ffd737ca6","2024-08-04","Munson Creek","MuCr4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"bbe28f19-bbbb-4d24-bdcf-e5955cb33baf"
"20","0c80c56c-01bd-4098-83be-df0c62daa81b","2024-07-15","Lost Horse","LoHo1","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"ec2d29d4-cfdb-4dea-a112-c9e136cc2dea"
"21","0cc8802e-3861-486d-be01-a669192e1cb1","2024-07-23","Hess Creek","HeCr4","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"9fc6f98b-715a-4d25-b8f1-34bc8441549f"
"22","0da2e27d-a303-4279-99f1-e695c3930160","2024-08-01","Munson Creek","MuCr2","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"e3a935a6-e3be-4852-9a2b-af51a985e182"
"23","0dc7d05c-3314-4726-9e99-21c16738efc6","2024-08-01","Munson Creek","MuCr3","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"1b39614c-9e34-4320-a535-0ae109f5295a"
"24","0de5825f-d15b-4aad-b307-d5ed3b0e25d7","2024-07-14","Haystack","Hays2","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"6b29640d-603d-414d-9bc9-b892f69d5569"
"25","0e149005-d8ce-40c5-b488-858e0a21a1fb","2024-08-05","Dry Creek","DrCr3","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"256a533b-007a-497e-a1fc-adb03d76d52d"
"26","0e5eff1e-0aee-4ef4-b973-5d94304730fc","2024-08-02","Teklanika ","Tekl5","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5d8d5565-81d4-4ad9-839a-1e3dd1f92478"
"27","0e64b103-f8cc-430b-b11b-4c678dad8d56","2024-07-30","Nugget Creek","NuCr2","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"6d2fb5e3-67bc-4b93-925b-3a52f8a9d836"
"28","0e92efc2-33f3-4e22-bb5f-c7b2b8590ed4","2024-07-25","Haystack","HAYS5","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5e106ef8-660a-4344-b423-055450b7136d"
"29","0ef80f3f-ef83-43fc-924b-6ff6e8e6fff4","2024-07-30","Nugget Creek","NuCr1","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"c31e3730-ce8e-4a9e-be05-2f2e912d1251"
"30","0f60e71e-18fb-407c-93b7-216725fbd490","2024-07-16","Shovel creek","ShCr1","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"1351e35e-f4b4-43fc-a930-f35e4ffbc97e"
"31","104fc3f6-b743-48ae-82e3-8942525b1aa5","2024-08-03","Teklanika ","Tekl3","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"826faea1-af6a-4222-99c5-8def88398a9e"
"32","1101beb4-4ee0-4cee-a1cf-5a455690eff1","2024-07-23","Hess Creek","HeCr6","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0042b431-598c-4651-a42d-883bb7c6fcdb"
"33","113ed4b6-1fde-4ae0-a92d-a129c092c606","2024-07-15","Lost Horse","LoHo3","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"ad43d3e6-d14b-474f-b5f4-7b0779f1a0a0"
"34","12361129-7188-40ba-b626-1efbaa61a3da","2024-08-01","Munson Creek","MuCr1","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4f596da7-f5a5-491f-ae72-70eff9f52da4"
"35","13e46bff-ff8d-4b5d-8173-00c6842ada52","2024-07-22","Hess Creek","HeCr1","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"9f842cde-de94-49ce-89c5-8f3345de6905"
"36","1405ed91-e1a1-44e7-b349-3fe336524e1c","2024-08-06","Dry Creek","DrCr4","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"dbd53e0f-b111-4f22-b6e0-2bc3d708be04"
"37","1448d55a-d900-4bdf-8d9d-803e8c22820e","2024-07-29","McCoy Creek","MCCR2","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"e848b9fe-9dd7-4a17-871b-c67118fdf2a3"
"38","16220a77-45ee-49ec-9bb3-87b3043dd248","2024-08-06","Dry Creek","DrCr6","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"95b56167-e4e2-4965-b882-925333be24f5"
"39","16cd2d10-e181-410c-be92-679a55abc13e","2024-08-06","Dry Creek","DrCr4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"6f0bc141-b0a7-4c3a-af1b-fde48a480b08"
"40","17c71b03-adee-4977-b37d-74e2dbd694c2","2024-07-28","McCoy Creek","MCCR5","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4d7c60b4-f999-4e87-8beb-e7a6ccf32bfc"
"41","17e072e2-cecb-40e0-910b-f765a0c02c9e","2024-08-02","Teklanika ","Tekl6","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4a346287-ca1a-423a-94ea-2ec54abfd76d"
"42","185a6897-084e-49ac-bf5e-127cdab81d74","2024-07-23","Hess Creek","HeCr6","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0be200a4-936c-4dc5-8b32-7be7d04bad98"
"43","185bd5af-c85f-4a67-ac0d-be19dfbadd1c","2024-07-15","Lost Horse","LoHo2","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"923d713a-dc7c-4c25-b4c2-bfffb535eee4"
"44","18d7b53a-4149-4855-b4b2-c84261fa4eb7","2024-08-03","Teklanika ","Tekl3","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"aac27473-fd36-434a-97d6-ab0cfb0a2b17"
"45","1b5997d1-836f-4e4d-85a8-08cef99abb29","2024-07-28","McCoy Creek","MCCR5","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"266937f1-4309-4803-a16c-e5aac731f734"
"46","1be1d23c-88cc-4008-b2ec-e74b03b6c97e","2024-08-04","Munson Creek","MuCr5","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"abb98b7e-ad0d-4a26-b8ce-fee821d60b25"
"47","1c022f00-7d2e-45f9-8c7f-b21ef576daa2","2024-08-03","Teklanika ","Tekl1","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"7353421c-8898-46d4-af32-46293b5b14f7"
"48","1f0ca226-b8df-4505-8932-08c01e5fbbbc","2024-07-30","Nugget Creek","NuCr2","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"89e405ab-16f6-4d47-995e-948581d59bc2"
"49","201068f3-ee3a-42df-b003-308c59bc0134","2024-07-23","Hess Creek","HeCr4","B","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4550c894-31d5-4260-b03e-aa6ab2f2760b"
"50","208eee6a-aa3c-423b-88ef-f046e1ec39b0","2024-07-14","Haystack","Hays1","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4e28782c-da2d-4647-92b0-b29e5c53e72d"
"51","20edf215-5847-4322-b779-5fcb278176a9","2024-08-03","Teklanika ","Tekl2","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"c0b0e625-3fff-48b2-9561-2164f0b61f3d"
"52","21a13cde-58e7-4c50-8fb7-150d5b297bf7","2024-07-15","Lost Horse","LoHo3","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"4576fdc1-b126-4461-9e1e-831ee77452a2"
"53","2243e96a-854e-418e-ac22-cfd0a4a06296","2024-07-30","Nugget Creek","NuCr3","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"2940f1d0-f2a8-40f3-b587-445a33ed1a60"
"54","224d3aa9-61eb-4cb5-9c2b-5c722674097c","2024-07-18","Lost Horse","LoHo6","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"22526de1-40d0-4832-ab81-cbb14acce352"
"55","23834ec5-574c-47a5-9cbc-c356a61b32bd","2024-07-25","Haystack","HAYS6","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"74d06450-af47-4229-9f4b-d9932bd6dd95"
"56","247ae23a-41ba-4a9d-8199-9bd2675bf5d4","2024-07-15","Lost Horse","LoHo2","B","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"cf50867f-08f0-4ccb-9946-439236835fda"
"57","25338520-05f4-43d3-96f4-6e7a416f9740","2024-07-14","Haystack","Hays2","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"ac025892-7d7d-44c2-bcb0-eed222e2011a"
"58","2608f64c-b8dd-4907-a657-c75d43720ed9","2024-07-17","Shovel Creek","ShCr6","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"97390c1a-be4c-4ec2-ba48-d7cf52b8bc9c"
"59","263453db-7167-43e3-92dd-64f77058882d","2024-07-22","Hess Creek","HeCr2","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"e4a3ea67-0aa3-4554-9e59-917be2f4ed04"
"60","2773d7ae-b7e9-4100-b520-9adeef343769","2024-07-22","Hess Creek","HeCr1","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"dff4e9bb-09b9-421b-8c69-9293f241d323"
"61","292d2b12-183e-4db6-a5b0-211ddee4de6c","2024-07-31","Nugget Creek","NuCr4","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"f952b9ec-61f9-4a23-ab84-1c8fd80b56b0"
"62","2a275853-6c8f-4999-ae81-fcbe0841ef97","2024-07-28","McCoy Creek","MCCR4","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"062db840-9186-465b-ac64-d555bc5237af"
"63","2a536f68-0f02-430f-bcd6-18949813b74b","2024-08-06","Dry Creek","DrCr5","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"cd93cfae-c529-403b-8856-7d6ad6863fc1"
"64","2a68fc7c-6fdd-4664-9bb7-12d8824ed36e","2024-08-06","Dry Creek","DrCr5","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5e90099c-284d-44bb-8d30-2c081c7f226a"
"65","2d82e131-9704-45f7-9a4b-c52e0eda12df","2024-07-25","Haystack","HAYS4","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"51ba5eb4-c1fc-4b7c-9a09-57bbef087749"
