"","latitude.1","longitude.1","date","fire_scar","fire_scar_other","site","elevation","slope","aspect","severity","transect_orientation","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"1",65.17558,147.6353,"2024-07-14","Haystack",NA,"1",813,7,78,3,NA,NA,"mesic-subxeric","Black spruce. Low density.","Lots of betula and willow. No exposed mineral soil.","1bda4af3-7396-40a3-ba12-377336a1aa9b","3b334af9-a45f-4f4a-a942-2ac5717eee8c"
"2",65.17706,147.63258,"2024-07-14","Haystack",NA,"2",723,2,202,1,NA,NA,"mesic","Sparse black spruce, willows, betula. ","Organic soil patchy burned, more fine branches then hays1","384b4d95-7c46-49ef-95c7-b45d2b6a7da1","cc991fc3-9be1-4831-a696-586e14a00241"
"3",65.17498,147.63118,"2024-07-14","Haystack",NA,"3",704,8,95,3,NA,NA,"mesic","Sparse black spruce, willows, bene ","Seemed lower severity than HAYS1 +2. Different in soil severity, similar in tree severity.","a23683be-02a8-4a1b-9b4a-773f6302ecab","c5e31609-bb88-4782-8ae6-209610bbe4e6"
"4",65.16865,147.64185,"2024-07-15","Lost Horse","","LoHo1",675,8,145,1,83,2,"mesic-subxeric","Low density black spruce, willows, bene","Site set up by MM in spring 2034, has aluminum stakes as plot markers. No dnbr at time of sampling, nearest points are low and med. by eye, I would call this low/mid severity. Orientation of plot was 83 degrees","3d8df608-9a94-4d28-9ecc-4418930f1772","2d338da7-7fc1-4c7e-9743-7f6c1add521b"
"5",65.16996,147.64754,"2024-07-15","Lost Horse","","LoHo2",705,8,146,2,34,3,"mesic-subxeric","Mid sparse black spruce, willow","Site set up by MM, has aluminum posts, orientation at 34 degrees, cross slope ish, no exact dnbr, but closest to mod","f0f90983-957f-42b2-8268-1b7b76c74c95","5b0b9574-61f1-41fa-b389-3b9d757fb60f"
"6",65.16893,147.65102,"2024-07-15","Lost Horse","","Loho3",696,4,122,3,0,1,"mesic-subxeric","Black spruce and willow","Orientation north, 0. Low severity site, based on visual inspection. ","d5e2f931-7667-46f3-b2bb-09a4435a556b","30593d79-6afe-4088-98c6-6a36b7483830"
"7",64.95871,148.16973,"2024-07-16","Shovel Creek","","SHCR1",441,12,254,2,341,1,"mesic-subhygric","Black spruce and alder","Previously LC 18","3647cba1-7f8b-48cb-a946-7292d76bead0","f6de8dc4-f3c6-47e3-8324-4fee9feba815"
"8",64.95939,148.16544,"2024-07-16","Shovel Creek","","SHCR2",476,14,278,2,12,3,"mesic-subxeric","Black spruce","All trees fallen. Double check it matches with original.","54014d15-245a-4d20-a53f-443d8483c6db","40900a24-85bb-4a11-8ffd-74d01bc2bf57"
"9",64.95885,148.24617,"2024-07-16","Shovel Creek","","Shcr3",547,14,288,3,28,2,"subxeric","Black spruce","Very rocky. ","6c54507d-bd4e-4294-81ad-cb80b198d3f3","cd4cb86d-6015-4e06-ba80-8fef388d2590"
"10",64.95408,148.2621,"2024-07-16","Shovel Creek","","Shcr4",516,22,322,1,60,1,"mesic-subhygric","Black spruce","Rocky outcrops. Concave. Surrounded by unburned. Do not like the site. Regen of everything! Old LC site 8","05185acf-86f9-4977-83cb-c85dea7a6a21","1d470294-57cb-4396-9550-81a26756da2d"
"11",64.94984,148.29456,"2024-07-17","Shovel Creek","","ShCr5",685,12,283,2,324,3,"xeric","Big black spruce.","Loads of CWD. All trees fallen. Exposed rock. Low regen. Old LC ID 41","215a9e55-445b-4fe7-9b59-5b0413db038a","641fa46b-06da-4f64-9f48-5f498178ec7c"
"12",64.94801,148.31558,"2024-07-17","Shovel Creek","","ShCr6",647,8,348,3,77,2,"mesic-subxeric","Black spruce. Sparse and large. ","Old LC ID 47. No seedlings regen. NAU photo site. ","cd949303-d0d3-48d5-af8c-9ab1d6238152","69cb1151-731c-46ca-be0a-f7147ef2d15b"
"13",65.16282,147.66177,"2024-07-18","Lost Horse","","LoHo4",702,4,89,2,0,3,"mesic-subhygric","Sparse black spruce, tall willows, bena ","Moderate to high severity burn. Patchy burning, some trees only half burnt, soil shows signs of burning more than trees do. Fallen trees were not counted in tree inventory","254fb8be-2cd3-4c0f-a4dc-951588e271a7","edacb65c-fca4-4a7b-b21b-4e1ad40eac8c"
"14",65.16473,147.66335,"2024-07-18","Lost Horse","","LoHo5",691,2,315,3,0,2,"mesic","Mid density Black spruce and willow, betula nana","Trees low severity burned, thick organics, limited understory vegetation, a lot of shrub resprouting. Fallen trees were not counted in tree inventory","1db59ca9-c00d-46ff-8749-b5b6a769feb0","bcdbc859-e3b7-4496-b15a-f6644ce0ea15"
"15",65.16173,147.66177,"2024-07-18","Lost Horse","","LoHo6",690,4,90,1,0,1,"subxeric","Low density black spruce, willow.","GPS and elevation taken from Gaia, not gps. Patches of low severity and unburned moss. Some areas of thick ash layer on top of organic (2-3 cm) particularly near trees. Infrequent shrub regeneration. Large trees and lots of fallen trees. Near area of unburned trees. ","d0d803df-612c-4c2b-b0d9-b7862022e4a1","e0a3e16a-5d30-4a01-a092-692255494992"
"16",65.48885,148.38408,"2024-07-22","Hess Creek","","HeCr1",326,13,194,3,81,1,"mesic-subxeric","Sparse spruce, some birch, alder, willows","Rocky. Shallow layer of gravel around 14cm that bread knife was unable to cut through but thaw probe sometimes could. Then very long slow hard push to next rocky layer at 70ish. Most trees are still standing, as opposed to patch we walked through to arrive at this site. Extremely grassy, best wild raspberries I’ve had. Ground very dry, mostly covered by thick mat of grass litter. LC plot 179","325f019b-be7e-4b29-8e43-da2da5311878","614e9876-38b0-46ea-9a53-ebceaca96600"
"17",65.48502,148.37849,"2024-07-22","Hess Creek","","HeCr2",323,11,190,3,108,2,"subxeric","Black spruce and birch, willows","LC plot 170. Many trees remain standing. Smaller fallen, larger standing. SOL very thin in some areas, vey dry and crumbly in others. Lots of raspberries and fireweed, but some bare patches too. ","b44a17cf-8576-4f37-acda-f90ee4d1a57c","1ed4752e-4d0f-4eed-8f70-738a1819db65"
"18",65.47979,148.35455,"2024-07-22","Hess Creek","","HeCr3",251,1,168,3,246,2,"subhygric","Wet, short dense black spruce.","Old LC site 176. On flat plain, use to be wet spruce, now overtaken by grasses. Some trees have fallen. Used old atv trail to walk here, mega overgrown but ok. Never hit ice ","7a786907-5580-4f40-b695-02f27074846c","e654b168-b01e-4b0b-8371-b84ef36ad452"
