"","date","fire_scar","site","plot","location","green_moss","depth1","org_hit","org_hit_other","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","min_depth","m1_depth1","m1_depth2","m2_depth1","m2_depth_2","min_coregrab","mineral_notes","sample_photo","general_notes"
"1","2024-07-25","Haystack","Hays5","A","3 m",NA,8,"Mineral,Rock","",38,"Rock",7.5,"Mineral",5.5,4,3,"yes","Hays5A",7.5,8,11.5,11,12.5,13.5,"1 cm rock removed between organic and mineral",NA,3,0,NA,NA,"","Rock beneath 3 cm unable to remove","",""
"2","2024-07-25","Haystack","Hays5","A","6 m",NA,0.5,"Mineral","",65,"Rock",5,"Mineral",2,3.5,6,"no","",NA,NA,NA,NA,NA,NA,"Small amount of litter, then ash and mineral",NA,NA,NA,NA,NA,"","","",""
"3","2024-07-25","Haystack","Hays5","A","9 m",NA,13.5,"Rock","",50,"Rock",11.5,"Mineral",2.5,5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"4","2024-07-14","Haystack","Hays1","A","3 m",NA,5,"Mineral","",82,"Ice",5.5,"Mineral",7.5,5,10,"yes","HAYS1A",4,6,10,10,12,11,"",6,NA,NA,NA,NA,"Core","Top=0-6 cm no M2 gravel","",""
"5","2024-07-14","Haystack","Hays1","A","6 m",NA,11.5,"Mineral","",100,"Ice",10.5,"Mineral",5.5,10,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"6","2024-07-16","Shovel creek","ShCr3","A","3 m",NA,3.5,"Mineral","",12,"Mineral",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"7","2024-07-16","Shovel creek","ShCr3","A","6 m",NA,12.5,"Mineral","",12.4,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"8","2024-07-16","Shovel creek","ShCr3","A","9 m",NA,5,"Mineral","",26,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
"9","2024-08-01","Munson Creek","MuCr2","A","3 m",0.1,11,"Mineral","",18,"Rock",10,"Rock",18,16,20,"yes","MuCr2A",9.5,8,11,11,11,10,"Bottom uneven due to rocks",NA,0,NA,0,NA,"","No mineral. Pure rock under organic","0f9bcacd-1611-47ba-8a96-a176b57eeb4f,59a4a4d3-127c-4dcc-8594-7b99bf2df5ed",""
"10","2024-08-01","Munson Creek","MuCr2","A","6 m",0,9.5,"Rock","",18,"Rock",28,"Rock",11,7,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","",""
