"","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","count","livedead","tree_notes"
"1","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",0.6,NA,NA,0,0,0,0,NA,"",""
"2","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,1.1,NA,0,0,0,0,NA,"",""
"3","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.1,NA,NA,0,0,0,0,NA,"",""
"4","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,1.1,NA,50,25,0,0,NA,"",""
"5","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",0.4,NA,NA,0,0,0,0,NA,"",""
"6","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.9,NA,25,50,50,25,0,NA,"",""
"7","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,2,NA,100,100,75,0,NA,"",""
"8","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.1,NA,NA,0,0,0,0,NA,"",""
"9","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",2.3,NA,75,75,75,50,0,NA,"",""
"10","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","yes",8.7,NA,NA,NA,NA,NA,50,NA,"",""
"11","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",5.4,NA,25,50,25,0,0,NA,"",""
"12","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,2.1,NA,75,75,75,0,NA,"",""
"13","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,0.9,NA,100,100,100,0,NA,"",""
"14","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.2,NA,NA,100,100,75,0,NA,"",""
"15","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",7.9,NA,0,50,50,25,0,NA,"",""
"16","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",5.7,NA,25,25,0,0,0,NA,"",""
"17","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",2.6,NA,0,75,75,50,0,NA,"",""
"18","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",6.7,NA,100,100,100,75,0,NA,"",""
"19","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",NA,1.6,NA,100,100,100,0,NA,"",""
"20","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",11.2,NA,75,100,100,100,0,NA,"",""
"21","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",5.4,NA,100,100,100,75,0,NA,"",""
"22","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",1,NA,NA,100,100,100,0,NA,"",""
"23","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",0.8,NA,NA,100,100,75,0,NA,"",""
"24","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.4,NA,100,100,100,0,NA,"",""
"25","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,NA,0,75,75,50,0,NA,"",""
"26","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.5,NA,25,75,75,75,0,NA,"",""
"27","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.6,NA,100,100,100,0,NA,"",""
"28","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,2,NA,100,100,100,0,NA,"",""
"29","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,2.8,100,75,75,75,0,NA,"",""
"30","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",1.4,NA,NA,75,75,75,0,NA,"",""
"31","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,2,NA,NA,NA,NA,25,NA,"",""
"32","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,5.3,NA,NA,NA,NA,75,NA,"",""
"33","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.4,NA,100,100,100,0,3,"",""
"34","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.4,NA,NA,75,75,75,0,NA,"",""
"35","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,2.2,NA,100,100,100,0,2,"",""
"36","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","yes",NA,5.2,NA,NA,NA,NA,75,NA,"",""
"37","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.3,NA,NA,100,100,100,0,4,"",""
