"","project","date","fire_scar","ID","sample_id","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"1","CCE","2024-08-05","Dry Creek",2,"DrCr1A","M1",5,"Core","","Hit water at 20cm"
"2","CCE","2024-08-05","Dry Creek",3,"DrCr1A","M2",5,"Core","","Hit water at 20cm"
"3","CCE","2024-08-05","Dry Creek",5,"DrCr1B","M1",5,"Core","","Sampled at 13.3 due to tree roots "
"4","CCE","2024-08-05","Dry Creek",6,"DrCr1B","M2",5,"Core","","Sampled at 13.3 due to tree roots "
"5","CCE","2024-08-05","Dry Creek",8,"DrCr1C","M1",5,"Core","","Hit water at 15"
"6","CCE","2024-08-05","Dry Creek",9,"DrCr1C","M2",5,"Core","","Hit water at 15"
"7","CCE","2024-08-05","Dry Creek",11,"DrCr2A","M1",5,"Core","",""
"8","CCE","2024-08-05","Dry Creek",12,"DrCr2A","M2",5,"Core","",""
"9","CCE","2024-08-05","Dry Creek",14,"DrCr2B","M1",5,"Core","","No at roots visible on nearby trees"
"10","CCE","2024-08-05","Dry Creek",15,"DrCr2B","M2",5,"Core","","No at roots visible on nearby trees"
"11","CCE","2024-08-05","Dry Creek",17,"DrCr2C","M1",5,"Core","",""
"12","CCE","2024-08-05","Dry Creek",18,"DrCr2C","M2",5,"Core","",""
"13","CCE","2024-08-05","Dry Creek",20,"DrCr3A","M1",5,"Core","","Hit water at 16"
"14","CCE","2024-08-05","Dry Creek",21,"DrCr3A","M2",5,"Core","","Hit water at 16"
"15","CCE","2024-08-05","Dry Creek",23,"DrCr3B","M1",5,"Core","",""
"16","CCE","2024-08-05","Dry Creek",24,"DrCr3B","M2",5,"Core","",""
"17","CCE","2024-08-05","Dry Creek",26,"DrCr3C","M1",5,"Core","",""
"18","CCE","2024-08-05","Dry Creek",27,"DrCr3C","M2",5,"Core","",""
"19","CCE","2024-08-06","Dry Creek",29,"DrCr4A","M1",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"20","CCE","2024-08-06","Dry Creek",30,"DrCr4A","M2",5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
