"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","general_notes"
"1","CCE","2024-08-05","Dry Creek",1,"DrCr1A",20,23,11,10.5,10,11.5,"","Hit water at 20cm"
"2","CCE","2024-08-05","Dry Creek",4,"DrCr1B",31,32,11,12,10.5,10.5,"","Sampled at 13.3 due to tree roots "
"3","CCE","2024-08-05","Dry Creek",7,"DrCr1C",21,22,10,10,10.5,10,"","Hit water at 15"
"4","CCE","2024-08-05","Dry Creek",10,"DrCr2A",32,31,11,11,10,10,"",""
"5","CCE","2024-08-05","Dry Creek",13,"DrCr2B",25,23.5,10.5,10.5,11,11,"","No at roots visible on nearby trees"
"6","CCE","2024-08-05","Dry Creek",16,"DrCr2C",21,23,11,12,19,9,"",""
"7","CCE","2024-08-05","Dry Creek",19,"DrCr3A",25,25,10,10.5,8,10,"","Hit water at 16"
"8","CCE","2024-08-05","Dry Creek",22,"DrCr3B",27,27,10,10,9,10,"",""
"9","CCE","2024-08-05","Dry Creek",25,"DrCr3C",23,24,12,11.5,10,10,"",""
"10","CCE","2024-08-06","Dry Creek",28,"DrCr4A",4.5,3,10,10,9.5,9.5,"","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further"
"11","CCE","2024-08-06","Dry Creek",31,"DrCr4B",6.5,7,9,9,9,10,"","Mineral all the way down but really hard to press thaw probe through"
"12","CCE","2024-08-06","Dry Creek",34,"DrCr4C",10,10,10,9,9.5,9,"","Really hard packed mineral, hard to get thaw probe through"
"13","CCE","2024-08-06","Dry Creek",37,"DrCr5A",8,7.5,10,10,10,9.5,"","Mineral too dense for thaw probe"
"14","CCE","2024-08-06","Dry Creek",40,"DrCr5B",10,11.5,10,10.5,10,10,"","Mineral too dense to probe further"
"15","CCE","2024-08-06","Dry Creek",43,"DrCr5C",4,4.5,11,11,10,10,"","Sampled at 23.6 due to roots. Mineral too dense to probe"
"16","CCE","2024-08-06","Dry Creek",46,"DrCr6A",20,20,7,7,8.5,8,"",""
"17","CCE","2024-08-06","Dry Creek",49,"DrCr6B",22,22,10,10,10,10.5,"",""
"18","CCE","2024-08-06","Dry Creek",52,"DrCr6C",20,21.5,10.5,10,9.5,10,"",""
"19","CCE","2024-07-14","Haystack",55,"Hays1A",4,6,10,10,12,11,"",""
"20","CCE","2024-07-14","Haystack",57,"Hays1B",11.5,11,12,12,12,13,"",""
"21","CCE","2024-07-14","Haystack",60,"Hays1C",3,3,8,7,11,11.5,"",""
"22","CCE","2024-07-14","Haystack",63,"Hays2A",6,5,9,10,9,10,"",""
"23","CCE","2024-07-14","Haystack",66,"Hays2B",10,8,10,10,11,11,"",""
"24","CCE","2024-07-14","Haystack",69,"Hays2C",5.5,6,10,10.5,10,11,"",""
"25","CCE","2024-07-14","Haystack",72,"Hays3A",8,6,10,10,10,11,"",""
"26","CCE","2024-07-14","Haystack",75,"Hays3B",6,6,11,10,13,13,"",""
"27","CCE","2024-07-14","Haystack",78,"Hays3C",7,7,13,12,8,9,"",""
"28","CCE","2024-07-25","Haystack",81,"Hays4A",12,11,10.5,10,10.5,10,"",""
"29","CCE","2024-07-25","Haystack",83,"Hays4B",16,16,11,11,13,12.5,"Crumbly at bottom","Closest tree for AR was living"
"30","CCE","2024-07-25","Haystack",86,"Hays4C",7,8,10,10,11.5,11,"","Removed 2cm of rock between org and mineral, hit rock after 8cm of mineral "
"31","CCE","2024-07-25","Haystack",88,"Hays5A",7.5,8,11.5,11,12.5,13.5,"1 cm rock removed between organic and mineral",""
"32","CCE","2024-07-25","Haystack",90,"Hays5B",11,10.5,12,12.5,11,10,"Large root below organic sample difficult to remove. Taking remainder of organic as separate sample using corer, in separate bag for processing. Depth 3 cm.",""
"33","CCE","2024-07-25","Haystack",92,"Hays5C",8,6,7.5,8,14,13,"Ash moss mineral mix at bottom of sample, sample uneven at an angle.",""
"34","CCE","2024-07-25","Haystack",95,"Hays6A",6.5,6,13,12,10,9.5,"",""
