"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"1","CCE","2024-08-05","Dry Creek",1,"DrCr1A",20,23,11,10.5,10,11.5,"","O",NA,NA,NA,"Hit water at 20cm"
"2","CCE","2024-08-05","Dry Creek",2,"DrCr1A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Hit water at 20cm"
"3","CCE","2024-08-05","Dry Creek",3,"DrCr1A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Hit water at 20cm"
"4","CCE","2024-08-05","Dry Creek",4,"DrCr1B",31,32,11,12,10.5,10.5,"","O",NA,NA,NA,"Sampled at 13.3 due to tree roots "
"5","CCE","2024-08-05","Dry Creek",5,"DrCr1B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Sampled at 13.3 due to tree roots "
"6","CCE","2024-08-05","Dry Creek",6,"DrCr1B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Sampled at 13.3 due to tree roots "
"7","CCE","2024-08-05","Dry Creek",7,"DrCr1C",21,22,10,10,10.5,10,"","O",NA,NA,NA,"Hit water at 15"
"8","CCE","2024-08-05","Dry Creek",8,"DrCr1C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","Hit water at 15"
"9","CCE","2024-08-05","Dry Creek",9,"DrCr1C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","Hit water at 15"
"10","CCE","2024-08-05","Dry Creek",10,"DrCr2A",32,31,11,11,10,10,"","O",NA,NA,NA,""
"11","CCE","2024-08-05","Dry Creek",11,"DrCr2A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"12","CCE","2024-08-05","Dry Creek",12,"DrCr2A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"13","CCE","2024-08-05","Dry Creek",13,"DrCr2B",25,23.5,10.5,10.5,11,11,"","O",NA,NA,NA,"No at roots visible on nearby trees"
"14","CCE","2024-08-05","Dry Creek",14,"DrCr2B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","No at roots visible on nearby trees"
