"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"1","CCE","2024-07-25","Haystack","Hays5","A",NA,8,"Mineral,Rock",38,"Rock",7.5,"Mineral",5.5,4,3,"yes","Hays5A",7.5,8,11.5,11,12.5,13.5,"1 cm rock removed between organic and mineral",3,0,"Core","Rock beneath 3 cm unable to remove","",""
"2","CCE","2024-07-14","Haystack","Hays1","A",NA,5,"Mineral",82,"Ice",5.5,"Mineral",7.5,5,10,"yes","Hays1A",4,6,10,10,12,11,"",6,0,"Core","Top=0-6 cm no M2 gravel","",""
"3","CCE","2024-08-01","Munson Creek","MuCr2","A",0.1,11,"Mineral",18,"Rock",10,"Rock",18,16,20,"yes","MuCr2A",9.5,8,11,11,11,10,"Bottom uneven due to rocks",0,0,NA,"No mineral. Pure rock under organic","","0f9bcacd-1611-47ba-8a96-a176b57eeb4f,59a4a4d3-127c-4dcc-8594-7b99bf2df5ed"
"4","CCE","2024-07-29","McCoy Creek","McCr2","B",NA,13,"Mineral",62,"Frozen Ground",17,"Mineral",7,7,10,"yes","McCr2B",10,12,9,8,9,9,"",5,5,"Core","","",""
"5","CCE","2024-07-31","Nugget Creek","NuCr4","C",NA,6,"Mineral",101,">100cm",12,"Mineral",46,23,NA,"yes","NuCr4C",7,5,10,12,9,10,"",5,5,"Core","","",""
"6","CCE","2024-07-31","Nugget Creek","NuCr4","A",NA,30,"Mineral",101,">100cm",42,"Mineral",8,9,NA,"yes","NuCr4A",35,34,10,6,11.5,10,"Organic sample difficult to remove due to roots, bottom very crumbly",5,5,"Core","","",""
"7","CCE","2024-07-28","McCoy Creek","McCr5","C",NA,43,"Mineral",55,"Frozen Ground",29.5,"Mineral",5,2,6,"yes","McCr5C",40,38,9,11,10,7,"",5,0,"Core","","No m2 sample, hit frozen ground at bottom of m1 sample",""
"8","CCE","2024-08-02","Teklanika","Tekl4","B",0,7,"Mineral",23,"Rock",5,"Mineral",3,2,1,"yes","Tekl4B",7,8,11,10,10,9,"",4,2,"Both","M1 sampled with corer. 2 cm of rock removed. M2 grab sample of 2cm","Sampled at 13.3 due to cwd","47021fe9-46c4-4b0d-8d01-a873ea8696fb"
"9","CCE","2024-08-06","Dry Creek","DrCr4","B",0,6.5,"Mineral",90,"Mineral",6.5,"Mineral",13,12,12,"yes","DrCr4B",6.5,7,9,9,9,10,"",5,5,"Core","","Mineral all the way down but really hard to press thaw probe through",""
"10","CCE","2024-08-02","Teklanika","Tekl4","A",0,8,"Mineral",16,"Rock",11,"",2.5,1.5,NA,"yes","Tekl4A",8,7.5,9.5,10,9.5,10,"",4,5,"Both","M1 sampled with corer. Removed 5cm of rock. M2 is grab sample below that to a depth of 5 cm","Nearest tree had no Ar roots visible. SOL depth at it was 10. Measurements in data are from nearest tree with Ar","d84f191b-be6b-4b30-a49c-f01983eebfe4"
"11","CCE","2024-08-01","Munson Creek","MuCr1","B",0,6,"Mineral",72,"Rock",12.5,"Mineral",1.5,2,7,"yes","MuCr1B",7.5,4.5,10.5,11.5,11,10,"",5,5,"Core","","",""
"12","CCE","2024-07-31","Nugget Creek","NuCr5","C",NA,7,"Mineral",37,"Rock",7,"Mineral",23,24,NA,"yes","NuCr5C",7,9,7,8,10,10,"",7,0,"Grab","Too rocky and crumbly to core volumetrically, grab sample of mineral to 7 cm depth ","No standing AR tree, measuring AR depths from AR roots to remaining soil on roots or to the bottom of large exposed stabilizing root if no soil is remaining on roots. AR soil depth same hole as transect, not including green moss",""
"13","CCE","2024-07-18","Lost Horse","LoHo5","A",NA,16,"Mineral",101,">100cm",2.5,"Mineral",16,7,8,"yes","LoHo5A",16,16,11,11,11,10,"Roots!!",5,5,"Core","Removed 3 cm of rock between organic and mineral","",""
"14","CCE","2024-08-07","McCoy Creek","McCr3","C",0,31.5,"Mineral",48,"Frozen Ground",40,"Mineral",9.5,11.5,9,"yes","McCr3C",31,31.5,11,11,10.5,10,"",5,5,"Core","Hit frozen ground","","0ee3af13-f0ea-4bf5-b625-69eef1ba9bfa"
"15","CCE","2024-07-14","Haystack","Hays2","C",NA,5.5,"Mineral",100,"Rock",17,"Mineral",5,6,NA,"yes","Hays2C",5.5,6,10,10.5,10,11,"",5,5,"Core","M1 and m2 both 5 cm, slightly compacted core","",""
