"","project","fire_scar","site","additional_species","additional_species_notes"
"1","CCE","Haystack","Hays2","Carex spp",""
"2","CCE","Haystack","Hays1",NA,"Forgot to do this in site 1"
"3","CCE","Haystack","Hays3","Empetrum nigrum",""
"4","CCE","Haystack","Hays3","Linnaea borealis",""
"5","CCE","Haystack","Hays3","Linnaea borealis",""
"6","CCE","Lost Horse","LoHo1","Salix spp",""
"7","CCE","Lost Horse","LoHo2","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",""
"8","CCE","Lost Horse","LoHo1","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",""
"9","CCE","Lost Horse","LoHo3","Betula nana",""
"10","CCE","Lost Horse","LoHo3","Merchantia spp",""
"11","CCE","Lost Horse","LoHo3","Epilobium angustifolium [Chamerion angustifolium]",""
"12","CCE","Shovel Creek","ShCr1","Cornus canadensis",""
"13","CCE","Shovel Creek","ShCr1","Alnus viridis",""
"14","CCE","Shovel Creek","ShCr3","Populus tremuloides",""
"15","CCE","Shovel Creek","ShCr3","Salix spp",""
"16","CCE","Shovel Creek","ShCr3","Betula nana",""
"17","CCE","Shovel Creek","ShCr3","Spiraea beauverdiana (stevenii)",""
"18","CCE","Shovel Creek","ShCr4","Alnus viridis",""
"19","CCE","Shovel Creek","ShCr4","Empetrum nigrum",""
"20","CCE","Haystack","Hays3",NA,"0"
"21","CCE","Shovel Creek","ShCr5","Spiraea beauverdiana (stevenii)",""
"22","CCE","Shovel Creek","ShCr6","Salix spp",""
"23","CCE","Lost Horse","LoHo4","Liverwort ",""
"24","CCE","Lost Horse","LoHo5","Calamagrostis canadensis",""
"25","CCE","Lost Horse","LoHo5","Picea mariana",""
"26","CCE","Lost Horse","LoHo5","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",""
"27","CCE","Lost Horse","LoHo5","Salix spp",""
"28","CCE","Lost Horse","LoHo5","Empetrum nigrum",""
"29","CCE","Lost Horse","LoHo5","Epilobium angustifolium [Chamerion angustifolium]",""
"30","CCE","Lost Horse","LoHo5","Luzula multiflora",""
"31","CCE","Hess Creek","HeCr6","Polygonum alpinum",""
"32","CCE","Hess Creek","HeCr6","Rosa acicularis",""
"33","CCE","Hess Creek","HeCr1","Potentilla fruticose [Dasiphora fruticosa]",""
"34","CCE","Hess Creek","HeCr1","Salix spp",""
"35","CCE","Hess Creek","HeCr2",NA,""
"36","CCE","Hess Creek","HeCr3","Potentilla fruticose [Dasiphora fruticosa]","7/22/24"
"37","CCE","Hess Creek","HeCr4","Empetrum nigrum",""
"38","CCE","Hess Creek","HeCr5","Populus tremuloides",""
"39","CCE","Haystack","Hays4","Sphagnum ",""
"40","CCE","Haystack","Hays5","Spiraea beauverdiana (stevenii)",""
"41","CCE","Haystack","Hays5","Linnaea borealis",""
"42","CCE","Haystack","Hays6","Lycopodium spp","Lycopodium spp unknown but could not type in another “other”"
"43","CCE","Haystack","Hays6","Dicranum","Lycopodium spp unknown but could not type in another “other”"
"44","CCE","McCoy Creek","McCr1","Oxycoccus microcarpos [Vaccinium oxycoccos]",""
