"","project","date","fire_scar","site","plot","count_1_hr","count_10_hr","count_100_hr","count_1000_hr"
"1","CCE","2024-07-14","Haystack","Hays1","A",4,1,0,0
"2","CCE","2024-07-14","Haystack","Hays1","B",3,1,0,0
"3","CCE","2024-07-14","Haystack","Hays2","A",0,2,0,0
"4","CCE","2024-07-14","Haystack","Hays2","B",2,2,2,0
"5","CCE","2024-07-14","Haystack","Hays2","C",5,0,0,0
"6","CCE","2024-07-14","Haystack","Hays3","A",0,1,1,0
"7","CCE","2024-07-14","Haystack","Hays3","B",1,0,1,0
"8","CCE","2024-07-14","Haystack","Hays3","C",1,0,1,0
"9","CCE","2024-07-14","Haystack","Hays1","C",2,1,0,0
"10","CCE","2024-07-15","Lost Horse","LoHo1","A",0,0,1,0
"11","CCE","2024-07-15","Lost Horse","LoHo1","B",0,0,0,0
"12","CCE","2024-07-15","Lost Horse","LoHo1","C",0,1,0,0
"13","CCE","2024-07-15","Lost Horse","LoHo2","C",2,0,0,0
"14","CCE","2024-07-15","Lost Horse","LoHo2","B",5,4,1,0
"15","CCE","2024-07-15","Lost Horse","LoHo2","A",0,0,0,0
"16","CCE","2024-07-15","Lost Horse","LoHo3","A",2,0,0,0
"17","CCE","2024-07-15","Lost Horse","LoHo3","B",3,1,1,0
"18","CCE","2024-07-15","Lost Horse","LoHo3","C",3,0,0,0
"19","CCE","2024-07-16","Shovel Creek","ShCr1","A",5,3,0,0
"20","CCE","2024-07-16","Shovel Creek","ShCr1","B",0,2,0,1
"21","CCE","2024-07-16","Shovel Creek","ShCr1","C",0,0,0,0
"22","CCE","2024-07-16","Shovel Creek","ShCr2","A",10,4,5,1
"23","CCE","2024-07-16","Shovel Creek","ShCr2","B",3,2,16,3
"24","CCE","2024-07-16","Shovel Creek","ShCr2","C",2,6,11,0
"25","CCE","2024-07-16","Shovel Creek","ShCr3","A",0,0,1,1
"26","CCE","2024-07-16","Shovel Creek","ShCr3","B",4,0,5,2
"27","CCE","2024-07-16","Shovel Creek","ShCr3","C",3,0,1,0
"28","CCE","2024-07-16","Shovel Creek","ShCr4","A",1,0,0,3
"29","CCE","2024-07-16","Shovel Creek","ShCr4","B",1,2,3,4
"30","CCE","2024-07-16","Shovel Creek","ShCr4","C",2,3,1,2
"31","CCE","2024-07-17","Shovel Creek","ShCr5","A",2,4,5,3
"32","CCE","2024-07-17","Shovel Creek","ShCr5","B",20,8,5,3
"33","CCE","2024-07-17","Shovel Creek","ShCr5","C",7,1,1,12
"34","CCE","2024-07-17","Shovel Creek","ShCr6","A",5,0,0,0
"35","CCE","2024-07-17","Shovel Creek","ShCr6","B",2,0,0,0
"36","CCE","2024-07-17","Shovel Creek","ShCr6","C",26,5,0,0
"37","CCE","2024-07-18","Lost Horse","LoHo4","C",4,0,0,0
"38","CCE","2024-07-18","Lost Horse","LoHo4","B",4,2,0,0
"39","CCE","2024-07-18","Lost Horse","LoHo4","A",0,1,0,0
"40","CCE","2024-07-18","Haystack","LoHo5","A",2,0,1,0
"41","CCE","2024-07-18","Haystack","LoHo5","B",1,0,0,0
"42","CCE","2024-07-18","Haystack","LoHo5","C",1,2,0,0
"43","CCE","2024-07-18","Haystack","LoHo6","A",2,0,0,0
"44","CCE","2024-07-18","Haystack","LoHo6","B",0,4,0,2
"45","CCE","2024-07-18","Haystack","LoHo6","C",3,5,1,0
"46","CCE","2024-07-22","Hess Creek","HeCr1","A",2,0,0,0
"47","CCE","2024-07-22","Hess Creek","HeCr1","B",6,9,1,0
"48","CCE","2024-07-22","Hess Creek","HeCr1","C",1,5,2,3
"49","CCE","2024-07-22","Hess Creek","HeCr2","A",0,2,2,1
