"","project","date","fire_scar","site","plot","species","diameter_cm","decay_class","combustion","cwd_notes"
"1","CCE","2024-08-03","Teklanika ","Tekl2","A",NA,NA,NA,NA,NA
"2","CCE","2024-07-23","Hess Creek","HeCr4","B",NA,NA,NA,NA,NA
"3","CCE","2024-08-04","Munson Creek","MuCr4","B",NA,NA,NA,NA,NA
"4","CCE","2024-07-22","Hess Creek","HeCr1","A",NA,NA,NA,NA,NA
"5","CCE","2024-07-14","Haystack","Hays2","B",NA,NA,NA,NA,NA
"6","CCE","2024-07-28","McCoy Creek","McCr1","C",NA,NA,NA,NA,NA
"7","CCE","2024-08-02","Teklanika","Tekl4","B","black spruce",2.6,"hard",50,""
"8","CCE","2024-08-02","Teklanika","Tekl6","C",NA,NA,NA,NA,NA
"9","CCE","2024-07-18","Lost Horse","LoHo4","A",NA,NA,NA,NA,NA
"10","CCE","2024-08-03","Teklanika","Tekl3","C",NA,NA,NA,NA,NA
"11","CCE","2024-08-03","Teklanika","Tekl3","A",NA,NA,NA,NA,NA
"12","CCE","2024-07-14","Haystack","Hays3","A",NA,NA,NA,NA,NA
"13","CCE","2024-07-18","Lost Horse","LoHo6","C",NA,NA,NA,NA,NA
"14","CCE","2024-08-07","McCoy Creek","McCr3","A",NA,NA,NA,NA,NA
"15","CCE","2024-07-25","Haystack","Hays5","C","black spruce",4.3,"hard",50,"Not included in browns transect"
"16","CCE","2024-07-15","Lost Horse","LoHo1","B","black spruce",6.5,"crumbly",25,""
"17","CCE","2024-08-04","Munson Creek","MuCr5","A",NA,NA,NA,NA,NA
"18","CCE","2024-07-28","McCoy Creek","McCr1","B",NA,NA,NA,NA,NA
"19","CCE","2024-08-04","Munson Creek","MuCr5","B",NA,NA,NA,NA,NA
"20","CCE","2024-07-28","McCoy Creek","McCr4","A",NA,NA,NA,NA,NA
"21","CCE","2024-07-15","Lost Horse","LoHo2","A",NA,NA,NA,NA,NA
"22","CCE","2024-07-29","McCoy Creek","McCr5","B",NA,NA,NA,NA,NA
"23","CCE","2024-07-14","Haystack","Hays2","A",NA,NA,NA,NA,NA
"24","CCE","2024-08-02","Teklanika","Tekl6","B",NA,NA,NA,NA,NA
"25","CCE","2024-07-25","Haystack","Hays4","C","black spruce",4.2,"hard",25,""
"26","CCE","2024-07-23","Hess Creek","HeCr4","A",NA,NA,NA,NA,NA
"27","CCE","2024-07-25","Haystack","Hays6","A",NA,NA,NA,NA,NA
