"","date","fire_scar","site","plot","location","site_notes","ground_cover_type","ground_percent_cover","ground_cover_notes"
"1","2024-08-02","Teklanika ","Tekl6","A","6 m","","Burned Lichen",2,""
"2","2024-08-02","Teklanika ","Tekl6","A","6 m","","Coarse Woody Debris",0.1,""
"3","2024-08-02","Teklanika ","Tekl6","A","6 m","","Fine Woody Debris",0.1,""
"4","2024-08-02","Teklanika ","Tekl6","A","6 m","","Litter",4,""
"5","2024-08-02","Teklanika ","Tekl6","A","6 m","","Organic",93.8,""
"6","2024-08-06","Dry Creek","DrCr4","C","3 m","","Coarse Woody Debris",5,""
"7","2024-08-06","Dry Creek","DrCr4","C","3 m","","Polytrichum",0.1,""
"8","2024-08-06","Dry Creek","DrCr4","C","3 m","","Burned Lichen",18,""
"9","2024-08-06","Dry Creek","DrCr4","C","3 m","","Litter",5,""
"10","2024-08-06","Dry Creek","DrCr4","C","3 m","","Grass Litter",2,""
"11","2024-08-06","Dry Creek","DrCr4","C","3 m","","Fine Woody Debris",0.1,""
"12","2024-08-06","Dry Creek","DrCr4","C","3 m","","Organic",3,""
"13","2024-08-06","Dry Creek","DrCr4","C","3 m","","Burned Moss",66.8,""
"14","2024-07-14","Haystack","Hays1","A","9 m","","Ceratodon purpureus",1,""
"15","2024-07-14","Haystack","Hays1","A","9 m","","Fruticose Lichen",4,""
"16","2024-07-14","Haystack","Hays1","A","9 m","","Grass Litter",0.1,""
"17","2024-07-14","Haystack","Hays1","A","9 m","","Coarse Woody Debris",4,""
"18","2024-07-14","Haystack","Hays1","A","9 m","","Fine Woody Debris",3,""
"19","2024-07-14","Haystack","Hays1","A","9 m","","Polytrichum",0.1,""
"20","2024-07-14","Haystack","Hays1","A","9 m","","Burned moss",20,""
"21","2024-07-14","Haystack","Hays1","A","9 m","","Burned lichen",0.1,""
"22","2024-07-14","Haystack","Hays1","A","9 m","","Litter",0.1,""
"23","2024-07-14","Haystack","Hays1","A","9 m","","Organic",67.6,""
"24","2024-07-18","Lost Horse","LoHo6","C","3 m","","Fine Woody Debris",3,""
"25","2024-07-18","Lost Horse","LoHo6","C","3 m","","Coarse Woody Debris",0.1,""
"26","2024-07-18","Lost Horse","LoHo6","C","3 m","","Burned Moss",21,""
"27","2024-07-18","Lost Horse","LoHo6","C","3 m","","Burned Lichen",11,""
"28","2024-07-18","Lost Horse","LoHo6","C","3 m","","Litter",4,""
"29","2024-07-18","Lost Horse","LoHo6","C","3 m","","Organic",60.9,""
"30","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Fine Woody Debris",0.1,""
"31","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Polytrichum",2,""
"32","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Ceratodon purpureus",4,""
"33","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Coarse Woody Debris",0.1,""
"34","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Organic",20,""
"35","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Litter",73.8,"Decomposing, intermixed with organic "
"36","2024-08-03","Teklanika ","Tekl3","C","3 m","","Standing water",2,""
"37","2024-08-03","Teklanika ","Tekl3","C","3 m","","Mushroom",0.1,""
"38","2024-08-03","Teklanika ","Tekl3","C","3 m","","Coarse Woody Debris",3,""
"39","2024-08-03","Teklanika ","Tekl3","C","3 m","","Fine Woody Debris",2,""
"40","2024-08-03","Teklanika ","Tekl3","C","3 m","","Ceratodon purpureus",3,""
"41","2024-08-03","Teklanika ","Tekl3","C","3 m","","Marchantia polymorpha",4,""
"42","2024-08-03","Teklanika ","Tekl3","C","3 m","","Organic",18,""
"43","2024-08-03","Teklanika ","Tekl3","C","3 m","","Litter",67.9,""
"44","2024-07-29","McCoy Creek","McCr6","A","6 m","","Burned Lichen",2,""
"45","2024-07-29","McCoy Creek","McCr6","A","6 m","","Burned Moss",8,""
"46","2024-07-29","McCoy Creek","McCr6","A","6 m","","Foliose Lichen",1,""
"47","2024-07-29","McCoy Creek","McCr6","A","6 m","","Pleurozium",6,""
"48","2024-07-29","McCoy Creek","McCr6","A","6 m","","Fine Woody Debris",1,""
"49","2024-07-29","McCoy Creek","McCr6","A","6 m","","Coarse Woody Debris",0.1,""
"50","2024-07-29","McCoy Creek","McCr6","A","6 m","","Ceratodon purpureus",0.1,""
"51","2024-07-29","McCoy Creek","McCr6","A","6 m","","Organic",23,""
"52","2024-07-29","McCoy Creek","McCr6","A","6 m","","Litter",58.8,""
"53","2024-07-28","McCoy Creek","McCr1","C","6 m","","Litter",8,""
"54","2024-07-28","McCoy Creek","McCr1","C","6 m","","Coarse Woody Debris",3,""
"55","2024-07-28","McCoy Creek","McCr1","C","6 m","","Fine Woody Debris",3,""
"56","2024-07-28","McCoy Creek","McCr1","C","6 m","","Mushroom",0.1,""
"57","2024-07-28","McCoy Creek","McCr1","C","6 m","","Burned Lichen",0.1,""
"58","2024-07-28","McCoy Creek","McCr1","C","6 m","","Marchantia polymorpha",0.1,""
"59","2024-07-28","McCoy Creek","McCr1","C","6 m","","Ceratodon purpureus",1,""
"60","2024-07-28","McCoy Creek","McCr1","C","6 m","","Organic",84.7,""
"61","2024-08-05","Dry Creek","DrCr2","B","3 m","","Ceratodon purpureus",7,""
"62","2024-08-05","Dry Creek","DrCr2","B","3 m","","Coarse Woody Debris",1,""
"63","2024-08-05","Dry Creek","DrCr2","B","3 m","","Fine Woody Debris",1,""
"64","2024-08-05","Dry Creek","DrCr2","B","3 m","","Grass Litter",3,""
"65","2024-08-05","Dry Creek","DrCr2","B","3 m","","Organic",18,""
"66","2024-08-05","Dry Creek","DrCr2","B","3 m","","Mushroom",0.1,""
"67","2024-08-05","Dry Creek","DrCr2","B","3 m","","Litter",19,""
"68","2024-08-05","Dry Creek","DrCr2","B","3 m","","Burned Moss",50.9,""
"69","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Foliose Lichen",2,""
"70","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Coarse Woody Debris",2,""
"71","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Fine Woody Debris",0.1,""
"72","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Litter",3,""
"73","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Ceratodon purpureus",4,""
"74","2024-07-31","Nugget Creek","NuCr6","C","3 m","","Polytrichum",88.9,""
"75","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Foliose Lichen",1,""
"76","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Burned Lichen",1,""
"77","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Polytrichum",2,""
"78","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Organic",8,""
"79","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Grass Litter",12,""
"80","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Ceratodon/Pohlia",20,""
"81","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Coarse Woody Debris",1,""
"82","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Fine Woody Debris",1,""
"83","2024-07-17","Shovel Creek","ShCr6","B","3 m","","Litter",54,""
"84","2024-08-03","Teklanika ","Tekl2","A","3 m","","Mushroom",0.1,""
"85","2024-08-03","Teklanika ","Tekl2","A","3 m","","Ceratodon purpureus",5,""
"86","2024-08-03","Teklanika ","Tekl2","A","3 m","","Organic",1,""
"87","2024-08-03","Teklanika ","Tekl2","A","3 m","","Coarse Woody Debris",1,""
