"","date","fire_scar","site","plot","location","site_notes","plant_species","plant_species_cover","veg_cover_notes"
"1","2024-08-02","Teklanika ","Tekl6","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"2","2024-08-02","Teklanika ","Tekl6","A","6 m","","Vaccinium uliginosum",2,""
"3","2024-08-02","Teklanika ","Tekl6","A","6 m","","Salix spp",5,""
"4","2024-08-02","Teklanika ","Tekl6","A","6 m","","Solidago spp",1,""
"5","2024-08-02","Teklanika ","Tekl6","A","6 m","","Coarse woody debris",0.1,""
"6","2024-08-02","Teklanika ","Tekl6","A","6 m","","Fine Woody Debris",1,""
"7","2024-08-02","Teklanika ","Tekl6","A","6 m","","Calamagrostis canadensis",0.1,""
"8","2024-08-02","Teklanika ","Tekl6","A","6 m","","Equisetum scirpoides",0.1,""
"9","2024-08-06","Dry Creek","DrCr4","C","3 m","","Equisetum arvense",3,""
"10","2024-08-06","Dry Creek","DrCr4","C","3 m","","Equisetum scirpoides",1,""
"11","2024-08-06","Dry Creek","DrCr4","C","3 m","","Vaccinium vitis-idaea",4,""
"12","2024-08-06","Dry Creek","DrCr4","C","3 m","","Calamagrostis canadensis",3,""
"13","2024-08-06","Dry Creek","DrCr4","C","3 m","","Grass litter",7,"Cal can"
"14","2024-08-06","Dry Creek","DrCr4","C","3 m","","Coarse woody debris",1,""
"15","2024-07-14","Haystack","Hays1","A","9 m","","Vaccinium uliginosum",6,""
"16","2024-07-14","Haystack","Hays1","A","9 m","","Vaccinium vitis-idaea",0.1,""
"17","2024-07-14","Haystack","Hays1","A","9 m","","Cornus canadensis",3,""
"18","2024-07-14","Haystack","Hays1","A","9 m","","Calamagrostis canadensis",2,""
"19","2024-07-14","Haystack","Hays1","A","9 m","","Coarse woody debris",0.1,""
"20","2024-07-18","Lost Horse","LoHo6","C","3 m","","Vaccinium vitis-idaea",0.1,""
"21","2024-07-18","Lost Horse","LoHo6","C","3 m","","Cornus canadensis",0.1,""
"22","2024-07-18","Lost Horse","LoHo6","C","3 m","","Vaccinium uliginosum",0.1,""
"23","2024-07-18","Lost Horse","LoHo6","C","3 m","","Fine Woody Debris",2,""
"24","2024-07-18","Lost Horse","LoHo6","C","3 m","","Coarse woody debris",1,""
"25","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Rubus chamaemorus",15,""
"26","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Fine Woody Debris",0.1,""
"27","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Coarse woody debris",4,""
"28","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",11,""
"29","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Vaccinium vitis-idaea",6,""
"30","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Equisetum sylvaticum",28,""
"31","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Epilobium angustifolium [Chamerion angustifolium]",0.1,""
"32","2024-07-31","Nugget Creek","NuCr4","A","3 m","","Betula nana",0.1,""
"33","2024-08-03","Teklanika ","Tekl3","C","3 m","","Rubus chamaemorus",0.1,""
