"","date","fire_scar","site","plot","location","site_notes","resprouts_present","resprout_species","resprout_count","resprout_notes","r_bd1","r_bd2"
"1","2024-08-02","Teklanika ","Tekl6","A","6 m","","no",NA,NA,NA,NA,NA
"2","2024-08-06","Dry Creek","DrCr4","C","3 m","","no",NA,NA,NA,NA,NA
"3","2024-07-14","Haystack","Hays1","A","9 m","","no",NA,NA,NA,NA,NA
"4","2024-07-18","Lost Horse","LoHo6","C","3 m","","no",NA,NA,NA,NA,NA
"5","2024-07-31","Nugget Creek","NuCr4","A","3 m","","no",NA,NA,NA,NA,NA
"6","2024-08-03","Teklanika ","Tekl3","C","3 m","","no",NA,NA,NA,NA,NA
"7","2024-07-29","McCoy Creek","McCr6","A","6 m","","no",NA,NA,NA,NA,NA
"8","2024-07-28","McCoy Creek","McCr1","C","6 m","","no",NA,NA,NA,NA,NA
"9","2024-08-05","Dry Creek","DrCr2","B","3 m","","no",NA,NA,NA,NA,NA
"10","2024-07-31","Nugget Creek","NuCr6","C","3 m","","no",NA,NA,NA,NA,NA
"11","2024-07-17","Shovel Creek","ShCr6","B","3 m","","no",NA,NA,NA,NA,NA
"12","2024-08-03","Teklanika ","Tekl2","A","3 m","","no",NA,NA,NA,NA,NA
"13","2024-07-16","Shovel Creek","ShCr2","C","6 m","","no",NA,NA,NA,NA,NA
"14","2024-07-25","Haystack","Hays5","A","9 m","","no",NA,NA,NA,NA,NA
"15","2024-07-22","Hess Creek","HeCr1","C","3 m","","no",NA,NA,NA,NA,NA
"16","2024-08-02","Teklanika ","Tekl5","A","3 m","","no",NA,NA,NA,NA,NA
"17","2024-08-03","Teklanika ","Tekl1","B","6 m","","no",NA,NA,NA,NA,NA
"18","2024-07-18","Lost Horse","LoHo5","C","9 m","","no",NA,NA,NA,NA,NA
"19","2024-08-04","Munson Creek","MuCr4","A","3 m","","no",NA,NA,NA,NA,NA
"20","2024-07-15","Lost Horse","LoHo1","B","3 m","","no",NA,NA,NA,NA,NA
"21","2024-07-23","Hess Creek","HeCr4","B","3 m","","no",NA,NA,NA,NA,NA
"22","2024-08-01","Munson Creek","MuCr2","C","6 m","","no",NA,NA,NA,NA,NA
"23","2024-08-01","Munson Creek","MuCr3","B","3 m","","no",NA,NA,NA,NA,NA
"24","2024-07-14","Haystack","Hays2","C","3 m","","no",NA,NA,NA,NA,NA
"25","2024-08-05","Dry Creek","DrCr3","A","3 m","","no",NA,NA,NA,NA,NA
"26","2024-08-02","Teklanika ","Tekl5","B","6 m","","no",NA,NA,NA,NA,NA
"27","2024-07-30","Nugget Creek","NuCr2","C","3 m","","no",NA,NA,NA,NA,NA
"28","2024-07-25","Haystack","Hays5","B","6 m","","no",NA,NA,NA,NA,NA
"29","2024-07-30","Nugget Creek","NuCr1","A","3 m","","no",NA,NA,NA,NA,NA
"30","2024-07-16","Shovel Creek","ShCr1","A","3 m","","no",NA,NA,NA,NA,NA
"31","2024-08-03","Teklanika ","Tekl3","C","6 m","","no",NA,NA,NA,NA,NA
"32","2024-07-23","Hess Creek","HeCr6","A","9 m","","no",NA,NA,NA,NA,NA
"33","2024-07-15","Lost Horse","LoHo3","A","3 m","","no",NA,NA,NA,NA,NA
"34","2024-08-01","Munson Creek","MuCr1","B","3 m","","no",NA,NA,NA,NA,NA
"35","2024-07-22","Hess Creek","HeCr1","A","6 m","","no",NA,NA,NA,NA,NA
"36","2024-08-06","Dry Creek","DrCr4","B","6 m","","no",NA,NA,NA,NA,NA
"37","2024-07-29","McCoy Creek","McCr2","B","6 m","","no",NA,NA,NA,NA,NA
"38","2024-08-06","Dry Creek","DrCr6","C","6 m","","no",NA,NA,NA,NA,NA
"39","2024-08-06","Dry Creek","DrCr4","A","3 m","","no",NA,NA,NA,NA,NA
"40","2024-07-28","McCoy Creek","McCr5","A","6 m","","no",NA,NA,NA,NA,NA
"41","2024-08-02","Teklanika ","Tekl6","C","6 m","","no",NA,NA,NA,NA,NA
"42","2024-07-23","Hess Creek","HeCr6","C","3 m","","no",NA,NA,NA,NA,NA
"43","2024-07-15","Lost Horse","LoHo2","B","3 m","","no",NA,NA,NA,NA,NA
"44","2024-08-03","Teklanika ","Tekl3","A","6 m","","no",NA,NA,NA,NA,NA
"45","2024-07-28","McCoy Creek","McCr5","B","3 m","","no",NA,NA,NA,NA,NA
"46","2024-08-04","Munson Creek","MuCr5","A","6 m","","no",NA,NA,NA,NA,NA
"47","2024-08-03","Teklanika ","Tekl1","A","3 m","","no",NA,NA,NA,NA,NA
"48","2024-07-30","Nugget Creek","NuCr2","B","6 m","","no",NA,NA,NA,NA,NA
"49","2024-07-23","Hess Creek","HeCr4","B","9 m","","no",NA,NA,NA,NA,NA
"50","2024-07-14","Haystack","Hays1","C","9 m","","no",NA,NA,NA,NA,NA
"51","2024-08-03","Teklanika ","Tekl2","B","6 m","","no",NA,NA,NA,NA,NA
"52","2024-07-15","Lost Horse","LoHo3","C","3 m","","no",NA,NA,NA,NA,NA
"53","2024-07-30","Nugget Creek","NuCr3","B","3 m","","no",NA,NA,NA,NA,NA
"54","2024-07-18","Lost Horse","LoHo6","B","3 m","","no",NA,NA,NA,NA,NA
"55","2024-07-25","Haystack","Hays6","A","6 m","","no",NA,NA,NA,NA,NA
