"","date","project","fire_scar","site","plot","location","site_notes","seedlings_present","species","seedling_count","bd1","bd2","bd3"
"1","2024-08-02","CCE","Teklanika ","Tekl6","A","6 m","","no",NA,NA,NA,NA,NA
"2","2024-08-06","CCE","Dry Creek","DrCr4","C","3 m","","no",NA,NA,NA,NA,NA
"3","2024-07-14","CCE","Haystack","Hays1","A","9 m","","no",NA,NA,NA,NA,NA
"4","2024-07-18","CCE","Lost Horse","LoHo6","C","3 m","","no",NA,NA,NA,NA,NA
"5","2024-07-31","CCE","Nugget Creek","NuCr4","A","3 m","","yes","birch",7,0.04,0.01,0.01
"6","2024-08-03","CCE","Teklanika ","Tekl3","C","3 m","","yes","black spruce",1,0.03,NA,NA
"7","2024-07-29","CCE","McCoy Creek","McCr6","A","6 m","","no",NA,NA,NA,NA,NA
"8","2024-07-28","CCE","McCoy Creek","McCr1","C","6 m","","yes","black spruce",2,0.01,0.01,0.01
"9","2024-08-05","CCE","Dry Creek","DrCr2","B","3 m","","yes","black spruce",4,0.03,0.02,0.02
"10","2024-07-31","CCE","Nugget Creek","NuCr6","C","3 m","","no",NA,NA,NA,NA,NA
"11","2024-07-17","CCE","Shovel Creek","ShCr6","B","3 m","","no",NA,NA,NA,NA,NA
"12","2024-08-03","CCE","Teklanika ","Tekl2","A","3 m","","yes","birch",1,0.08,NA,NA
"13","2024-07-16","CCE","Shovel Creek","ShCr2","C","6 m","","no",NA,NA,NA,NA,NA
"14","2024-07-25","CCE","Haystack","Hays5","A","9 m","","no",NA,NA,NA,NA,NA
"15","2024-07-22","CCE","Hess Creek","HeCr1","C","3 m","","no",NA,NA,NA,NA,NA
"16","2024-08-02","CCE","Teklanika ","Tekl5","A","3 m","","no",NA,NA,NA,NA,NA
"17","2024-08-03","CCE","Teklanika ","Tekl1","B","6 m","","no",NA,NA,NA,NA,NA
"18","2024-07-18","CCE","Lost Horse","LoHo5","C","9 m","","no",NA,NA,NA,NA,NA
"19","2024-08-04","CCE","Munson Creek","MuCr4","A","3 m","","yes","black spruce",3,0.08,0.07,0.05
"20","2024-07-15","CCE","Lost Horse","LoHo1","B","3 m","","no",NA,NA,NA,NA,NA
"21","2024-07-23","CCE","Hess Creek","HeCr4","B","3 m","","yes","black spruce",1,0.01,NA,NA
"22","2024-07-23","CCE","Hess Creek","HeCr4","B","3 m","","yes","birch",1,0.01,NA,NA
"23","2024-08-01","CCE","Munson Creek","MuCr2","C","6 m","","yes","black spruce",2,0.16,0.09,NA
"24","2024-08-01","CCE","Munson Creek","MuCr2","C","6 m","","yes","birch",1,0.11,NA,NA
"25","2024-08-01","CCE","Munson Creek","MuCr3","B","3 m","","yes","birch",1,0.11,NA,NA
"26","2024-07-14","CCE","Haystack","Hays2","C","3 m","","no",NA,NA,NA,NA,NA
"27","2024-08-05","CCE","Dry Creek","DrCr3","A","3 m","","yes","black spruce",1,0.03,NA,NA
"28","2024-08-02","CCE","Teklanika ","Tekl5","B","6 m","","no",NA,NA,NA,NA,NA
"29","2024-07-30","CCE","Nugget Creek","NuCr2","C","3 m","","no",NA,NA,NA,NA,NA
"30","2024-07-25","CCE","Haystack","Hays5","B","6 m","","no",NA,NA,NA,NA,NA
"31","2024-07-30","CCE","Nugget Creek","NuCr1","A","3 m","","yes","black spruce",3,0.2,0.15,0.14
"32","2024-07-30","CCE","Nugget Creek","NuCr1","A","3 m","","yes","birch",2,0.04,0.05,NA
"33","2024-07-16","CCE","Shovel Creek","ShCr1","A","3 m","","yes","black spruce",15,0.09,0.01,0.06
"34","2024-07-16","CCE","Shovel Creek","ShCr1","A","3 m","","yes","birch",1,0.01,NA,NA
"35","2024-08-03","CCE","Teklanika ","Tekl3","C","6 m","","no",NA,NA,NA,NA,NA
"36","2024-07-23","CCE","Hess Creek","HeCr6","A","9 m","","yes","black spruce",2,1.26,1.08,NA
"37","2024-07-15","CCE","Lost Horse","LoHo3","A","3 m","","no",NA,NA,NA,NA,NA
"38","2024-08-01","CCE","Munson Creek","MuCr1","B","3 m","","no",NA,NA,NA,NA,NA
"39","2024-07-22","CCE","Hess Creek","HeCr1","A","6 m","","no",NA,NA,NA,NA,NA
"40","2024-08-06","CCE","Dry Creek","DrCr4","B","6 m","","no",NA,NA,NA,NA,NA
"41","2024-07-29","CCE","McCoy Creek","McCr2","B","6 m","","yes","black spruce",1,0.01,NA,NA
"42","2024-08-06","CCE","Dry Creek","DrCr6","C","6 m","","no",NA,NA,NA,NA,NA
"43","2024-08-06","CCE","Dry Creek","DrCr4","A","3 m","","no",NA,NA,NA,NA,NA
"44","2024-07-28","CCE","McCoy Creek","McCr5","A","6 m","","yes","black spruce",1,0.02,NA,NA
"45","2024-08-02","CCE","Teklanika ","Tekl6","C","6 m","","no",NA,NA,NA,NA,NA
"46","2024-07-23","CCE","Hess Creek","HeCr6","C","3 m","","yes","birch",1,0.01,NA,NA
"47","2024-07-23","CCE","Hess Creek","HeCr6","C","3 m","","yes","black spruce",6,0.13,0.09,0.09
"48","2024-07-15","CCE","Lost Horse","LoHo2","B","3 m","","no",NA,NA,NA,NA,NA
"49","2024-08-03","CCE","Teklanika ","Tekl3","A","6 m","","yes","black spruce",1,0.03,NA,NA
"50","2024-07-28","CCE","McCoy Creek","McCr5","B","3 m","","yes","black spruce",1,0.03,NA,NA
"51","2024-08-04","CCE","Munson Creek","MuCr5","A","6 m","","no",NA,NA,NA,NA,NA
"52","2024-08-03","CCE","Teklanika ","Tekl1","A","3 m","","no",NA,NA,NA,NA,NA
"53","2024-07-30","CCE","Nugget Creek","NuCr2","B","6 m","","yes","black spruce",1,0.05,NA,NA
"54","2024-07-23","CCE","Hess Creek","HeCr4","B","9 m","","yes","birch",4,0.01,0.01,0.1
"55","2024-07-23","CCE","Hess Creek","HeCr4","B","9 m","","yes","aspen",1,0.11,NA,NA
"56","2024-07-23","CCE","Hess Creek","HeCr4","B","9 m","","yes","black spruce",7,0.1,0.1,0.09
"57","2024-07-14","CCE","Haystack","Hays1","C","9 m","","no",NA,NA,NA,NA,NA
"58","2024-08-03","CCE","Teklanika ","Tekl2","B","6 m","","no",NA,NA,NA,NA,NA
"59","2024-07-15","CCE","Lost Horse","LoHo3","C","3 m","","no",NA,NA,NA,NA,NA
"60","2024-07-30","CCE","Nugget Creek","NuCr3","B","3 m","","yes","black spruce",21,0.22,0.16,0.29
"61","2024-07-30","CCE","Nugget Creek","NuCr3","B","3 m","","yes","birch",3,0.13,1.04,0.12
"62","2024-07-18","CCE","Lost Horse","LoHo6","B","3 m","","no",NA,NA,NA,NA,NA
"63","2024-07-25","CCE","Haystack","Hays6","A","6 m","","no",NA,NA,NA,NA,NA
"64","2024-07-15","CCE","Lost Horse","LoHo2","B","9 m","","no",NA,NA,NA,NA,NA
"65","2024-07-14","CCE","Haystack","Hays2","B","3 m","","no",NA,NA,NA,NA,NA
"66","2024-07-17","CCE","Shovel Creek","ShCr6","B","6 m","","no",NA,NA,NA,NA,NA
"67","2024-07-22","CCE","Hess Creek","HeCr2","C","9 m","","no",NA,NA,NA,NA,NA
"68","2024-07-22","CCE","Hess Creek","HeCr1","B","3 m","","yes","black spruce",8,0.14,0.08,0.1
"69","2024-07-22","CCE","Hess Creek","HeCr1","B","3 m","","yes","birch",1,0.16,NA,NA
"70","2024-07-31","CCE","Nugget Creek","NuCr4","A","6 m","","yes","black spruce",4,0.19,0.13,0.07
"71","2024-07-28","CCE","McCoy Creek","McCr4","A","6 m","","yes","birch",1,0.01,NA,NA
"72","2024-08-06","CCE","Dry Creek","DrCr5","B","6 m","","no",NA,NA,NA,NA,NA
"73","2024-08-06","CCE","Dry Creek","DrCr5","C","3 m","","no",NA,NA,NA,NA,NA
"74","2024-07-25","CCE","Haystack","Hays4","C","6 m","","no",NA,NA,NA,NA,NA
"75","2024-07-15","CCE","Lost Horse","LoHo1","B","9 m","","no",NA,NA,NA,NA,NA
"76","2024-08-02","CCE","Teklanika ","Tekl6","A","3 m","","no",NA,NA,NA,NA,NA
"77","2024-07-18","CCE","Lost Horse","LoHo6","A","9 m","","no",NA,NA,NA,NA,NA
"78","2024-07-14","CCE","Haystack","Hays2","A","6 m","","no",NA,NA,NA,NA,NA
"79","2024-07-25","CCE","Haystack","Hays4","B","6 m","","no",NA,NA,NA,NA,NA
"80","2024-07-30","CCE","Nugget Creek","NuCr3","B","6 m","","yes","black spruce",21,0.42,0.48,0.14
"81","2024-07-30","CCE","Nugget Creek","NuCr3","B","6 m","","yes","birch",7,0.44,0.73,0.19
"82","2024-07-31","CCE","Nugget Creek","NuCr5","A","6 m","","no",NA,NA,NA,NA,NA
"83","2024-07-16","CCE","Shovel Creek","ShCr3","C","6 m","","yes","black spruce",2,0.04,0.05,NA
"84","2024-08-07","CCE","McCoy Creek","McCr3","A","6 m","","yes","birch",4,0.01,0.01,0.02
"85","2024-08-07","CCE","McCoy Creek","McCr3","A","6 m","","yes","black spruce",2,0.01,0.02,NA
"86","2024-07-23","CCE","Hess Creek","HeCr6","B","6 m","","yes","black spruce",5,0.14,0.04,0.03
"87","2024-07-18","CCE","Lost Horse","LoHo6","A","3 m","","no",NA,NA,NA,NA,NA
