"","date","project","fire_scar","site","plot","location","site_notes","shrub_regen_present","shrub_regen_species","shrub_regen_count","shrub_notes","s_bd1","s_bd2","s_bd3"
"1","2024-08-02","CCE","Teklanika ","Tekl6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"2","2024-08-06","CCE","Dry Creek","DrCr4","C","3 m","","no",NA,NA,NA,NA,NA,NA
"3","2024-07-14","CCE","Haystack","Hays1","A","9 m","","no",NA,NA,NA,NA,NA,NA
"4","2024-07-18","CCE","Lost Horse","LoHo6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"5","2024-07-31","CCE","Nugget Creek","NuCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"6","2024-08-03","CCE","Teklanika ","Tekl3","C","3 m","","yes","Salix",6,"",0.21,0.15,0.23
"7","2024-08-03","CCE","Teklanika ","Tekl3","C","3 m","","yes","Salix",2,"",0.51,0.32,NA
"8","2024-08-03","CCE","Teklanika ","Tekl3","C","3 m","","yes","Salix",2,"",0.09,0.17,NA
"9","2024-07-29","CCE","McCoy Creek","McCr6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"10","2024-07-28","CCE","McCoy Creek","McCr1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"11","2024-08-05","CCE","Dry Creek","DrCr2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"12","2024-07-31","CCE","Nugget Creek","NuCr6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"13","2024-07-17","CCE","Shovel Creek","ShCr6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"14","2024-08-03","CCE","Teklanika ","Tekl2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"15","2024-07-16","CCE","Shovel Creek","ShCr2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"16","2024-07-25","CCE","Haystack","Hays5","A","9 m","","no",NA,NA,NA,NA,NA,NA
"17","2024-07-22","CCE","Hess Creek","HeCr1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"18","2024-08-02","CCE","Teklanika ","Tekl5","A","3 m","","yes","Salix",12,"",0.29,0.27,0.4
"19","2024-08-02","CCE","Teklanika ","Tekl5","A","3 m","","yes","Salix",2,"",0.25,0.13,NA
"20","2024-08-03","CCE","Teklanika ","Tekl1","B","6 m","","yes","Salix",15,"",0.12,0.15,0.11
"21","2024-08-03","CCE","Teklanika ","Tekl1","B","6 m","","yes","Salix",5,"",0.19,0.17,0.14
"22","2024-08-03","CCE","Teklanika ","Tekl1","B","6 m","","yes","Salix",14,"",0.16,0.17,0.14
"23","2024-07-18","CCE","Lost Horse","LoHo5","C","9 m","","yes","Salix",5,"",0.58,0.51,0.34
"24","2024-08-04","CCE","Munson Creek","MuCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"25","2024-07-15","CCE","Lost Horse","LoHo1","B","3 m","","no",NA,NA,NA,NA,NA,NA
"26","2024-07-23","CCE","Hess Creek","HeCr4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"27","2024-08-01","CCE","Munson Creek","MuCr2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"28","2024-08-01","CCE","Munson Creek","MuCr3","B","3 m","","no",NA,NA,NA,NA,NA,NA
"29","2024-07-14","CCE","Haystack","Hays2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"30","2024-08-05","CCE","Dry Creek","DrCr3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"31","2024-08-02","CCE","Teklanika ","Tekl5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"32","2024-07-30","CCE","Nugget Creek","NuCr2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"33","2024-07-25","CCE","Haystack","Hays5","B","6 m","","no",NA,NA,NA,NA,NA,NA
