"","project","date","fire_scar","site","plot","disk_label","disk_species","disk_sample_diameter","disk_height","disk_notes"
"1","CCE","2024-07-14","Haystack","Hays1","A","CCE HAYS 1A","black spruce",12.7,11,""
"2","CCE","2024-07-14","Haystack","Hays1","B","CCE Hays1b ","black spruce",18,10,""
"3","CCE","2024-07-14","Haystack","Hays1","C","CCE hays1c","black spruce",10.6,11,""
"4","CCE","2024-07-14","Haystack","Hays2","A","CCE Hays2a","black spruce",11,14,""
"5","CCE","2024-07-14","Haystack","Hays2","B","Hays2b","black spruce",13.2,11.5,""
"6","CCE","2024-07-14","Haystack","Hays2","C","HAYS2C","black spruce",9.1,5,""
"7","CCE","2024-07-14","Haystack","Hays3","A","CCE Hays3a ","black spruce",13.5,12,"Good luck sanding this one, isabel!"
"8","CCE","2024-07-14","Haystack","Hays3","B","CC HAYS 3B","black spruce",11.4,2.5,""
"9","CCE","2024-07-14","Haystack","Hays3","C","CCE HAYS 3C","black spruce",9.6,10,""
"10","CCE","2024-07-15","Lost Horse","LoHo2","B","CCE LoHo 2B","black spruce",10,9,""
"11","CCE","2024-07-15","Lost Horse","LoHo2","A","CCE LoHo 2A ","black spruce",9.9,5.5,""
"12","CCE","2024-07-15","Lost Horse","LoHo2","C","CCE LoHo 2C ","black spruce",10.3,8.5,""
"13","CCE","2024-07-15","Lost Horse","LoHo1","B","LoHo1B ","black spruce",13.1,8,""
"14","CCE","2024-07-15","Lost Horse","LoHo1","C","CCE LoHo 1C","black spruce",13.8,3,""
"15","CCE","2024-07-15","Lost Horse","LoHo1","A","CCE LoHo 1A","black spruce",13.2,5,""
"16","CCE","2024-07-18","Lot Horse","LoHo4","A","LoHo4 CCE A 7.18.2024","black spruce",14.1,7,""
"17","CCE","2024-07-18","Lost Horse","LoHo4","C","LoHo4 CCE C 7.18.2024","black spruce",13,8,""
"18","CCE","2024-07-18","Lot Horse","LoHo4","B","LoHo4 CCE B 7.18.2024","black spruce",16.4,11,""
"19","CCE","2024-07-18","Lost Horse","LoHo5","A","LoHo5 CCE 7/18/24 A","black spruce",15.9,5.5,""
"20","CCE","2024-07-18","Lost Horse","LoHo5","B","LoHo5 CCE 7/18/24 B","black spruce",10.4,7.5,""
"21","CCE","2024-07-18","Lost Horse","LoHo5","C","LoHo5 CCE 7/18/24 C","black spruce",11.3,6,""
"22","CCE","2024-07-18","Lost Horse","LoHo6","A","LoHo6 CCE 7/18/24 A","black spruce",11.9,5.5,""
"23","CCE","2024-07-18","Lost Horse","LoHo6","B","LoHo6 CCE 7/18/24 B","black spruce",12.5,7.5,""
"24","CCE","2024-07-18","Lost Horse","LoHo6","C","LoHo6 CCE 7/18/24 C","black spruce",16.4,8.5,""
"25","CCE","2024-07-25","Haystack","Hays4","A","Hays4A","black spruce",15,4.5,""
"26","CCE","2024-07-25","Haystack","Hays4","C","Hays4C","black spruce",12.6,8.5,""
"27","CCE","2024-07-25","Haystack","Hays4","B","Hays4B","black spruce",11.5,4,""
