"","project","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","livedead","tree_notes"
"1","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",0.6,NA,NA,0,0,0,0,"dead",""
"2","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,1.1,NA,0,0,0,0,"dead",""
"3","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.1,NA,NA,0,0,0,0,"dead",""
"4","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,1.1,NA,50,25,0,0,"dead",""
"5","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",0.4,NA,NA,0,0,0,0,"dead",""
"6","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.9,NA,25,50,50,25,0,"dead",""
"7","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,2,NA,100,100,75,0,"dead",""
"8","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.1,NA,NA,0,0,0,0,"dead",""
"9","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",2.3,NA,75,75,75,50,0,"dead",""
"10","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","yes",8.7,NA,NA,NA,NA,NA,50,"dead",""
"11","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",5.4,NA,25,50,25,0,0,"dead",""
"12","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,2.1,NA,75,75,75,0,"dead",""
"13","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",NA,0.9,NA,100,100,100,0,"dead",""
"14","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",1.2,NA,NA,100,100,75,0,"dead",""
"15","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",7.9,NA,0,50,50,25,0,"dead",""
"16","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",5.7,NA,25,25,0,0,0,"dead",""
"17","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce","yes","no",2.6,NA,0,75,75,50,0,"dead",""
"18","CCE","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",6.7,NA,100,100,100,75,0,"dead",""
"19","CCE","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",NA,1.6,NA,100,100,100,0,"dead",""
"20","CCE","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",11.2,NA,75,100,100,100,0,"dead",""
"21","CCE","2024-08-03","Teklanika","Tekl2","B","black spruce","no","no",5.4,NA,100,100,100,75,0,"dead",""
"22","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",1,NA,NA,100,100,100,0,"dead",""
"23","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",0.8,NA,NA,100,100,75,0,"dead",""
"24","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.4,NA,100,100,100,0,"dead",""
"25","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,NA,0,75,75,50,0,"dead",""
"26","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",1.5,NA,25,75,75,75,0,"dead",""
"27","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","no","no",NA,1.6,NA,100,100,100,0,"dead",""
"28","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,2,NA,100,100,100,0,"dead",""
"29","CCE","2024-08-07","McCoy Creek","McCr3","B","black spruce","yes","no",NA,2.8,100,75,75,75,0,"dead",""
