,site,date,fire_scar,past_site_name_site_removed,latitude_at_0m,longitude_at_0m,latitude_at_30m,longitude_at_30m,elevation,slope,aspect,transect_orientation,severity,ground_severity,moisture_class,pre_fire_vegetation,site_notes,site_photo_start,site_photo_end
1,ISOM1,8/8/2025,Isom,1,65.84866,-149.61816,65.84863,-149.61877,397,9,352,262,2,2,mesic,Black spruce high density medium productivity ,Site is upland. Couldn’t find original stake. Did our best to reconstruct the line. Site had little spruce and deciduous regen. Some permafrost was present from 60 to 90. Organic layer was was moderate at 10 to 20 cm. No mineral exposed. Lots of grass and willow. ,bacdec26-1549-466a-ab9c-78a24fe8ef5c,39a3e21b-7a1f-4e71-806b-7d83d1aa0e2e
2,ISOM3,8/8/2025,Isom,70,65.8351,-149.63315,65.83483,-149.63335,365,1,283,193,2,2,mesic,Black spruce high density low productivity ,Site looked to be moderate severity with unburned trees surrounding. Organic soil depth was between 10-20 cm. No exposed mineral. Permafrost was only present in plot A. Little to spruce or deciduous regen. Some salix and betula shrub regen. ,cfad2290-965a-4c81-b1eb-38667a5e78ea,531d73ce-4a52-4ac5-9ac6-a7f26bbae1d0
3,ISOM4,8/8/2025,Isom,71,65.83628,-149.63411,65.83607,-149.63454,365,1,315,225,1,1,mesic-subhygric,Black spruce high density low productivity ,Site was up land away from the pond. Permafrost was present but only on the first half of the transect.. patchy burning created areas with thick SOL up to 30+. Where in other areas it was 15 or less. Live sphagnum were present. Little to no spruce / deciduous regen. Mostly willow and db betula shrub regen,7bb34978-852c-42f2-bcfd-5ec57b92e267,77a4c853-38b8-47fc-b1e5-1b172a47bfcb
4,ISOM5,8/8/2025,Isom,72,65.835653,-149.628606,65.83566,-149.62859,383,2,0,360,2,2,mesic-subhygric,Black spruce high density medium productivity ,Found old stake for site. Medium severity site. Site had moderate organic at about 20 cm. Permafrost was present at about 60 to 100 cm. No mineral was exposed. No spruce or deciduous regen. Mostly salix and betula shrub. ,e172757e-622d-459d-b19e-03f6684369ab,09129c46-e078-4673-9389-6d784b9ae883
5,ISOM2,8/8/2025,Isom,2,65.84934,-149.61356,65.8438,-149.61424,383,11,15,285,2,2,mesic,Black spruce medium density and productivity ,Site is on north facing slope. With live unburned trees surrounding the site. No permafrost only rock hits. SOL was thick at 20 to 40 cm. Live sphagnum hummocks were present. No exposed mineral. Little to no spruce or deciduous regen. Lots of grass and deciduous shrub regen. ,a5fde0de-b1ee-4cb2-8f3e-c7f63e7383e2,c5cc33b4-93da-4a26-8b77-0e8304da05c6
6,TROU5,8/5/2025,Troublesome,,65.47419,-149.76332,65.47419,-149.76395,624,23,358,268,1,1,mesic-subhygric,Black spruce low density medium productivity ,"Site is on a north facing slope. Steep slope! Permafrost was present. Organic layer is think with live sphagnum hummocks present. Low severity site with some deeper burning around trees. Some spruce regen. Mostly betula shrub, alder and willow regen.",260194b5-e641-4fea-8072-4c04a11662b7,724e32f3-e6b1-4492-acb0-ee6b6ed04435
7,TROU4,8/5/2025,Troublesome,,65.47358,-149.76372,65.47373,-149.76379,627,6,90,360,1,1,mesic,Black spruce stand medium productivity and density ,Site is on NE facing slope. Permafrost is present. Site has think organic with mineral under. Deeper patchy burning in spots especially around trees. Live moss present. Site is surrounded by live tree on the SW side. Some spruce and birch regen with Betula and salix shrub regen as well.,989028a3-c6ad-46be-9054-b64f175abc5a,344e6e4a-81b0-457f-bb49-251a98e9cf89
8,YUCR4,8/4/2025,Yukon Creek,,64.65035,-145.92274,64.65025,-145.92223,493,10,188,98,3,3,subxeric,Black spruce stand low density medium productivity but all hard to tell given that all trees have fallen,"Site on south facing slope. High severity dry site. Permafrost was not present. Very shallow organic around 1 to 3 cm. Mineral exposed. Lots of birch regen with some aspen and spruce. 
*Note about tree inventory 
All trees fallen. Most roots not visible, either burnt or is just coarse woody. For inventory combustion, measured only trees with visible roots within 2m belt and skipped rest. AR length difficult to get for many fallen trees. Bark burnt away and little evidence of advantageous roots. Recorded any visible root.",38849645-5ae3-4125-aef3-3f345faaba37,3ed6d7c1-b95b-4ebb-9d39-a4e454416f88
9,TROU2,8/2/2025,Troublesome,,65.47054,-149.7621,65.47082,-149.76207,624,15,88.5,358.5,2,2,subxeric,Black spruce low density medium productivity ,"Site is on east facing slope surrounded by unburned spruce. So,emwhite spruce are surrounding the site. Had a difficult time determining severity. Group agreed it was medium severity. No permafrost. Organic depth was between 10 and 20. Very little spruce regen. Saw no deciduous regen. Mostly salix and betula shrub. ",b727ae57-cbf5-40c9-988d-2cacbf0ca285,40acdfa9-a351-4535-a7e0-d2ac210212a6
10,TROU1,8/2/2025,Troublesome,,65.47184,-149.76488,65.47208,-149.76469,651,10,129,39,3,3,mesic-subxeric,Black spruce medium productivity and density with some white spruce present ,"Moved site about 10 m from orginal random point to avoid white spruce trees. Site is on SE facing slope. Permafrost was not present. Rocky site. Organic layer was shallow. Under 15cm for all depths. High severity site with mostly colonizing mosses. No sprce or deciduous regen but so,eh betula shrub and salix was present.",68f86480-6245-44b6-ad84-992d0228a02a,0e972f5c-1a21-4215-99d0-689cf14002cc
