fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,species_,species__other,seedling_count,seedling_notes,bd1,bd2,bd3
2a9637d4-a736-4325-99d5-fbd02740f14f,e942b4a3-a180-4e3f-8c06-df01e224c7cc,e942b4a3-a180-4e3f-8c06-df01e224c7cc,2,2024-07-15 00:21:15 UTC,2024-07-15 00:21:47 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,1,,0.01,,
57761fa9-a114-4112-b246-612c82754267,ca098c09-aca9-402b-a711-89b4241b8aca,ca098c09-aca9-402b-a711-89b4241b8aca,2,2024-07-16 18:51:01 UTC,2024-07-16 18:51:09 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,1,,0.02,,
c3710421-911b-467f-9c6b-72f833560cfd,7b57ce8b-4319-4a5f-a492-266695b3b169,7b57ce8b-4319-4a5f-a492-266695b3b169,2,2024-07-16 18:35:27 UTC,2024-07-16 18:41:36 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,3,,0.1,0.05,0.05
f90eacd5-68bc-4e37-8bb2-2df75d63e05b,ac658f55-7942-4770-8c1e-c4ed0b1f900e,ac658f55-7942-4770-8c1e-c4ed0b1f900e,2,2024-07-16 18:59:21 UTC,2024-07-16 18:59:48 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,2,,0.05,0.05,
f4a7a372-9c84-4a9c-86f1-dc01a4b23b05,3ea8df41-c390-42db-94d9-0d6b00e28bb6,3ea8df41-c390-42db-94d9-0d6b00e28bb6,2,2024-07-16 20:02:31 UTC,2024-07-16 20:03:18 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,birch,,7,,0.2,0.2,0.01
6038b1a4-51d3-44a0-9cef-db75433992e4,3ea8df41-c390-42db-94d9-0d6b00e28bb6,3ea8df41-c390-42db-94d9-0d6b00e28bb6,2,2024-07-16 20:03:20 UTC,2024-07-16 20:03:35 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,aspen,,1,,0.1,,
364e59d6-420e-414e-8c7c-f436ee71bf00,3ea8df41-c390-42db-94d9-0d6b00e28bb6,3ea8df41-c390-42db-94d9-0d6b00e28bb6,2,2024-07-16 20:03:37 UTC,2024-07-16 20:04:55 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,10,,0.2,0.15,0.1
a709ddec-7bff-434e-98f9-e991f9aa5371,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,2,2024-07-16 20:16:40 UTC,2024-07-16 20:16:50 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,aspen,,1,,0.2,,
823b6133-6a64-46be-bcab-159e4593b209,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,2,2024-07-16 20:16:51 UTC,2024-07-16 20:18:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,birch,,4,,0.01,0.25,0.01
24e0199e-6aa6-4464-a5c3-f143a1dbca36,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,b90bc14e-6228-4fbf-a34b-9c446c66a3e4,2,2024-07-16 20:18:06 UTC,2024-07-16 20:19:09 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,5,,0.01,0.02,0.01
