"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"1","CCE","2024-07-25","Haystack","Hays5","A",NA,8,"Mineral,Rock",38,"Rock",7.5,"Mineral",5.5,4,3,"yes","Hays5A",7.5,8,11.5,11,12.5,13.5,"1 cm rock removed between organic and mineral",3,0,"Core","Rock beneath 3 cm unable to remove","",""
"2","CCE","2024-07-25","Haystack","Hays5","A",NA,0.5,"Mineral",65,"Rock",5,"Mineral",2,3.5,6,"no","",NA,NA,NA,NA,NA,NA,"Small amount of litter, then ash and mineral",NA,NA,NA,"","",""
"3","CCE","2024-07-25","Haystack","Hays5","A",NA,13.5,"Rock",50,"Rock",11.5,"Mineral",2.5,5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"4","CCE","2024-07-14","Haystack","Hays1","A",NA,5,"Mineral",82,"Ice",5.5,"Mineral",7.5,5,10,"yes","Hays1A",4,6,10,10,12,11,"",6,0,"Core","Top=0-6 cm no M2 gravel","",""
"5","CCE","2024-07-14","Haystack","Hays1","A",NA,11.5,"Mineral",100,"Ice",10.5,"Mineral",5.5,10,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"6","CCE","2024-07-16","Shovel Creek","ShCr3","A",NA,3.5,"Mineral",12,"Mineral",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"7","CCE","2024-07-16","Shovel Creek","ShCr3","A",NA,12.5,"Mineral",12.4,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"8","CCE","2024-07-16","Shovel Creek","ShCr3","A",NA,5,"Mineral",26,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"9","CCE","2024-08-01","Munson Creek","MuCr2","A",0.1,11,"Mineral",18,"Rock",10,"Rock",18,16,20,"yes","MuCr2A",9.5,8,11,11,11,10,"Bottom uneven due to rocks",0,0,NA,"No mineral. Pure rock under organic","","0f9bcacd-1611-47ba-8a96-a176b57eeb4f,59a4a4d3-127c-4dcc-8594-7b99bf2df5ed"
"10","CCE","2024-08-01","Munson Creek","MuCr2","A",0,9.5,"Rock",18,"Rock",28,"Rock",11,7,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
