fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,fire_scar,site,site_remove,additional_species_list,additional_species_list_other,additional_species_notes,photos,photos_caption,photos_url,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
5b251bf9-6ee8-4cdb-941c-6ce6c1e25380,2024-07-14 23:03:28 UTC,2024-07-23 23:17:46 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:39 UTC,2024-07-24 03:25:16 UTC,3,,,,,,,Haystack,Hays2,2,,Carex spp,,,,,,,,,
f5ee518f-adc9-4440-be7b-52aa1c3285b9,2024-07-15 05:16:37 UTC,2024-07-23 23:18:08 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:56 UTC,2024-07-24 03:25:17 UTC,3,,,,,,,Haystack,Hays1,1,,NA,Forgot to do this in site 1,,,,,,,,
49cbb48c-06e4-49b3-9f3a-be57c42d4aa1,2024-07-15 05:16:23 UTC,2024-07-23 23:17:55 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:59 UTC,2024-07-24 03:25:16 UTC,3,,,,,,,Haystack,Hays3,3,"Empetrum nigrum,Linnaea borealis",,,,,,,,,,
f6360eb6-a887-4536-9fb3-daff8c95a01f,2024-07-15 05:15:30 UTC,2024-07-17 06:32:23 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:19:03 UTC,2024-07-17 06:32:25 UTC,2,,,,,,,Haystack,Hays3,3,Linnaea borealis,,,,,,,,,,
7b6e907f-1879-4a5f-bf5b-f38046a8661f,2024-07-15 21:53:38 UTC,2024-07-17 06:32:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:27 UTC,2024-07-17 06:32:55 UTC,2,,,,,,,Lost horse,Loho1,1,Salix spp,,,,,,,,,,
32108029-50e9-447e-9f3f-26205ec9930b,2024-07-15 23:09:12 UTC,2024-07-17 06:33:00 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:23 UTC,2024-07-17 06:33:04 UTC,2,,,,,,,LoHo,Loho2,2,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],,,,,,,,,,
d4ac489c-da23-42de-b3cb-afd654b64c93,2024-07-15 23:17:35 UTC,2024-07-17 06:33:10 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:23 UTC,2024-07-17 06:33:16 UTC,2,,,,,,,Lost horse,Loho1,1,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],,,,,,,,,,
e19c484a-180b-47e1-8974-28ac51bffbff,2024-07-16 00:27:51 UTC,2024-07-25 01:07:20 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:24 UTC,2024-07-25 01:07:21 UTC,3,,,,,,,Lost horse,LoHo3,3,Betula nana,,,,,,,,,,
a627c502-ae69-40d7-918d-ccb494a7d2a8,2024-07-16 04:55:45 UTC,2024-07-17 19:25:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:32 UTC,2024-07-18 05:42:28 UTC,3,,,,,,,Lost horse,LoHo3,3,,,Merchantia,,,,,,,,
a8c3c31f-8911-4f33-b3f6-b5a4bbdb70c1,2024-07-16 04:55:34 UTC,2024-07-16 04:55:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:35 UTC,2024-07-16 04:57:35 UTC,1,,,,,,,Lost horse,,3,Epilobium angustifolium [Chamerion angustifolium],,,,,,,,,,
