date,fire_scar,site,plot,count_1_hr,X1_hr_fuel_notes,count_10_hr,X10_hr_fuel_notes,count_100_hr,X100_hr_fuel_notes,count_1000_hr,X1000_hr_fuel_notes
7/21/2025,Aggie,AGCR1,A,0,NA,0,NA,8,NA,0,NA
7/21/2025,Aggie,AGCR1,B,12,NA,7,NA,5,NA,0,NA
7/21/2025,Aggie,AGCR1,C,7,NA,4,NA,9,NA,0,NA
7/21/2025,Aggie,AGCR2,A,0,NA,0,NA,1,NA,0,NA
7/21/2025,Aggie,AGCR2,B,5,NA,2,NA,4,NA,0,NA
7/21/2025,Aggie,AGCR2,C,6,NA,3,NA,2,NA,2,NA
7/21/2025,Aggie,AGCR3,A,7,NA,1,NA,1,NA,0,NA
7/21/2025,Aggie,AGCR3,B,2,NA,3,NA,3,NA,2,NA
7/21/2025,Aggie,AGCR3,C,18,NA,3,NA,3,NA,0,NA
7/22/2025,Aggie,AGCR4,A,10,NA,3,NA,4,NA,0,NA
7/22/2025,Aggie,AGCR4,B,0,NA,0,NA,2,NA,0,NA
7/22/2025,Aggie,AGCR4,C,0,NA,0,NA,2,NA,0,NA
7/22/2025,Aggie,AGCR5,A,1,NA,1,NA,3,NA,0,NA
7/22/2025,Aggie,AGCR5,B,0,NA,0,NA,4,NA,0,NA
7/22/2025,Aggie,AGCR5,C,0,NA,0,NA,4,NA,0,NA
7/22/2025,Aggie,AGCR6,A,12,NA,1,NA,9,NA,0,NA
7/22/2025,Aggie,AGCR6,B,13,NA,2,NA,4,NA,1,NA
7/22/2025,Aggie,AGCR6,C,21,NA,2,NA,3,NA,0,NA
8/3/2025,Chitanana,CHIT1,A,1,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT1,B,2,NA,2,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT1,C,2,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT3,A,0,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT3,B,0,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT3,C,0,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT4,A,2,NA,0,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT4,B,2,NA,1,NA,0,NA,0,NA
8/3/2025,Chitanana,CHIT4,C,2,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB1,A,2,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB1,B,5,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB1,C,5,NA,0,NA,2,NA,0,NA
7/31/2025,Globe,GLOB2,A,1,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB2,B,0,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB2,C,1,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB3,A,8,NA,0,NA,1,NA,0,NA
7/31/2025,Globe,GLOB3,B,3,NA,0,NA,0,NA,0,NA
7/31/2025,Globe,GLOB3,C,4,NA,0,NA,0,NA,0,NA
7/23/2025,Globe,GLOB4,A,3,NA,1,NA,5,NA,7,NA
7/23/2025,Globe,GLOB4,B,0,NA,0,NA,4,NA,0,NA
7/23/2025,Globe,GLOB4,C,2,NA,0,NA,4,NA,0,NA
7/23/2025,Globe,GLOB5 ,A,0,NA,0,NA,4,NA,0,NA
7/23/2025,Globe,GLOB5 ,B,0,NA,0,NA,3,NA,0,NA
7/23/2025,Globe,GLOB5 ,C,1,NA,0,NA,2,NA,1,NA
7/23/2025,Globe,GLOB6,A,0,NA,0,NA,13,NA,10,NA
7/23/2025,Globe,GLOB6,B,10,NA,3,NA,8,NA,9,NA
7/23/2025,Globe,GLOB6,C,0,NA,0,NA,2,NA,5,NA
8/8/2025,Isom,ISOM1,A,1,NA,2,NA,0,NA,0,NA
8/8/2025,Isom,ISOM1,B,0,NA,2,NA,1,NA,0,NA
8/8/2025,Isom,ISOM1,C,0,NA,6,NA,2,NA,0,NA
8/8/2025,Isom,ISOM2,A,0,NA,0,NA,3,NA,0,NA
8/8/2025,Isom,ISOM2,B,0,NA,1,NA,0,NA,0,NA
8/8/2025,Isom,ISOM2,C,0,NA,1,NA,1,NA,0,NA
8/8/2025,Isom,ISOM3,A,5,NA,1,NA,3,NA,0,NA
8/8/2025,Isom,ISOM3,B,4,NA,1,NA,0,NA,0,NA
8/8/2025,Isom,ISOM3,C,1,NA,0,NA,0,NA,0,NA
8/8/2025,Isom,ISOM4,A,6,NA,0,NA,0,NA,0,NA
8/8/2025,Isom,ISOM4,B,3,NA,0,NA,0,NA,0,NA
8/8/2025,Isom,ISOM4,C,1,NA,0,NA,0,NA,0,NA
8/8/2025,Isom,ISOM5,A,5,NA,0,NA,1,NA,0,NA
8/8/2025,Isom,ISOM5,B,1,NA,0,NA,1,NA,2,NA
8/8/2025,Isom,ISOM5,C,3,NA,1,NA,3,NA,0,NA
7/25/2025,McDonald,MCDO1,A,2,NA,0,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO1,B,0,NA,2,NA,1,NA,0,NA
7/25/2025,McDonald,MCDO1,C,2,NA,0,NA,1,NA,0,NA
7/25/2025,McDonald,MCDO2,A,2,NA,1,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO2,B,12,NA,0,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO2,C,7,NA,1,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO3,A,6,NA,0,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO3,B,3,NA,0,NA,0,NA,0,NA
7/25/2025,McDonald,MCDO3,C,3,NA,0,NA,1,NA,0,NA
7/29/2025,McDonald,MCDO4,A,0,NA,6,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO4,B,0,NA,0,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO4,C,0,NA,0,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO5,A,4,NA,0,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO5,B,0,NA,0,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO5,C,5,NA,1,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO6,A,3,NA,0,NA,0,NA,0,NA
7/29/2025,McDonald,MCDO6,B,5,NA,0,NA,1,NA,0,NA
7/29/2025,McDonald,MCDO6,C,5,NA,1,NA,0,NA,0,NA
7/26/2025,Slate,SLAT1,A,4,NA,0,NA,0,NA,0,NA
7/26/2025,Slate,SLAT1,B,6,NA,0,NA,0,NA,0,NA
7/26/2025,Slate,SLAT1,C,0,NA,0,NA,0,NA,0,NA
7/26/2025,Slate,SLAT2,A,12,NA,0,NA,1,NA,0,NA
7/26/2025,Slate,SLAT2 ,B,1,NA,1,NA,5,NA,1,NA
7/26/2025,Slate,SLAT2 ,C,2,NA,1,NA,4,NA,0,NA
7/26/2025,Slate,SLAT3,A,4,NA,0,NA,2,NA,0,NA
7/26/2025,Slate,SLAT3,B,0,NA,0,NA,3,NA,0,NA
7/26/2025,Slate,SLAT3,C,3,NA,0,NA,0,NA,0,NA
7/27/2025,Slate,SLAT 4,A,0,NA,0,NA,5,NA,4,NA
7/27/2025,Slate,SLAT 4,B,0,NA,0,NA,7,NA,0,NA
7/27/2025,Slate,SLAT 4,C,0,NA,1,NA,7,NA,1,NA
7/27/2025,Slate,SLAT5,A,5,NA,0,NA,6,NA,6,NA
7/27/2025,Slate,SLAT5,B,7,NA,0,NA,4,NA,7,NA
7/27/2025,Slate,SLAT5,C,7,NA,2,NA,10,NA,5,NA
7/27/2025,Slate,SLAT6,A,5,NA,0,NA,5,NA,1,NA
7/27/2025,Slate,SLAT6,B,6,NA,3,NA,4,NA,0,NA
7/27/2025,Slate,SLAT6,C,7,NA,0,NA,0,NA,0,NA
8/2/2025,Troublesome,TROU1,A,0,NA,2,NA,0,NA,1,NA
8/2/2025,Troublesome,TROU1,B,3,NA,2,NA,0,NA,0,NA
8/2/2025,Troublesome,TROU1,C,0,NA,0,NA,0,NA,0,NA
8/2/2025,Troublesome,TROU2,A,0,NA,0,NA,0,NA,0,NA
8/2/2025,Troublesome,TROU2,B,1,NA,1,NA,0,NA,1,NA
8/2/2025,Troublesome,TROU2,C,1,NA,1,NA,1,NA,0,NA
8/2/2025,Troublesome,TROU3,A,0,NA,0,NA,0,NA,0,NA
8/2/2025,Troublesome,TROU3,B,2,NA,3,NA,1,NA,0,NA
8/2/2025,Troublesome,TROU3,C,1,NA,0,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU4,A,1,NA,1,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU4,B,0,NA,2,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU4,C,4,NA,0,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU5,A,3,NA,0,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU5,B,0,NA,0,NA,0,NA,0,NA
8/5/2025,Troublesome,TROU5,C,0,NA,1,NA,0,NA,0,NA
8/1/2025,Yukon Creek,YUCK1,A,1,NA,1,NA,1,NA,0,NA
8/1/2025,Yukon Creek,YUCK1,B,1,NA,5,NA,2,NA,1,NA
8/1/2025,Yukon Creek,YUCK1,C,0,NA,1,NA,0,NA,0,NA
8/1/2025,Yukon Creek,YUCR2,A,0,NA,1,NA,2,NA,0,NA
