date,fire_scar,site,plot,species,diameter_cm,decay_class,combustion,cwd_notes,cwd_photo
7/31/2025,Globe,GLOB3,A,NA,NA,NA,NA,NA,NA
7/23/2025,Globe,GLOB5,A,black spruce,6.1,hard,25,,
7/23/2025,Globe,GLOB5,A,black spruce,6.2,hard,25,,
7/23/2025,Globe,GLOB5,A,black spruce,6,hard,25,,
7/23/2025,Globe,GLOB5,A,black spruce,6.1,hard,25,,
7/26/2025,Slate,SLAT3,B,NA,NA,NA,NA,NA,NA
8/8/2025,Isom,ISOM5,A,black spruce,5,hard,25,,
8/8/2025,Isom,ISOM4,A,NA,NA,NA,NA,NA,NA
8/5/2025,Troublesome,TROU4,C,NA,NA,NA,NA,NA,NA
7/31/2025,Globe,GLOB1,A,NA,NA,NA,NA,NA,NA
8/4/2025,Yukon Creek,YUCR5,B,NA,NA,NA,NA,NA,NA
8/5/2025,Troublesome,TROU4,B,NA,NA,NA,NA,NA,NA
7/27/2025,Slate,SLAT5,A,NA,NA,NA,NA,NA,NA
8/1/2025,Yukon Creek,YUCR1,A,NA,NA,NA,NA,NA,NA
7/29/2025,McDonald,MCDO5,A,NA,NA,NA,NA,NA,NA
7/23/2025,Globe,GLOB4,A,NA,NA,NA,NA,NA,NA
7/26/2025,Slate,SLAT2 ,B,NA,NA,NA,NA,NA,NA
8/5/2025,Troublesome,TROU5,B,NA,NA,NA,NA,NA,NA
8/8/2025,Isom,ISOM1,B,NA,NA,NA,NA,NA,NA
7/31/2025,Globe,GLOB3,B,NA,NA,NA,NA,NA,NA
8/8/2025,Isom,ISOM5,C,black spruce,6.9,hard,25,,
8/8/2025,Isom,ISOM2,A,NA,NA,NA,NA,NA,NA
8/5/2025,Troublesome,TROU5,A,NA,NA,NA,NA,NA,NA
7/23/2025,Globe,GLOB6,C,NA,NA,NA,NA,NA,NA
8/1/2025,Yukon Creek,YUCR2,B,black spruce,8.4,hard,25,,
7/26/2025,Slate,SLAT1,C,NA,NA,NA,NA,NA,NA
8/5/2025,Troublesome,TROU4,A,NA,NA,NA,NA,NA,NA
7/29/2025,McDonald,MCDO4,C,NA,NA,NA,NA,NA,NA
7/23/2025,Globe,GLOB4,C,NA,NA,NA,NA,NA,NA
7/31/2025,Globe,GLOB1,B,NA,NA,NA,NA,NA,NA
7/23/2025,Globe,GLOB5,B,black spruce,5.2,hard,25,,
