date,fire_scar,site,plot,location,site_notes,ground_cover_type,ground_percent_cover,ground_cover_notes,photos
8/8/2025,Isom,ISOM5,A,9 m,,Coarse Woody Debris,5,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Litter,35.9,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Fine Woody Debris,2,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Ceratodon purpureus,6,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Grass Litter,16,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Burned Organic,35,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/8/2025,Isom,ISOM5,A,9 m,,Burned Lichen,0.1,,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Ceratodon purpureus,8,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Polytrichum,1,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Coarse Woody Debris,20,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Fine Woody Debris,2,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Litter,3,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Burned Moss,40,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Burned Organic,26,,7088b9e7-eccc-4379-b418-5e73740b3a06
8/3/2025,Chitanana,CHIT1,A,6 m,,Trunk,1,,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Fine Woody Debris,3,,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Unknown moss,1,Really small and sprawling,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Ceratodon purpureus,15,,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Aulocomnium,1,,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Polytrichum,0.1,,8a115506-58f2-42df-b69c-64009c87c3a6
8/3/2025,Chitanana,CHIT1,A,6 m,,Litter,15,,8a115506-58f2-42df-b69c-64009c87c3a6
