date,fire_scar,site,plot,location,site_notes,plant_species,plant_species_cover,veg_cover_notes,photos,plant_photos
8/8/2025,Isom,ISOM5,A,9 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],67,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Salix spp,14,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Vaccinium vitis-idaea,1,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Equisetum scirpoides,2,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Equisetum arvense,4,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Unknown grass 1,2,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/8/2025,Isom,ISOM5,A,9 m,,Fine Woody Debris,2,,b7bc93c7-7436-4bac-9d32-0dec8e17f296,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Picea mariana,0.1,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Equisetum sylvaticum,2,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],8,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Rubus chamaemorus,6,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Vaccinium vitis-idaea,5,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Coarse woody debris,2,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Fine Woody Debris,20,"Cone ball, broken off top of a spruce",7088b9e7-eccc-4379-b418-5e73740b3a06,
8/1/2025,Yukon Creek,YUCR2,B,6 m,,Epilobium angustifolium [Chamerion angustifolium],1,,7088b9e7-eccc-4379-b418-5e73740b3a06,
8/3/2025,Chitanana,CHIT1,A,6 m,,Coarse woody debris,8,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Eriophorum vaginatum,11,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Unknown grass 1,1,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Carex spp,7,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],7,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Salix spp,2,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Betula nana,5,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Vaccinium uliginosum,15,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Vaccinium vitis-idaea,4,,8a115506-58f2-42df-b69c-64009c87c3a6,
8/3/2025,Chitanana,CHIT1,A,6 m,,Rubus chamaemorus,2,,8a115506-58f2-42df-b69c-64009c87c3a6,
7/27/2025,Slate,SLAT5,C,3 m,,Coarse woody debris,15,,e8276a41-ce8b-429d-9412-a4e7cbd3a0c8,
7/27/2025,Slate,SLAT5,C,3 m,,Fine Woody Debris,6,,e8276a41-ce8b-429d-9412-a4e7cbd3a0c8,
7/27/2025,Slate,SLAT5,C,3 m,,Epilobium angustifolium [Chamerion angustifolium],5,,e8276a41-ce8b-429d-9412-a4e7cbd3a0c8,
7/27/2025,Slate,SLAT5,C,3 m,,Equisetum arvense,3,,e8276a41-ce8b-429d-9412-a4e7cbd3a0c8,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Picea mariana,2,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Betula neoalaskana,5,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Calamagrostis spp.,4,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Equisetum sylvaticum,8,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Epilobium angustifolium [Chamerion angustifolium],2,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Coarse woody debris,30,,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/4/2025,Yukon Creek,YUCR5,C,9 m,,Fine Woody Debris,7,Including cone ball at edge of plot,25e8bcca-13c2-4f5b-b60a-1def2682dddf,
8/2/2025,Troublesome,TROU3,A,3 m,,Rosa acicularis,19,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Epilobium angustifolium [Chamerion angustifolium],4,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Vaccinium uliginosum,2,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Linnaea borealis,1,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Equisetum scirpoides,3,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Calamagrostis,5,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Coarse woody debris,4,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
8/2/2025,Troublesome,TROU3,A,3 m,,Fine Woody Debris,1,,71ccbd23-ca1e-4163-8469-09d828ee13ef,
7/26/2025,Slate,SLAT3,B,9 m,,Snag,11,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Fine Woody Debris,7,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],2,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Rubus chamaemorus,9,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Betula glandulosa,3,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Unknown grass 1,2,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Vaccinium uliginosum,4,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Vaccinium vitis-idaea,2,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
7/26/2025,Slate,SLAT3,B,9 m,,Picea mariana,0.01,,119056a9-65bf-4d45-81bf-2f3fa021ce38,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Coarse woody debris,20,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Fine Woody Debris,4,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Rubus chamaemorus,20,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Calamagrostis spp,4,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],10,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Betula neoalaskana,1,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Picea mariana,0.1,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Spiraea beauverdiana (stevenii),2,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Vaccinium vitis-idaea,3,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Equisetum sylvaticum,3,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
8/1/2025,Yukon Creek,YUCR3,A,6 m,,Epilobium angustifolium [Chamerion angustifolium],1,,a02da16b-90bb-49b3-bf3c-705c3c057d7f,
7/23/2025,Globe,GLOB6,A,6 m,,Epilobium angustifolium [Chamerion angustifolium],50,,915b43e2-ad80-4db2-a1a0-3da065efebb3,
7/23/2025,Globe,GLOB6,A,6 m,,Coarse woody debris,35,,915b43e2-ad80-4db2-a1a0-3da065efebb3,
7/23/2025,Globe,GLOB6,A,6 m,,Fine Woody Debris,15,,915b43e2-ad80-4db2-a1a0-3da065efebb3,
7/25/2025,McDonald,MCDO1,C,3 m,,Unknown grass 2,2,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
7/25/2025,McDonald,MCDO1,C,3 m,,Rosa acicularis,3,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
7/25/2025,McDonald,MCDO1,C,3 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],0.1,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
7/25/2025,McDonald,MCDO1,C,3 m,,Vaccinium uliginosum,0.1,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
7/25/2025,McDonald,MCDO1,C,3 m,,Coarse woody debris,2,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
7/25/2025,McDonald,MCDO1,C,3 m,,Fine Woody Debris,4,,db84178d-0b3b-4856-8ec5-425bf257d0e7,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Snag,5,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Coarse woody debris,5,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Fine Woody Debris,3,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Equisetum sylvaticum,13,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],10,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Calamagrostis ,10,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Rubus chamaemorus,5,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Betula neoalaskana,0.1,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
8/1/2025,Yukon Creek,YUCR3,C,9 m,,Vaccinium vitis-idaea,1,,21ff4ec8-69c2-4f77-859b-603b9ff28734,
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum],1,,c23fd613-b015-4c3e-ae5c-9f1e92715183,
7/27/2025,Slate,SLAT6,A,3 m,Cone ball in plot,Vaccinium uliginosum,3,,c23fd613-b015-4c3e-ae5c-9f1e92715183,
