date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
8/8/2025,Isom,ISOM5,A,9 m,,no,NA,NA,NA,NA,NA,NA,b7bc93c7-7436-4bac-9d32-0dec8e17f296
8/1/2025,Yukon Creek,YUCR2,B,6 m,,yes,black spruce,12,Tiny spruce less than 0.05 bd,0.07,0.07,NA,7088b9e7-eccc-4379-b418-5e73740b3a06
8/3/2025,Chitanana,CHIT1,A,6 m,,no,NA,NA,NA,NA,NA,NA,8a115506-58f2-42df-b69c-64009c87c3a6
7/27/2025,Slate,SLAT5,C,3 m,,no,NA,NA,NA,NA,NA,NA,e8276a41-ce8b-429d-9412-a4e7cbd3a0c8
8/4/2025,Yukon Creek,YUCR5,C,9 m,,yes,birch,21,,0.27,0.3,0.29,25e8bcca-13c2-4f5b-b60a-1def2682dddf
8/4/2025,Yukon Creek,YUCR5,C,9 m,,yes,black spruce,5,,0.13,0.2,0.35,25e8bcca-13c2-4f5b-b60a-1def2682dddf
8/2/2025,Troublesome,TROU3,A,3 m,,no,NA,NA,NA,NA,NA,NA,71ccbd23-ca1e-4163-8469-09d828ee13ef
7/26/2025,Slate,SLAT3,B,9 m,,yes,black spruce,2,Below .05,0.05,0.05,NA,119056a9-65bf-4d45-81bf-2f3fa021ce38
8/1/2025,Yukon Creek,YUCR3,A,6 m,,yes,black spruce,1,,0.1,NA,NA,a02da16b-90bb-49b3-bf3c-705c3c057d7f
8/1/2025,Yukon Creek,YUCR3,A,6 m,,yes,birch,2,,0.32,0.52,NA,a02da16b-90bb-49b3-bf3c-705c3c057d7f
7/23/2025,Globe,GLOB6,A,6 m,,no,NA,NA,NA,NA,NA,NA,915b43e2-ad80-4db2-a1a0-3da065efebb3
7/25/2025,McDonald,MCDO1,C,3 m,,no,NA,NA,NA,NA,NA,NA,db84178d-0b3b-4856-8ec5-425bf257d0e7
