date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
7/26/25,Slate,SLAT2,C,SLAT2C6,6,0,15,Mineral,55,Frozen Ground,6,"Mineral,Water",14,12,13.5,yes,C6,14.5,15,11.5,10.5,10.5,11,,NA,5,5,5,5,Core,,,NA
7/26/25,Slate,SLAT2,C,SLAT2C9,9,0,27.5,Mineral,56,Frozen Ground,28,"Mineral,Water",9,9.5,10.5,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT2,C,SLAT2C3,3,0,17.5,Mineral,45,Frozen Ground,25.5,"Mineral,Water",9,8.5,7,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/23/25,Globe,GLOB6,B,GLOB6B3,3,0.5,0,Mineral,46,Rock,0,Mineral,30,24,23,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,"AR hard to see, all trees fallen",NA
7/23/25,Globe,GLOB6,B,GLOB6B6,6,0.5,0,Mineral,36,Rock,0,Mineral,15,13,10,yes,B6,0,0,0,0,0,0,No organic taken,NA,5,5,5,5,Core,Thick layer of ash above,,NA
7/23/25,Globe,GLOB6,B,GLOB6B9,9,0,0,Mineral,28,Rock,0,Mineral,10,11,12,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT1,C,SLAT1C3,3,0,6,Mineral,64,Mineral,6,Mineral,5,5,6,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/26/25,Slate,SLAT1,C,SLAT1C6,6,0,21,"Mineral,Water",72,Frozen Ground,5,Mineral,11,14,12,yes,C6,21,20.5,11,12,11,12.5,,NA,5,NA,5,NA,Grab,,,NA
7/26/25,Slate,SLAT1,C,SLAT1C9,9,0,12,Mineral,63,Frozen Ground,12,Mineral,6,6,6,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/3/25,Chitanana,CHIT4,C,CHIT4C3,3,0,25,Mineral,48,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
