date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,0.9,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.1,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,4.7,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.1,NA,0,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.7,NA,NA,25,25,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.5,NA,NA,25,25,25,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,NA,2.3,NA,NA,NA,NA,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,NA,2.3,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,3.8,NA,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,4.3,NA,50,50,50,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.8,NA,50,75,75,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,4.7,NA,0,75,50,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.3,NA,NA,100,100,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.7,NA,NA,75,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.7,NA,50,100,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,NA,2.4,NA,100,100,75,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.7,NA,NA,100,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.5,NA,100,100,75,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1,NA,75,75,75,75,0,3,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,0.1,NA,NA,100,100,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.6,NA,NA,75,75,75,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,1.6,NA,75,75,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,0.4,NA,75,75,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,3.5,NA,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,yes,NA,2.8,NA,NA,NA,NA,50,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,0.6,NA,NA,75,75,50,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,3.2,NA,0,50,25,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,2.9,NA,25,50,50,25,0,NA,,,
7/29/2025,McDonald,MCDO5,B,black spruce,yes,no,4.2,NA,50,75,75,50,0,NA,,,
