date,fire_scar,site,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes
7/31/2025,Globe,GLOB1,A,GLOB1 A6,black spruce,11,1,
7/31/2025,Globe,GLOB1,B,GLOB1 B6,black spruce,9.9,1,
7/31/2025,Globe,GLOB1,C,GLOB1 C6,black spruce,6.4,2,
7/31/2025,Globe,GLOB2,A,GLOB2 A6,black spruce,6.5,0.5,
7/31/2025,Globe,GLOB2,B,GLOB2 B6,black spruce,8.8,1,
7/31/2025,Globe,GLOB2,C,GLOB2 C6,black spruce,7,0.5,
7/31/2025,Globe,GLOB3,A,GLOB2 A6,black spruce,9.8,0.1,
7/31/2025,Globe,GLOB3,B,GLOB3 B6,black spruce,17.5,3,
7/31/2025,Globe,GLOB3,C,GLOB3 C6,black spruce,19.7,0.5,
7/23/2025,Globe,GLOB4,A,GLOB4a,black spruce,8.7,4.5,
7/23/2025,Globe,GLOB4 ,B,GLOB4 b,black spruce,16.6,4,
7/23/2025,Globe,GLOB4 ,C,GLOB4 c,black spruce,11.4,4,
7/23/2025,Globe,GLOB5 ,A,GLOB5 a6,black spruce,9.2,6,
7/23/2025,Globe,GLOB5 ,B,GLOB5 b,black spruce,11.1,9,
7/23/2025,Globe,GLOB5 ,C,GLOB5 c,black spruce,9.5,7,
7/23/2025,Globe,GLOB6,A,GLOB6 A6,black spruce,9.8,5,
7/23/2025,Globe,GLOB6,B,GLOB6 B6,black spruce,14.3,4,
7/23/2025,Globe,GLOB6,C,GLOB6 C6,black spruce,14.1,1,
7/25/2025,McDonald,MCDO1,A,MCDO1 A6,black spruce,15.8,10,
7/25/2025,McDonald,MCDO1,B,MCDO1 B6,black spruce,8.6,4,
7/25/2025,McDonald,MCDO1,C,MCDO1 C6,black spruce,9.2,3,
7/25/2025,McDonald,MCDO2,A,MCDO2 A6,black spruce,7.4,5,
7/25/2025,McDonald,MCDO2,B,MCDO2 B6,black spruce,9.75,5,
7/25/2025,McDonald,MCDO2,C,MCDO2 C6,black spruce,6,6,
7/25/2025,McDonald,MCDO3,A,MCDO3 A6,black spruce,8.4,7,
7/25/2025,McDonald,MCDO3,B,MCDO3 B6,black spruce,10.7,7,
7/25/2025,McDonald,MCDO3,C,MCDO3 C6,black spruce,7.3,6,
7/29/2025,McDonald,MCDO4,A,MCDO4 A6,black spruce,7,3,
7/29/2025,McDonald,MCDO4,B,MCDO4 B6,black spruce,5.4,2,
7/29/2025,McDonald,MCDO4,C,MCDO4 C6,black spruce,7.9,2,
7/29/2025,McDonald,MCDO5,A,MCDO5 A6,black spruce,6.2,13,
7/29/2025,McDonald,MCDO5,B,MCDO5 B6,black spruce,6.7,3.5,
7/29/2025,McDonald,MCDO5,C,MCDO5,black spruce,8.6,1,
7/29/2025,McDonald,MCDO6,A,MCDO6 A6,black spruce,7.3,1,
7/29/2025,McDonald,MCDO6,B,MCDO6 B6,black spruce,5.3,1,
7/29/2025,McDonald,MCDO6,C,MCDO6 C6,black spruce,9.4,2,
7/26/2025,Slate,SLAT1,A,A6,black spruce,13,4,
7/26/2025,Slate,SLAT1,B,B6,black spruce,13.5,6,
7/26/2025,Slate,SLAT1,C,C6,black spruce,12,2,
7/26/2025,Slate,SLAT2,A,A6,black spruce,13.3,3,
7/26/2025,Slate,SLAT2,B,B6,black spruce,13,4,
7/26/2025,Slate,SLAT2,C,C6,black spruce,12.9,5,
7/26/2025,Slate,SLAT3,A,A6,black spruce,6.5,4.5,
7/26/2025,Slate,SLAT3,B,B6,black spruce,7,5,
7/26/2025,Slate,SLAT3,C,C6,black spruce,9.1,3,
7/27/2025,Slate,SLAT4,A,SLAT4 A6,black spruce,10.2,1,
7/27/2025,Slate,SLAT4,B,SLAT4 B6,black spruce,14.3,3,
7/27/2025,Slate,SLAT4,C,SLAT4 B6,black spruce,11.8,2,
7/27/2025,Slate,SLAT5,A,SLAT5 A6,black spruce,13.3,1,
7/27/2025,Slate,SLAT5,B,SLAT5 B6,black spruce,10.6,1,
7/27/2025,Slate,SLAT5,C,SLAT5 C6,black spruce,13.5,1,
7/27/2025,Slate,SLAT6,A,SLAT6 A6,black spruce,13.3,9,
7/27/2025,Slate,SLAT6,B,SLAT6 B6,black spruce,19.4,0.5,
7/27/2025,Slate,SLAT6,C,SLAT6 C6,black spruce,8.7,2,
8/2/2025,Troublesome,TROU1,A,A6,black spruce,9.1,4,
8/2/2025,Troublesome,TROU1,B,B6,black spruce,12.4,7,
8/2/2025,Troublesome,TROU1,C,C6,black spruce,24,4,
8/2/2025,Troublesome,TROU2,A,A6,black spruce,9.8,1,
8/2/2025,Troublesome,TROU2,B,B6,black spruce,13.6,2,
8/2/2025,Troublesome,TROU2,C,C6,black spruce,17.7,3,
8/2/2025,Troublesome,TROU3,A,A6,black spruce,19.4,5,
8/2/2025,Troublesome,TROU3,B,B6,black spruce,15.7,5,
8/2/2025,Troublesome,TROU3,C,C6,black spruce,23.5,0.5,Big mother 
8/5/2025,Troublesome,TROU4,A,A6,black spruce,12.3,1,Had to take closer to 9 m
8/5/2025,Troublesome,TROU4,B,B6,black spruce,19.9,4,
8/5/2025,Troublesome,TROU4,C,C6,black spruce,14.1,3,Had to take closer to 9 m
8/6/2025,Troublesome,TROU5,A,A6,black spruce,5.4,7,
8/6/2025,Troublesome,TROU5,B,B6,black spruce,10.8,1,
8/6/2025,Troublesome,TROU5,C,C6,black spruce,10.6,2,
8/1/2025,Yukon Creek,YUCR1,A,A6,black spruce,9.9,2,
8/1/2025,Yukon Creek,YUCR1,B,B6,black spruce,7.5,2,
8/1/2025,Yukon Creek,YUCR1,C,C6,black spruce,5.6,2,
8/1/2025,Yukon Creek,YUCR2,A,A6,black spruce,7.6,2,
8/1/2025,Yukon Creek,YUCR2,B,B6,black spruce,12.1,3,
8/1/2025,Yukon Creek,YUCR2,C,C6,black spruce,7.9,3,
8/1/2025,Yukon Creek,YUCR3,A,A6,black spruce,7.1,3,
8/1/2025,Yukon Creek,YUCR3,B,B6,black spruce,7.3,5,
8/1/2025,Yukon Creek,YUCR3,C,C6,black spruce,8.2,4,
8/4/2025,Yukon Creek,YUCR4,A,A6,black spruce,19.6,1,
8/4/2025,Yukon Creek,YUCR4,B,B6,black spruce,10.6,1,
8/4/2025,Yukon Creek,YUCR4,C,C6,black spruce,12.8,4,
8/5/2025,Yukon Creek,YUCR5,A,A6,black spruce,12.4,6,
8/5/2025,Yukon Creek,YUCR5,B,B6,black spruce,11.1,1,
8/5/2025,Yukon Creek,YUCR5,C,C6,black spruce,9.5,5,
